T[s],q0,q1,q2,q3
-20.60,0.996094,0.003906,0.003906,-0.003906
-19.70,0.996094,0.003906,0.003906,-0.003906
-19.20,0.996094,0.003906,0.003906,-0.003906
-18.80,0.996094,0.003906,0.003906,-0.003906
-18.30,0.996094,0.003906,0.003906,-0.003906
-17.80,0.996094,0.003906,0.003906,-0.003906
-17.40,0.996094,0.003906,0.003906,-0.003906
-16.90,0.996094,0.003906,0.003906,-0.003906
-16.40,0.996094,0.003906,0.003906,-0.003906
-16.00,0.996094,0.003906,0.003906,-0.003906
-15.50,0.996094,0.003906,0.003906,-0.003906
-15.00,0.996094,0.003906,-0.003906,0.003906
-14.10,0.996094,0.003906,-0.003906,-0.003906
-13.70,0.996094,0.003906,-0.003906,-0.003906
-13.20,0.996094,0.003906,-0.003906,0.003906
-12.70,0.996094,0.003906,-0.003906,-0.003906
-12.30,0.996094,0.003906,-0.003906,-0.003906
-12.20,0.996094,0.003906,-0.003906,-0.003906
-11.80,0.996094,0.003906,-0.003906,-0.003906
-11.30,0.996094,0.003906,-0.003906,-0.003906
-10.90,0.996094,0.003906,-0.003906,-0.003906
-10.40,0.996094,0.003906,-0.003906,-0.003906
-9.90,0.996094,0.003906,-0.003906,-0.003906
-9.50,0.996094,0.003906,-0.003906,-0.003906
-9.00,0.996094,0.003906,-0.003906,-0.003906
-8.50,0.996094,-0.003906,-0.003906,-0.003906
-7.60,0.996094,0.003906,-0.003906,-0.003906
-7.60,0.996094,0.003906,-0.003906,-0.003906
-7.10,0.996094,0.003906,-0.003906,-0.003906
-6.69,0.996094,0.003906,-0.003906,-0.003906
-6.20,0.996094,-0.003906,-0.003906,-0.003906
-5.80,0.996094,-0.003906,-0.003906,-0.003906
-5.30,0.996094,0.003906,-0.003906,-0.003906
-4.80,0.996094,-0.003906,-0.003906,-0.003906
-4.40,0.996094,-0.003906,-0.003906,-0.003906
-3.90,0.996094,-0.003906,-0.003906,-0.003906
-3.40,0.996094,-0.003906,0.003906,-0.003906
-3.00,0.996094,-0.003906,0.003906,-0.003906
-2.50,0.996094,-0.003906,0.003906,-0.003906
-2.00,0.996094,-0.003906,0.003906,-0.003906
-1.60,0.996094,-0.003906,0.003906,-0.003906
-1.10,0.996094,-0.003906,0.003906,-0.003906
-0.70,0.996094,-0.003906,0.003906,-0.003906
-0.60,0.996094,-0.003906,0.003906,-0.003906
-0.20,0.996094,-0.003906,0.003906,-0.003906
0.30,0.996094,-0.003906,0.003906,-0.003906
0.70,0.996094,0.003906,0.003906,0.003906
1.20,0.996094,0.003906,0.003906,0.011597
1.70,0.996094,0.005463,-0.003906,0.016602
2.10,0.996094,0.011597,-0.003906,0.004852
2.60,0.996094,0.013428,-0.003906,0.003906
3.10,0.996094,0.013245,-0.003906,0.004517
3.50,0.996094,0.012146,0.003906,0.004059
4.00,0.996094,0.010132,0.003906,0.005493
4.41,0.996094,0.007935,0.003906,0.003906
4.90,0.996094,0.005859,0.003906,0.003906
5.40,0.996094,0.004181,0.003906,-0.003906
5.80,0.996094,0.003906,0.003906,-0.005951
6.30,0.996094,0.003906,0.003906,-0.009888
6.80,0.996094,0.003906,0.003906,-0.011414
7.20,0.996094,0.003906,0.004700,-0.012207
7.70,0.996094,0.003906,0.006226,-0.014404
8.20,0.996094,0.003906,0.007690,-0.016968
8.60,0.996094,0.004242,0.009216,-0.018677
9.10,0.996094,0.004791,0.010254,-0.019653
9.60,0.996094,0.005371,0.011047,-0.016846
10.50,0.996094,0.006195,0.012573,-0.015747
10.90,0.996094,0.006561,0.013672,-0.015991
11.40,0.996094,0.007080,0.015015,-0.014587
11.90,0.996094,0.007355,0.015991,-0.014221
12.30,0.996094,0.007935,0.016968,-0.010437
12.80,0.996094,0.008301,0.018066,-0.009094
13.30,0.996094,0.008423,0.019775,-0.003906
13.70,0.996094,0.008240,0.022217,0.003906
14.20,0.996094,0.008545,0.024536,0.035645
14.70,0.988281,0.010864,0.026001,0.126953
15.10,0.957031,0.015625,0.024536,0.277344
15.60,0.882812,0.020630,0.018799,0.462891
16.10,0.757812,0.024170,0.011414,0.648438
16.50,0.574219,0.027222,0.004974,0.816406
17.00,0.328125,0.028687,-0.003906,0.941406
17.50,0.039062,0.027466,-0.008606,0.996094
17.90,-0.261719,0.023315,-0.015015,0.960938
18.40,-0.507812,0.016602,-0.018799,0.859375
18.90,-0.683594,0.009644,-0.020508,0.726562
19.30,-0.804688,0.003906,-0.021729,0.589844
19.80,-0.882812,-0.003906,-0.023193,0.466797
20.30,-0.929688,-0.003906,-0.024048,0.367188
21.20,-0.972656,-0.006409,-0.025513,0.222656
21.60,-0.984375,-0.007172,-0.025879,0.159180
21.70,-0.984375,-0.007172,-0.025879,0.159180
22.10,-0.992188,-0.007599,-0.025513,0.095703
22.60,-0.996094,-0.008301,-0.025391,0.020386
22.60,-0.996094,-0.008301,-0.025391,0.020386
23.00,-0.996094,-0.009399,-0.025024,-0.076172
23.50,-0.980469,-0.011292,-0.023804,-0.189453
24.00,-0.945312,-0.013794,-0.020996,-0.316406
24.40,-0.886719,-0.016479,-0.016602,-0.458984
24.90,-0.796875,-0.018921,-0.011780,-0.597656
25.00,-0.796875,-0.018921,-0.011780,-0.597656
25.40,-0.679688,-0.021240,-0.006409,-0.726562
