T[s],control_rtti[dBm],uptime_min[min],batt_v[V],unb_v[V]
-20.90,-38,15300,21.87,7.07
-20.50,-40,15300,21.87,7.05
-20.40,-40,15300,21.87,7.05
-20.00,-38,15300,21.87,7.05
-19.90,-38,15300,21.87,7.05
-19.50,-38,15300,21.85,7.05
-19.10,-38,15300,21.85,7.05
-18.60,-38,15300,21.87,7.07
-18.10,-38,15300,21.87,7.07
-17.70,-40,15300,21.85,7.05
-17.20,-38,15300,21.85,7.05
-16.70,-38,15300,21.85,7.07
-16.30,-38,15300,21.85,7.07
-15.80,-38,15300,21.85,7.05
-15.30,-38,15300,21.85,7.05
-14.90,-38,15300,21.85,7.05
-14.40,-38,15300,21.85,7.05
-13.90,-38,15300,21.85,7.05
-13.50,-38,15300,21.85,7.05
-13.00,-39,15300,21.85,7.05
-12.60,-38,15300,21.85,7.05
-12.10,-38,15300,21.85,7.05
-11.60,-38,15300,21.85,7.05
-11.19,-38,15300,21.85,7.05
-10.70,-39,15300,21.83,7.05
-10.20,-39,15300,21.83,7.05
-9.80,-38,15300,21.83,7.05
-9.30,-38,15300,21.83,7.05
-8.80,-38,15300,21.83,7.05
-8.40,-38,15300,21.64,7.03
-7.90,-38,15300,21.64,7.03
-7.40,-38,15300,21.60,7.05
-7.00,-37,15300,21.60,7.05
-6.50,-38,15300,21.58,7.03
-6.00,-38,15300,21.58,7.03
-5.60,-38,15300,21.28,7.01
-5.10,-39,15300,21.28,7.01
-4.70,-38,15300,21.52,7.05
-4.20,-38,15300,21.52,7.05
-3.70,-38,15300,21.69,7.05
-3.30,-40,15300,21.69,7.05
-2.80,-38,15300,21.71,7.05
-2.30,-38,15300,21.71,7.05
-1.90,-38,15300,21.71,7.05
-1.40,-38,15300,21.73,7.05
-0.90,-38,15300,21.73,7.05
-0.50,-38,15300,21.73,7.05
0.00,-38,15300,21.73,7.05
0.40,-38,15300,21.73,7.05
0.90,-38,15300,21.73,7.05
1.40,-33,15300,21.69,3.45
1.81,-46,15300,21.69,3.45
3.21,-42,15300,21.54,1.87
3.70,-37,15300,21.54,1.87
4.20,-37,15300,21.54,1.87
4.60,-36,15300,21.48,1.89
5.10,-36,15300,21.48,1.89
