T[s],ecef_x[m],ecef_y[m],ecef_z[m],ecef_vx[m/s],ecef_vy[m/s],ecef_vz[m/s]
-20.80,-3783428,2804038,4287269,0,0,0
-20.70,-3783428,2804037,4287258,0,0,0
-20.30,-3783426,2804038,4287262,0,0,0
-20.20,-3783425,2804038,4287254,0,0,0
-20.20,-3783425,2804038,4287254,0,0,0
-19.89,-3783426,2804038,4287259,0,0,0
-19.80,-3783429,2804038,4287260,0,0,0
-19.40,-3783428,2804037,4287267,0,0,0
-19.30,-3783430,2804037,4287259,0,0,0
-18.90,-3783428,2804036,4287265,0,0,0
-18.80,-3783430,2804036,4287259,0,0,0
-18.50,-3783427,2804036,4287265,0,0,0
-18.30,-3783430,2804035,4287259,0,0,0
-18.00,-3783426,2804036,4287260,0,0,0
-17.90,-3783431,2804035,4287260,0,0,0
-17.40,-3783431,2804038,4287259,0,0,0
-17.10,-3783425,2804037,4287260,0,0,0
-17.00,-3783431,2804037,4287258,0,0,0
-16.60,-3783427,2804037,4287260,0,0,0
-16.50,-3783431,2804036,4287257,0,0,0
-16.10,-3783426,2804036,4287258,0,0,0
-16.00,-3783429,2804036,4287257,0,0,0
-15.70,-3783425,2804036,4287259,0,0,0
-15.60,-3783428,2804034,4287255,0,0,0
-15.20,-3783426,2804035,4287261,0,0,0
-15.10,-3783428,2804035,4287254,0,0,0
-14.80,-3783425,2804038,4287261,0,0,0
-14.60,-3783428,2804037,4287255,0,0,0
-14.60,-3783428,2804037,4287255,0,0,0
-14.30,-3783426,2804038,4287262,0,0,0
-14.20,-3783428,2804037,4287255,0,0,0
-13.80,-3783425,2804038,4287261,0,0,0
-13.40,-3783425,2804038,4287262,0,0,0
-13.20,-3783427,2804035,4287255,0,0,0
-12.90,-3783426,2804038,4287265,0,0,0
-12.80,-3783426,2804036,4287256,0,0,0
-12.40,-3783426,2804039,4287261,0,0,0
-12.30,-3783429,2804038,4287257,0,0,0
-11.90,-3783431,2804037,4287257,0,0,0
-11.50,-3783428,2804037,4287269,0,0,0
-11.40,-3783427,2804036,4287252,0,0,0
-11.00,-3783427,2804039,4287267,0,0,0
-10.90,-3783426,2804037,4287254,0,0,0
-10.60,-3783426,2804038,4287265,0,0,0
-10.50,-3783427,2804036,4287255,0,0,0
-10.10,-3783425,2804039,4287263,0,0,0
-10.00,-3783424,2804036,4287251,0,0,0
-9.60,-3783426,2804037,4287265,0,0,0
-9.50,-3783427,2804038,4287250,0,0,0
-9.20,-3783426,2804037,4287268,0,0,0
-9.10,-3783427,2804040,4287250,0,0,0
-8.70,-3783426,2804037,4287269,0,0,0
-8.30,-3783425,2804038,4287269,0,0,0
-8.20,-3783425,2804038,4287269,0,0,0
-8.10,-3783427,2804040,4287253,0,0,0
-8.10,-3783427,2804040,4287253,0,0,0
-7.80,-3783425,2804039,4287266,0,0,0
-7.70,-3783426,2804039,4287251,0,0,0
-7.30,-3783426,2804037,4287267,0,0,0
-7.20,-3783425,2804038,4287249,0,0,0
-6.89,-3783426,2804039,4287269,0,0,0
-6.70,-3783427,2804037,4287249,0,0,0
-6.40,-3783427,2804037,4287266,0,0,0
-6.30,-3783427,2804037,4287250,0,0,0
-5.90,-3783427,2804036,4287267,0,0,0
-5.80,-3783426,2804038,4287253,0,0,0
-5.50,-3783427,2804037,4287269,0,0,0
-5.30,-3783428,2804037,4287254,0,0,0
-5.00,-3783427,2804037,4287263,0,0,0
-4.90,-3783428,2804036,4287259,0,0,0
-4.50,-3783426,2804037,4287263,0,0,0
-4.40,-3783429,2804038,4287256,0,0,0
-4.10,-3783425,2804035,4287262,0,0,0
-4.00,-3783428,2804037,4287255,0,0,0
-3.60,-3783425,2804036,4287262,0,0,0
-3.50,-3783429,2804037,4287256,0,0,0
-3.10,-3783425,2804036,4287264,0,0,0
-3.00,-3783429,2804037,4287256,0,0,0
-2.70,-3783423,2804035,4287262,0,0,0
-2.60,-3783430,2804037,4287257,0,0,0
-2.20,-3783423,2804034,4287260,0,0,0
-2.10,-3783429,2804036,4287260,0,0,0
-1.80,-3783425,2804034,4287263,0,0,0
-1.60,-3783431,2804037,4287260,0,0,0
-1.30,-3783424,2804034,4287260,0,0,0
-1.20,-3783431,2804038,4287260,0,0,0
-0.80,-3783421,2804033,4287256,0,0,0
-0.70,-3783430,2804037,4287263,0,0,0
-0.40,-3783421,2804035,4287258,0,0,0
-0.30,-3783421,2804035,4287258,0,0,0
-0.30,-3783429,2804037,4287260,0,0,0
0.10,-3783422,2804035,4287262,0,0,0
0.21,-3783428,2804036,4287258,0,0,0
0.60,-3783421,2804034,4287259,0,0,0
0.70,-3783430,2804036,4287261,0,0,0
1.00,-3783424,2804037,4287261,0,0,0
1.10,-3783428,2804037,4287258,0,0,0
1.50,-3783425,2804040,4287264,0,0,0
1.60,-3783430,2804037,4287259,0,0,0
2.00,-3783424,2804040,4287260,0,0,0
2.10,-3783430,2804039,4287262,0,0,0
2.90,-3783427,2804041,4287264,0,0,0
3.00,-3783432,2804042,4287263,0,0,0
3.30,-3783430,2804041,4287267,0,0,0
3.80,-3783433,2804044,4287266,0,0,0
3.91,-3783437,2804046,4287272,0,0,0
4.30,-3783434,2804046,4287268,0,0,0
4.40,-3783438,2804047,4287271,0,0,0
4.70,-3783436,2804048,4287272,0,0,0
4.90,-3783441,2804049,4287274,0,0,0
5.20,-3783440,2804050,4287276,0,0,0
5.30,-3783446,2804053,4287278,0,0,0
5.70,-3783445,2804053,4287280,0,0,0
5.80,-3783447,2804054,4287279,0,0,0
6.10,-3783448,2804057,4287286,0,0,0
6.20,-3783454,2804059,4287286,0,0,0
6.60,-3783451,2804059,4287288,0,0,0
6.70,-3783457,2804063,4287287,0,0,0
7.10,-3783457,2804063,4287291,0,0,0
7.20,-3783462,2804065,4287293,0,0,0
7.51,-3783462,2804068,4287296,0,0,0
7.60,-3783471,2804072,4287303,0,0,0
8.00,-3783467,2804072,4287301,0,0,0
8.10,-3783476,2804077,4287306,0,0,0
8.40,-3783475,2804078,4287312,0,0,0
8.60,-3783480,2804078,4287312,0,0,0
8.90,-3783481,2804081,4287319,0,0,0
9.00,-3783489,2804086,4287323,0,0,0
9.40,-3783487,2804086,4287321,0,0,0
9.50,-3783496,2804091,4287327,0,0,0
9.80,-3783496,2804091,4287333,0,0,0
9.90,-3783502,2804096,4287331,0,0,0
10.00,-3783502,2804096,4287331,0,0,0
10.30,-3783502,2804098,4287337,0,0,0
10.40,-3783502,2804098,4287337,0,0,0
10.40,-3783514,2804104,4287344,0,0,0
10.80,-3783509,2804103,4287346,0,0,0
11.20,-3783521,2804113,4287359,0,0,0
11.30,-3783528,2804116,4287357,0,0,0
11.70,-3783529,2804118,4287365,0,0,0
12.20,-3783537,2804123,4287374,0,0,0
12.20,-3783537,2804123,4287374,0,0,0
12.30,-3783547,2804129,4287379,0,0,0
12.60,-3783550,2804133,4287388,0,0,0
12.70,-3783557,2804137,4287389,0,0,0
13.10,-3783560,2804139,4287397,0,0,0
13.20,-3783570,2804146,4287402,0,0,0
13.60,-3783569,2804145,4287411,0,0,0
13.70,-3783582,2804154,4287414,0,0,0
14.00,-3783585,2804160,4287424,0,0,0
14.10,-3783593,2804167,4287423,0,0,0
14.50,-3783596,2804167,4287437,0,0,0
