T[s],ecef_x[m],ecef_y[m],ecef_z[m],fix,satellites,hdop,unixtime[s]
-20.89,-3783428,2804038,4287269,1,11,1.1,1501399840
-19.49,-3783428,2804037,4287267,1,11,1.1,1501399842
-19.00,-3783428,2804036,4287265,1,11,1.1,1501399842
-18.50,-3783427,2804036,4287265,1,11,1.1,1501399843
-18.09,-3783426,2804036,4287260,1,11,1.1,1501399843
-17.60,-3783424,2804036,4287257,1,11,1.1,1501399844
-17.50,-3783424,2804036,4287257,1,11,1.1,1501399844
-17.10,-3783425,2804037,4287260,1,11,1.1,1501399844
-16.69,-3783427,2804037,4287260,1,11,1.1,1501399845
-16.20,-3783427,2804036,4287261,1,11,1.1,1501399845
-15.79,-3783425,2804036,4287259,1,11,1.1,1501399846
-15.29,-3783426,2804035,4287261,1,11,1.1,1501399846
-14.80,-3783425,2804037,4287261,1,11,1.1,1501399846
-14.39,-3783426,2804038,4287262,1,11,1.1,1501399847
-13.90,-3783425,2804038,4287261,1,11,1.1,1501399847
-13.40,-3783424,2804038,4287262,1,11,1.1,1501399848
-12.99,-3783426,2804038,4287265,1,11,1.1,1501399848
-12.50,-3783426,2804039,4287261,1,11,1.1,1501399849
-12.00,-3783428,2804038,4287271,1,11,1.1,1501399849
-12.00,-3783428,2804038,4287271,1,11,1.1,1501399849
-11.60,-3783428,2804037,4287269,1,11,1.1,1501399850
-11.10,-3783427,2804039,4287267,1,11,1.1,1501399850
-10.60,-3783426,2804038,4287266,1,11,1.1,1501399851
-10.20,-3783425,2804039,4287263,1,11,1.1,1501399851
-9.70,-3783426,2804037,4287265,1,11,1.1,1501399852
-9.20,-3783426,2804038,4287267,1,11,1.1,1501399852
-8.79,-3783426,2804037,4287269,1,11,1.1,1501399853
-8.30,-3783425,2804038,4287269,1,11,1.1,1501399853
-7.80,-3783425,2804038,4287268,1,11,1.1,1501399853
-7.40,-3783426,2804037,4287267,1,11,1.1,1501399854
-6.90,-3783426,2804039,4287269,1,11,1.1,1501399854
-6.49,-3783427,2804039,4287265,1,11,1.1,1501399855
-5.99,-3783427,2804036,4287267,1,11,1.1,1501399855
-5.50,-3783427,2804037,4287269,1,11,1.1,1501399856
-5.09,-3783427,2804037,4287263,1,11,1.1,1501399856
-4.60,-3783426,2804037,4287263,1,11,1.1,1501399857
-4.10,-3783425,2804035,4287262,1,11,1.1,1501399857
-3.69,-3783425,2804036,4287262,1,11,1.1,1501399858
-3.20,-3783425,2804036,4287263,1,11,1.1,1501399858
-2.70,-3783423,2804035,4287262,1,11,1.1,1501399859
-2.29,-3783423,2804034,4287260,1,11,1.1,1501399859
-1.80,-3783424,2804034,4287263,1,11,1.1,1501399859
-1.40,-3783424,2804034,4287260,1,11,1.1,1501399860
-0.90,-3783421,2804033,4287256,1,11,1.1,1501399860
-0.40,-3783421,2804035,4287255,1,11,1.1,1501399861
0.01,-3783422,2804035,4287262,1,11,1.1,1501399861
0.50,-3783421,2804034,4287259,1,11,1.1,1501399862
1.00,-3783423,2804036,4287261,1,11,1.1,1501399862
1.41,-3783425,2804040,4287264,1,11,1.1,1501399863
1.90,-3783424,2804040,4287260,1,11,1.1,1501399863
2.40,-3783425,2804039,4287264,1,11,1.1,1501399864
2.40,-3783425,2804039,4287264,1,11,1.1,1501399864
2.80,-3783427,2804041,4287264,1,11,1.1,1501399864
3.30,-3783430,2804041,4287267,1,11,1.1,1501399865
3.71,-3783431,2804043,4287266,1,11,1.1,1501399865
4.21,-3783434,2804046,4287268,1,11,1.1,1501399866
4.70,-3783436,2804048,4287272,1,11,1.1,1501399866
5.11,-3783440,2804050,4287276,1,11,1.1,1501399866
5.60,-3783444,2804052,4287281,1,11,1.1,1501399867
6.10,-3783448,2804057,4287286,1,11,1.1,1501399867
6.50,-3783451,2804059,4287288,1,11,1.1,1501399868
7.00,-3783456,2804063,4287289,1,11,1.1,1501399868
7.50,-3783462,2804068,4287296,1,11,1.1,1501399869
7.91,-3783467,2804072,4287301,1,11,1.1,1501399869
8.40,-3783472,2804075,4287309,1,11,1.1,1501399870
8.81,-3783481,2804081,4287319,1,11,1.1,1501399870
9.31,-3783487,2804086,4287321,1,11,1.1,1501399871
9.80,-3783492,2804089,4287329,1,11,1.1,1501399871
10.21,-3783502,2804098,4287337,1,11,1.1,1501399872
10.70,-3783509,2804103,4287346,1,11,1.1,1501399872
11.20,-3783518,2804112,4287356,1,11,1.1,1501399872
11.60,-3783529,2804118,4287365,1,11,1.1,1501399873
12.10,-3783537,2804123,4287374,1,11,1.1,1501399873
12.60,-3783546,2804130,4287384,1,11,1.1,1501399874
13.01,-3783560,2804139,4287397,1,11,1.1,1501399874
13.50,-3783569,2804145,4287411,1,11,1.1,1501399875
14.00,-3783579,2804155,4287420,1,11,1.1,1501399875
14.40,-3783596,2804167,4287437,1,11,1.1,1501399876
14.91,-3783608,2804175,4287454,1,11,1.1,1501399876
15.40,-3783622,2804186,4287475,1,11,1.1,1501399877
15.81,-3783640,2804196,4287483,1,11,1.1,1501399877
16.30,-3783651,2804203,4287494,1,10,1.3,1501399878
16.80,-3783664,2804210,4287509,1,10,1.3,1501399878
17.70,-3783701,2804233,4287547,1,11,1.1,1501399879
18.11,-3783713,2804243,4287559,1,11,1.1,1501399879
19.10,-3783753,2804265,4287602,1,11,1.1,1501399880
19.51,-3783768,2804277,4287615,1,11,1.1,1501399881
20.01,-3783793,2804292,4287642,1,11,1.1,1501399881
20.50,-3783813,2804305,4287663,1,11,1.1,1501399882
20.91,-3783832,2804317,4287684,1,11,1.1,1501399882
21.41,-3783857,2804333,4287710,1,11,1.1,1501399883
22.30,-3783897,2804359,4287748,1,11,1.1,1501399884
22.81,-3783928,2804377,4287781,1,11,1.1,1501399884
23.30,-3783946,2804392,4287803,1,11,1.1,1501399885
23.71,-3783969,2804406,4287826,1,11,1.1,1501399885
24.20,-3783991,2804422,4287847,1,11,1.1,1501399885
24.70,-3784027,2804444,4287883,1,11,1.1,1501399886
