T[s],P0[MPa],P1[MPa],P2[MPa],P3[MPa],P4[MPa],P5[MPa]
-21.00,26.93,2.642,3.457,2.889,0.005,27.28
-20.60,26.93,2.642,3.457,2.889,0.005,27.28
-20.10,26.93,2.636,3.457,2.883,0.011,27.28
-19.60,26.93,2.636,3.464,2.877,0.005,27.26
-19.20,26.95,2.642,3.457,2.877,0.011,27.28
-19.10,26.95,2.642,3.457,2.877,0.011,27.28
-18.70,26.95,2.642,3.457,2.877,0.005,27.28
-18.20,26.95,2.642,3.457,2.871,0.005,27.28
-17.80,26.95,2.642,3.457,2.871,0.005,27.28
-17.30,26.95,2.642,3.457,2.871,0.005,27.26
-16.80,26.95,2.642,3.457,2.871,0.005,27.26
-16.40,26.95,2.642,3.457,2.864,0.005,27.26
-15.90,26.95,2.642,3.457,2.864,0.005,27.28
-15.50,26.95,2.642,3.457,2.864,0.005,27.28
-14.99,26.95,2.642,3.457,2.864,0.005,27.28
-14.50,26.95,2.642,3.457,2.858,0.011,27.28
-14.10,26.95,2.642,3.457,2.858,0.011,27.28
-13.60,26.95,2.642,3.457,2.858,0.011,27.28
-13.10,26.95,2.642,3.457,2.858,0.011,27.26
-12.70,26.95,2.642,3.457,2.852,0.011,27.28
-11.70,26.95,2.636,3.457,2.852,0.011,27.26
-11.30,26.98,2.642,3.457,2.852,0.011,27.23
-10.80,26.95,2.636,3.457,2.852,0.011,27.26
-10.30,26.98,2.642,3.457,2.846,0.005,27.26
-9.90,26.98,2.642,3.457,2.846,0.011,27.26
-9.40,26.95,2.642,3.457,2.846,0.005,27.26
-8.90,26.98,2.636,3.457,2.846,0.005,27.26
-8.49,26.98,2.636,3.457,2.846,0.005,27.26
-8.00,26.98,2.642,3.457,2.846,0.005,27.26
-7.10,26.98,2.642,3.457,2.839,0.005,27.26
-6.67,26.98,2.642,3.457,2.839,0.011,27.31
-6.20,26.98,2.642,3.457,2.839,0.011,27.26
-5.70,26.95,2.461,3.000,2.940,0.005,27.23
-5.60,26.95,2.461,3.000,2.940,0.005,27.23
-5.20,26.85,2.473,2.875,2.789,0.011,27.28
-4.80,26.75,2.486,2.818,2.714,0.011,27.23
-4.30,26.63,2.492,2.787,2.676,0.011,27.26
-3.80,26.50,2.504,2.768,2.645,0.005,27.23
-3.40,26.38,2.504,2.756,2.632,0.005,27.26
-2.90,26.25,2.517,2.749,2.619,0.005,27.23
-2.50,26.13,2.530,2.743,2.613,0.005,27.23
-2.00,26.00,2.536,2.749,2.607,0.011,27.23
-1.50,25.88,2.542,2.737,2.601,0.011,27.23
-1.10,25.75,2.548,2.737,2.601,0.011,27.23
-0.10,25.50,2.561,2.737,2.594,0.011,27.23
0.30,25.37,2.536,2.731,2.582,0.011,27.23
0.80,25.22,2.273,2.743,2.601,1.044,27.18
