T[s],receiver_rssi[dBm]
-21.00,-67
-21.00,-67
-20.90,-67
-20.89,-67
-20.80,-67
-20.70,-67
-20.70,-67
-20.60,-67
-20.60,-67
-20.50,-67
-20.50,-67
-20.40,-67
-20.30,-67
-20.30,-67
-20.20,-67
-20.20,-67
-20.10,-67
-20.00,-67
-20.00,-67
-19.90,-69
-19.89,-67
-19.80,-67
-19.80,-67
-19.70,-69
-19.60,-67
-19.60,-67
-19.50,-67
-19.49,-67
-19.40,-67
-19.30,-67
-19.30,-67
-19.20,-67
-19.20,-67
-19.10,-67
-19.10,-67
-19.00,-67
-18.90,-67
-18.90,-67
-18.80,-67
-18.80,-67
-18.70,-67
-18.60,-67
-18.60,-67
-18.50,-67
-18.50,-67
-18.40,-67
-18.30,-67
-18.30,-67
-18.20,-67
-18.20,-67
-18.10,-67
-18.09,-67
-18.00,-67
-18.00,-67
-17.90,-67
-17.80,-67
-17.80,-67
-17.70,-67
-17.70,-67
-17.60,-67
-17.50,-67
-17.50,-67
-17.40,-70
-17.40,-67
-17.30,-67
-17.20,-67
-17.20,-67
-17.10,-67
-17.10,-67
-17.00,-67
-17.00,-67
-16.90,-67
-16.80,-67
-16.80,-67
-16.70,-67
-16.69,-67
-16.60,-67
-16.60,-67
-16.50,-67
-16.40,-67
-16.40,-67
-16.30,-67
-16.30,-67
-16.20,-67
-16.10,-67
-16.10,-67
-16.00,-67
-16.00,-67
-15.90,-67
-15.90,-67
-15.80,-67
-15.79,-67
-15.70,-67
-15.60,-69
-15.60,-67
-15.50,-67
-15.50,-67
-15.40,-67
-15.30,-67
-15.29,-67
-15.20,-67
-15.20,-67
-15.10,-67
-15.00,-67
-14.99,-67
-14.90,-67
-14.90,-67
-14.80,-67
-14.80,-67
-14.70,-67
-14.60,-67
-14.60,-67
-14.50,-67
-14.50,-67
-14.40,-67
-14.39,-67
-14.30,-67
-14.20,-67
-14.20,-67
-14.10,-67
-14.10,-67
-14.00,-67
-13.90,-67
-13.90,-67
-13.80,-68
-13.80,-67
-13.70,-67
-13.70,-67
-13.60,-67
-13.50,-67
-13.50,-67
-13.40,-67
-13.40,-67
-13.30,-67
-13.20,-67
-13.20,-67
-13.10,-67
-13.10,-67
-13.00,-67
-12.99,-67
-12.90,-67
-12.80,-67
-12.80,-67
-12.70,-67
-12.70,-67
-12.60,-67
-12.60,-67
-12.50,-67
-12.40,-67
-12.40,-67
-12.30,-67
-12.30,-67
-12.20,-67
-12.10,-67
-12.10,-67
-12.00,-67
-12.00,-67
-11.90,-67
-11.90,-67
-11.80,-69
-11.70,-67
-11.70,-67
-11.60,-67
-11.60,-67
-11.50,-67
-11.40,-67
-11.40,-67
-11.30,-67
-11.30,-67
-11.20,-67
-11.19,-67
-11.10,-67
-11.00,-67
-11.00,-58
-10.90,-67
-10.90,-67
-10.80,-67
-10.70,-67
-10.70,-67
-10.60,-67
-10.60,-67
-10.50,-67
-10.50,-67
-10.40,-67
-10.30,-67
-10.30,-67
-10.20,-67
-10.20,-67
-10.10,-67
-10.10,-67
-10.00,-69
-9.90,-67
-9.90,-67
-9.80,-67
-9.80,-67
-9.70,-67
-9.60,-67
-9.60,-67
-9.50,-67
-9.50,-67
-9.40,-67
-9.40,-67
-9.30,-67
-9.20,-67
-9.20,-67
-9.10,-67
-9.10,-67
-9.00,-67
-8.90,-67
-8.90,-67
-8.80,-67
-8.79,-67
-8.70,-67
-8.70,-67
-8.60,-67
-8.50,-67
-8.49,-67
-8.40,-67
-8.40,-67
-8.30,-67
-8.30,-67
-8.20,-67
-8.10,-67
-8.10,-67
-8.00,-67
-8.00,-67
-7.90,-67
-7.80,-67
-7.80,-67
-7.70,-67
-7.70,-67
-7.60,-67
-7.60,-67
-7.50,-67
-7.40,-67
-7.40,-67
-7.30,-67
-7.30,-67
-7.20,-67
-7.10,-67
-7.10,-67
-7.00,-67
-7.00,-67
-6.90,-67
-6.89,-67
-6.80,-67
-6.70,-67
-6.69,-67
-6.67,-67
-6.60,-67
-6.50,-67
-6.49,-67
-6.40,-67
-6.30,-67
-6.30,-67
-6.20,-67
-6.20,-67
-6.10,-67
-6.00,-67
-5.99,-67
-5.90,-67
-5.90,-67
-5.80,-67
-5.80,-67
-5.70,-67
-5.60,-67
-5.60,-67
-5.50,-67
-5.50,-67
-5.40,-67
-5.30,-58
-5.30,-67
-5.20,-67
-5.20,-67
-5.10,-67
-5.09,-67
-5.00,-67
-5.00,-67
-4.90,-67
-4.80,-67
-4.80,-67
-4.70,-67
-4.70,-67
-4.60,-67
-4.50,-67
-4.50,-67
-4.40,-67
-4.40,-67
-4.30,-67
-4.20,-67
-4.20,-67
-4.10,-67
-4.10,-67
-4.00,-67
-4.00,-67
-3.90,-67
-3.80,-67
-3.80,-67
-3.70,-67
-3.69,-67
-3.60,-67
-3.60,-67
-3.50,-67
-3.40,-67
-3.40,-67
-3.30,-67
-3.30,-67
-3.20,-67
-3.10,-67
-3.10,-67
-3.00,-70
-3.00,-67
-2.90,-67
-2.90,-67
-2.80,-69
-2.70,-67
-2.70,-67
-2.60,-67
-2.60,-67
-2.50,-67
-2.50,-67
-2.40,-67
-2.30,-67
-2.29,-67
-2.20,-67
-2.20,-67
-2.10,-67
-2.00,-67
-2.00,-67
-1.90,-67
-1.90,-67
-1.80,-67
-1.80,-67
-1.70,-67
-1.60,-67
-1.60,-67
-1.50,-67
-1.50,-67
-1.40,-67
-1.40,-67
-1.30,-67
-1.20,-67
-1.20,-67
-1.10,-58
-1.10,-67
-1.00,-67
-0.90,-67
-0.90,-67
-0.80,-67
-0.80,-67
-0.70,-67
-0.70,-67
-0.60,-67
-0.50,-67
-0.50,-67
-0.40,-67
-0.40,-67
-0.30,-67
-0.30,-67
-0.20,-67
-0.10,-67
-0.10,-67
0.00,-67
0.01,-67
0.10,-69
0.20,-67
0.21,-67
0.30,-67
0.30,-67
0.40,-67
0.40,-67
0.50,-67
0.60,-68
0.60,-67
0.70,-67
0.70,-67
0.80,-68
0.81,-68
0.90,-68
1.00,-67
1.00,-67
1.10,-66
1.10,-66
1.20,-66
1.21,-66
1.30,-66
1.40,-66
1.41,-67
1.50,-67
1.50,-67
1.60,-66
1.70,-67
1.70,-67
1.80,-67
1.81,-66
1.90,-66
2.00,-66
2.00,-67
2.10,-66
2.10,-65
2.20,-65
2.20,-66
2.30,-66
2.40,-66
2.40,-66
2.50,-65
2.50,-65
2.60,-65
2.60,-65
2.70,-65
2.80,-66
2.80,-66
2.90,-66
2.90,-66
3.00,-66
3.10,-65
3.10,-65
3.20,-65
3.21,-65
3.30,-66
3.30,-67
3.40,-67
3.50,-68
3.50,-69
3.60,-68
3.60,-67
3.70,-67
3.71,-67
3.80,-67
