T[s],T1[cdeg],T2[cdeg],T3[cdeg]
-21.00,29.0,-68.0,-57.0
-20.60,29.0,-69.0,-57.0
-20.10,29.0,-69.0,-57.0
-19.60,29.0,-69.0,-57.0
-19.20,29.0,-69.0,-57.0
-19.10,29.0,-69.0,-57.0
-18.70,29.0,-69.0,-57.0
-18.20,29.0,-70.0,-57.0
-17.80,29.0,-70.0,-57.0
-17.30,29.0,-70.0,-57.0
-16.80,29.0,-71.0,-57.0
-16.40,29.0,-71.0,-57.0
-15.90,29.0,-71.0,-57.0
-15.50,29.0,-72.0,-57.0
-14.99,29.0,-72.0,-57.0
-14.50,29.0,-72.0,-56.0
-14.10,29.0,-72.0,-56.0
-13.60,29.0,-73.0,-56.0
-13.10,29.0,-73.0,-56.0
-12.70,29.0,-73.0,-56.0
-11.70,29.0,-74.0,-56.0
-11.30,29.0,-74.0,-56.0
-10.80,29.0,-75.0,-56.0
-10.30,29.0,-75.0,-56.0
-9.90,29.0,-75.0,-56.0
-9.40,29.0,-76.0,-56.0
-8.90,29.0,-76.0,-56.0
-8.49,29.0,-76.0,-56.0
-8.00,29.0,-77.0,-56.0
-7.10,29.0,-77.0,-56.0
-6.67,29.0,-77.0,-56.0
-6.20,29.0,-78.0,-56.0
-5.70,29.0,-78.0,-56.0
-5.60,29.0,-78.0,-56.0
-5.20,29.0,-79.0,-56.0
-4.80,29.0,-79.0,-56.0
-4.30,29.0,-79.0,-56.0
-3.80,29.0,-79.0,-56.0
-3.40,29.0,-80.0,-56.0
-2.90,29.0,-80.0,-57.0
-2.50,29.0,-81.0,-57.0
-2.00,29.0,-82.0,-57.0
-1.50,29.0,-82.0,-58.0
-1.10,29.0,-83.0,-58.0
-0.10,29.0,-84.0,-59.0
0.30,29.0,-85.0,-60.0
0.80,29.0,-85.0,-60.0
0.81,29.0,-85.0,-60.0
1.21,29.0,-86.0,-62.0
1.70,29.0,-86.0,-62.0
2.20,29.0,-86.0,-67.0
2.20,29.0,-86.0,-67.0
2.30,29.0,-86.0,-67.0
2.60,29.0,-87.0,-67.0
3.10,29.0,-87.0,-71.0
3.60,29.0,-87.0,-71.0
4.00,29.0,-87.0,-71.0
4.50,29.0,-87.0,-73.0
5.00,29.0,-87.0,-73.0
5.00,29.0,-87.0,-73.0
5.40,29.0,-87.0,-74.0
5.90,29.0,-87.0,-74.0
6.40,29.0,-86.0,-76.0
6.80,29.0,-86.0,-76.0
7.30,29.0,-86.0,-78.0
7.80,29.0,-86.0,-78.0
8.20,29.0,-85.0,-79.0
8.70,29.0,-85.0,-79.0
9.10,29.0,-84.0,-80.0
9.60,29.0,-84.0,-80.0
10.10,29.0,-83.0,-80.0
10.50,29.0,-83.0,-81.0
11.00,29.0,-82.0,-81.0
11.50,29.0,-82.0,-82.0
11.90,29.0,-81.0,-82.0
12.40,29.0,-81.0,-83.0
12.90,29.0,-80.0,-83.0
13.30,29.0,-79.0,-84.0
13.80,29.0,-79.0,-84.0
14.30,29.0,-78.0,-85.0
14.70,29.0,-78.0,-85.0
15.20,29.0,-77.0,-86.0
15.70,29.0,-77.0,-86.0
16.10,29.0,-76.0,-87.0
16.60,29.0,-76.0,-87.0
17.10,29.0,-75.0,-87.0
17.50,29.0,-75.0,-87.0
18.00,29.0,-74.0,-87.0
18.40,29.0,-74.0,-88.0
18.90,29.0,-74.0,-88.0
19.00,29.0,-74.0,-88.0
19.40,29.0,-73.0,-89.0
19.90,29.0,-73.0,-89.0
19.91,29.0,-73.0,-89.0
20.31,29.0,-72.0,-89.0
20.80,29.0,-72.0,-89.0
21.20,29.0,-72.0,-90.0
22.20,29.0,-71.0,-90.0
23.10,29.0,-70.0,-91.0
23.60,29.0,-70.0,-91.0
24.00,29.0,-69.0,-91.0
24.50,29.0,-69.0,-91.0
24.50,29.0,-69.0,-91.0
25.40,29.0,-68.0,-91.0
25.90,29.0,-68.0,-91.0
25.90,29.0,-68.0,-91.0
26.30,29.0,-67.0,-92.0
26.80,29.0,-67.0,-92.0
27.70,29.0,-66.0,-92.0
28.20,29.0,-66.0,-92.0
28.30,29.0,-66.0,-92.0
28.70,29.0,-65.0,-92.0
29.10,29.0,-65.0,-93.0
29.60,29.0,-64.0,-93.0
30.10,29.0,-64.0,-93.0
31.00,29.0,-63.0,-93.0
31.50,29.0,-62.0,-93.0
31.90,29.0,-62.0,-93.0
32.40,29.0,-62.0,-93.0
32.90,29.0,-61.0,-93.0
33.30,29.0,-61.0,-93.0
33.80,29.0,-60.0,-93.0
33.80,29.0,-60.0,-93.0
34.20,29.0,-60.0,-94.0
34.70,29.0,-59.0,-94.0
35.20,29.0,-59.0,-94.0
35.60,29.0,-58.0,-94.0
36.10,29.0,-58.0,-95.0
36.60,29.0,-57.0,-95.0
37.00,29.0,-57.0,-95.0
37.50,29.0,-57.0,-95.0
38.00,29.0,-56.0,-95.0
38.40,29.0,-56.0,-95.0
38.90,29.0,-55.0,-95.0
39.40,29.0,-55.0,-95.0
39.80,29.0,-54.0,-95.0
40.30,29.0,-54.0,-95.0
40.30,29.0,-54.0,-95.0
40.70,29.0,-53.0,-95.0
41.20,29.0,-53.0,-95.0
41.70,29.0,-53.0,-95.0
42.10,29.0,-52.0,-95.0
42.60,28.0,-52.0,-95.0
43.10,28.0,-52.0,-95.0
43.50,29.0,-51.0,-95.0
44.00,29.0,-51.0,-95.0
44.50,28.0,-50.0,-96.0
44.90,28.0,-50.0,-96.0
45.40,28.0,-50.0,-96.0
45.90,28.0,-50.0,-96.0
46.30,28.0,-49.0,-96.0
46.40,28.0,-49.0,-96.0
46.80,28.0,-49.0,-96.0
47.20,28.0,-49.0,-96.0
47.70,28.0,-49.0,-96.0
48.20,28.0,-49.0,-96.0
48.60,28.0,-49.0,-96.0
49.10,28.0,-48.0,-96.0
49.60,28.0,-48.0,-96.0
50.00,28.0,-47.0,-96.0
50.50,28.0,-46.0,-96.0
51.00,28.0,-46.0,-96.0
51.40,28.0,-45.0,-96.0
51.90,28.0,-44.0,-96.0
52.40,28.0,-44.0,-96.0
52.80,28.0,-43.0,-96.0
53.30,28.0,-43.0,-96.0
53.80,28.0,-42.0,-96.0
54.20,28.0,-42.0,-96.0
54.70,28.0,-41.0,-96.0
55.20,28.0,-41.0,-96.0
55.60,28.0,-40.0,-96.0
56.10,28.0,-40.0,-97.0
56.60,28.0,-39.0,-97.0
57.00,28.0,-39.0,-97.0
57.50,28.0,-39.0,-97.0
58.00,28.0,-38.0,-97.0
58.40,28.0,-37.0,-97.0
59.40,28.0,-37.0,-97.0
59.81,28.0,-36.0,-97.0
60.30,28.0,-36.0,-97.0
60.80,28.0,-36.0,-97.0
61.20,28.0,-35.0,-97.0
61.70,28.0,-35.0,-97.0
62.11,28.0,-35.0,-97.0
62.61,28.0,-34.0,-97.0
63.10,28.0,-34.0,-97.0
63.50,28.0,-33.0,-97.0
64.00,28.0,-33.0,-97.0
64.90,28.0,-32.0,-97.0
65.40,28.0,-32.0,-97.0
65.50,28.0,-32.0,-97.0
65.90,28.0,-31.0,-97.0
66.30,28.0,-31.0,-97.0
