T[s],ecef_x[m],ecef_y[m],ecef_z[m],fix,satellites,hdop,unixtime[s]
-20.30,-3783428,2804037,4287258,1,13,1.0,1501399841
-18.80,-3783430,2804037,4287259,1,13,1.0,1501399842
-18.40,-3783430,2804036,4287259,1,13,1.0,1501399842
-18.00,-3783431,2804036,4287262,1,13,1.0,1501399843
-17.50,-3783431,2804035,4287260,1,13,1.0,1501399843
-16.10,-3783431,2804036,4287257,1,13,1.0,1501399845
-14.70,-3783428,2804035,4287254,1,13,1.0,1501399846
-12.80,-3783427,2804035,4287255,1,13,1.0,1501399848
-11.00,-3783428,2804036,4287252,1,13,1.0,1501399850
-10.60,-3783426,2804035,4287254,1,13,1.0,1501399850
-10.09,-3783427,2804036,4287255,1,13,1.0,1501399851
-7.70,-3783427,2804040,4287253,1,13,1.0,1501399853
-6.80,-3783425,2804038,4287249,1,13,1.0,1501399854
-5.80,-3783427,2804037,4287250,1,13,1.0,1501399855
-5.40,-3783426,2804038,4287253,1,13,1.0,1501399855
-4.00,-3783429,2804038,4287256,1,13,1.0,1501399857
-3.50,-3783427,2804037,4287255,1,13,1.0,1501399857
-3.10,-3783429,2804037,4287256,1,13,1.0,1501399858
-2.09,-3783431,2804036,4287260,1,13,1.0,1501399859
-1.20,-3783431,2804037,4287260,1,13,1.0,1501399860
0.20,-3783429,2804037,4287260,1,13,1.0,1501399861
1.60,-3783428,2804037,4287258,1,13,1.0,1501399862
2.50,-3783429,2804039,4287261,1,13,1.0,1501399863
2.90,-3783431,2804041,4287263,1,13,1.0,1501399864
4.30,-3783437,2804046,4287272,1,13,1.0,1501399865
5.80,-3783446,2804053,4287278,1,13,1.0,1501399867
7.20,-3783457,2804063,4287287,1,13,1.0,1501399868
9.50,-3783487,2804084,4287319,1,13,1.0,1501399870
9.90,-3783496,2804091,4287327,1,13,1.0,1501399871
10.80,-3783509,2804100,4287339,1,13,1.0,1501399872
14.10,-3783582,2804154,4287414,1,13,1.0,1501399875
16.00,-3783627,2804186,4287462,1,13,1.0,1501399877
20.60,-3783796,2804295,4287643,1,13,1.0,1501399881
21.60,-3783841,2804324,4287687,1,13,1.0,1501399882
22.90,-3783913,2804367,4287762,1,13,1.0,1501399884
23.50,-3783932,2804380,4287781,1,13,1.0,1501399884
24.80,-3784003,2804426,4287855,1,13,1.0,1501399886
25.60,-3784062,2804463,4287919,1,13,1.0,1501399887
26.20,-3784086,2804479,4287942,1,13,1.0,1501399887
27.50,-3784173,2804534,4288036,1,13,1.0,1501399888
28.00,-3784200,2804550,4288071,1,13,1.0,1501399889
29.00,-3784270,2804597,4288133,1,13,1.0,1501399890
34.00,-3784689,2804865,4288570,1,13,1.0,1501399895
34.60,-3784729,2804887,4288607,1,13,1.0,1501399895
36.40,-3784902,2805001,4288788,1,13,1.0,1501399897
36.90,-3784943,2805025,4288838,1,13,1.0,1501399898
41.00,-3785403,2805320,4289321,1,13,1.0,1501399902
41.50,-3785478,2805366,4289401,1,13,1.0,1501399902
44.30,-3785837,2805598,4289778,1,13,1.0,1501399905
45.20,-3785948,2805668,4289898,1,13,1.0,1501399906
46.20,-3786094,2805759,4290050,1,13,1.0,1501399907
46.60,-3786152,2805798,4290110,1,13,1.0,1501399907
48.60,-3786425,2805971,4290396,1,13,1.0,1501399909
48.90,-3786522,2806028,4290497,1,13,1.0,1501399910
49.30,-3786588,2806070,4290563,1,13,1.0,1501399910
50.80,-3786827,2806215,4290807,1,13,1.0,1501399912
52.30,-3787071,2806365,4291052,1,13,1.0,1501399913
52.60,-3787145,2806409,4291134,1,13,1.0,1501399913
53.20,-3787257,2806481,4291242,1,13,1.0,1501399914
