T[s],barometer[Pa],wx[dps],wy[dps],wz[dps],ax[g],ay[g],az[g]
-20.99,101190,0.007812,0.020210,-0.007812,0.000477,0.006062,1.002930
-20.60,101190,0.011692,-0.027603,0.007812,0.000576,0.006027,1.002930
-19.60,101190,0.021561,-0.019188,-0.007812,0.000167,0.006210,1.002930
-18.70,101190,-0.012989,-0.007812,0.007812,0.000126,0.005825,1.002930
-18.20,101190,-0.012253,0.007812,-0.012699,0.000195,0.006134,1.002930
-17.70,101190,0.014740,0.013702,0.015308,-0.000130,0.005856,1.002930
-16.79,101180,-0.007812,0.007812,0.007812,0.000355,0.006119,1.002930
-15.39,101190,-0.014797,-0.007812,-0.009033,0.000055,0.005928,1.002930
-15.00,101190,-0.008102,-0.007812,-0.007812,-0.000063,0.005806,1.002930
-14.50,101190,0.014786,-0.022430,-0.007812,0.000222,0.005779,1.002930
-10.70,101190,0.007812,-0.010193,-0.018539,-0.000144,0.006207,1.002930
-10.20,101190,0.007812,0.024872,-0.010654,0.000059,0.006073,1.002930
-8.30,101190,-0.008850,0.007812,0.007812,-0.000667,0.006493,1.002930
-7.50,101190,0.026901,0.009285,0.007812,0.000950,0.006413,1.002930
-5.69,101190,0.015877,0.009861,-0.027229,0.000483,0.005039,1.002930
-3.80,101190,-0.007812,0.007812,-0.010960,-0.000756,0.006306,1.000977
-3.30,101190,-0.007812,0.031158,-0.022209,0.000204,0.007988,1.009766
-1.99,101190,0.007812,0.007812,-0.007812,-0.001493,0.008896,1.002930
-0.50,101190,-0.007812,0.031616,0.007812,0.001453,0.003738,1.020508
0.80,101190,0.013088,-0.007812,-0.023766,0.000938,0.007866,0.991699
2.30,101160,1.598145,-0.147827,-1.377441,0.002556,0.131958,0.127930
2.70,101140,0.946533,-0.088806,-1.928223,0.097229,0.078491,0.291260
3.20,101120,0.080353,-0.046570,0.290161,0.062439,0.091370,0.397949
3.61,101090,-0.125427,0.060287,-0.050140,0.027451,0.067688,0.216797
4.60,101000,-0.465576,-0.045288,0.078125,0.038605,-0.002584,0.271973
5.10,100960,-0.555664,-0.053055,-0.368530,0.115112,0.059143,0.286865
5.40,100880,-0.504883,-0.144531,-0.627441,0.069824,0.099060,0.485352
6.00,100830,-0.243713,0.035507,-0.974854,-0.000275,0.074463,0.136841
6.90,100660,-0.108948,0.385864,-0.771484,0.045868,0.076904,0.322266
9.70,100010,0.189026,0.341309,-0.066193,0.024490,0.078308,0.375732
12.50,99050,0.124603,0.271606,0.245789,0.024078,0.121155,0.309814
13.30,98600,-0.017036,0.276001,0.671387,0.046265,0.075745,0.313965
15.30,97750,0.198181,0.433105,31.726562,0.064270,0.102783,0.276367
18.50,95790,0.486694,0.243652,71.656250,-0.019806,0.081665,0.336182
20.00,94850,0.241760,0.392578,41.281250,0.059509,0.109253,0.653809
22.80,92700,-0.274048,0.030495,16.570312,0.027588,0.120422,0.366699
24.10,91430,-0.127747,-0.098816,30.546875,0.068481,0.182007,0.609863
25.50,90220,-0.131104,-0.368164,42.328125,0.138794,0.193604,0.502930
26.00,89730,-0.111481,-0.471191,44.937500,0.121033,0.168579,0.468018
26.80,88820,0.517578,-0.426514,46.750000,0.165771,0.143677,0.240845
28.40,87280,0.542236,0.212708,46.921875,0.056122,0.152710,0.424805
29.70,85710,0.295898,0.584473,44.406250,0.076965,0.078857,0.281738
32.00,82840,-0.646484,0.330933,45.718750,0.095093,0.115295,0.182129
33.80,80500,0.013863,-0.617432,56.281250,0.112549,0.193848,0.282715
34.30,79830,0.009029,-0.701172,61.750000,0.103577,0.101807,0.248291
39.40,72370,0.100800,0.499878,68.812500,0.109375,0.101257,0.359863
40.80,70160,-0.051865,0.472778,76.218750,0.132812,0.064514,0.487549
41.30,69490,-0.539551,0.764160,78.718750,0.019745,0.091125,0.448975
44.50,64170,-0.836426,-0.813721,86.781250,0.069275,0.078308,0.356445
45.80,61700,-0.533936,-1.276855,91.593750,0.031342,0.216675,0.421143
47.40,59370,0.671631,-1.618652,99.593750,0.068970,0.263672,0.343262
48.70,56970,1.853027,-1.639160,101.531250,-0.060852,0.212158,0.297119
49.20,56150,2.439453,-1.656738,103.625000,-0.043945,0.267334,0.450439
50.10,54440,3.137695,0.039703,102.531250,-0.085571,0.195068,0.280029
51.40,51860,3.365234,2.577148,99.656250,-0.104431,0.003677,0.559570
52.90,49340,0.726562,4.630859,100.125000,0.027374,-0.027283,0.487061
