T[s],control,ignite,v25_state,v21_state,v35_state,v7_state,v10_state,v6_state,v18_state,v22_state,v16_state,v20_state,sequence_time[s]
-20.50,0x0001,0,close,close,close,close,close,close,close,close,close,close,-20
-20.00,0x0001,0,close,close,close,close,close,close,close,close,close,close,-20
-18.20,0x4001,0,close,close,close,close,close,close,close,close,close,close,-18
-15.90,0x4001,0,close,close,close,close,close,close,close,close,close,close,-16
-15.30,0x4001,0,close,close,close,close,close,close,close,close,close,close,-15
-13.90,0x4001,0,close,close,close,close,close,close,close,close,close,close,-14
-13.50,0x4001,0,close,close,close,close,close,close,close,close,close,close,-13
-12.90,0x4001,0,close,close,close,close,close,close,close,close,close,close,-13
-12.60,0x4001,0,close,close,close,close,close,close,close,close,close,close,-12
-12.00,0x4001,0,close,close,close,close,close,close,close,close,close,close,-12
-11.10,0x4801,0,open,close,close,close,close,close,close,close,close,close,-11
-10.70,0x4801,0,open,close,close,close,close,close,close,close,close,close,-11
-10.20,0x4801,0,open,close,close,close,close,close,close,close,close,close,-10
-9.30,0x4801,0,open,close,close,close,close,close,close,close,close,close,-9
-8.30,0x4801,0,open,close,close,close,close,close,close,close,close,close,-8
-7.90,0x4801,0,open,close,close,close,close,close,close,close,close,close,-8
-7.40,0x4801,0,open,close,close,close,close,close,close,close,close,close,-7
-5.50,0x482b,0,open,close,open,close,close,open,close,close,close,close,-5
-4.60,0x482b,0,open,close,open,close,open,open,close,open,close,close,-4
-3.30,0x482b,0,open,close,open,close,open,open,close,open,close,close,-3
-1.00,0x582b,1,open,close,open,close,open,open,close,open,close,close,-1
0.00,0x482b,0,open,close,open,close,open,open,close,open,close,close,0
0.80,0x482f,0,open,close,open,close,open,open,moving,open,close,close,0
1.40,0x402f,0,open,close,open,close,open,open,open,open,close,close,1
2.70,0x402f,0,close,close,open,close,open,open,open,open,close,close,2
3.70,0x402f,0,close,close,open,close,open,open,open,open,close,close,3
5.10,0x402f,0,close,close,open,close,open,open,open,open,close,close,4
6.40,0x402f,0,close,close,open,close,open,open,open,open,close,close,6
6.91,0x402f,0,close,close,open,close,open,open,open,open,close,close,6
7.40,0x402f,0,close,close,open,close,open,open,open,open,close,close,7
7.90,0x402f,0,close,close,open,close,open,open,open,open,close,close,7
8.80,0x402f,0,close,close,open,close,open,open,open,open,close,close,8
9.40,0x402f,0,close,close,open,close,open,open,open,open,close,close,8
9.80,0x402f,0,close,close,open,close,open,open,open,open,close,close,9
10.10,0x402f,0,close,close,open,close,open,open,open,open,close,close,9
10.70,0x402f,0,close,close,open,close,open,open,open,open,close,close,10
11.10,0x402f,0,close,close,open,close,open,open,open,open,close,close,10
12.00,0x402f,0,close,close,open,close,open,open,open,open,close,close,11
13.50,0x402f,0,close,close,open,close,open,open,open,open,close,close,13
13.80,0x402f,0,close,close,open,close,open,open,open,open,close,close,13
14.40,0x402f,0,close,close,open,close,open,open,open,open,close,close,14
14.90,0x402f,0,close,close,open,close,open,open,open,open,close,close,14
15.80,0x402f,0,close,close,open,close,open,open,open,open,close,close,15
16.70,0x402f,0,close,close,open,close,open,open,open,open,close,close,16
19.10,0x402f,0,close,close,open,close,open,open,open,open,close,close,18
19.50,0x402f,0,close,close,open,close,open,open,open,open,close,close,19
20.01,0x402f,0,close,close,open,close,open,open,open,open,close,close,19
20.40,0x402f,0,close,close,open,close,open,open,open,open,close,close,20
22.30,0x402f,0,close,close,open,close,open,open,open,open,close,close,22
22.81,0x402f,0,close,close,open,close,open,open,open,open,close,close,22
23.20,0x402f,0,close,close,open,close,open,open,open,open,close,close,22
23.70,0x402f,0,close,close,open,close,open,open,open,open,close,close,23
26.90,0x402f,0,close,close,open,close,open,open,open,open,close,close,26
28.41,0x402f,0,close,close,open,close,open,open,open,open,close,close,28
29.80,0x402f,0,close,close,open,close,open,open,open,open,close,close,29
31.50,0x402f,0,close,close,open,close,open,open,open,open,close,close,31
32.10,0x402f,0,close,close,open,close,open,open,open,open,close,close,31
32.50,0x402f,0,close,close,open,close,open,open,open,open,close,close,32
33.40,0x402f,0,close,close,open,close,open,open,open,open,close,close,33
33.90,0x402f,0,close,close,open,close,open,open,open,open,close,close,33
34.40,0x402f,0,close,close,open,close,open,open,open,open,close,close,34
35.30,0x402f,0,close,close,open,close,open,open,open,open,close,close,35
37.10,0x402f,0,close,close,open,close,open,open,open,open,close,close,36
39.50,0x402f,0,close,close,open,close,open,open,open,open,close,close,39
41.80,0x402f,0,close,close,open,close,open,open,open,open,close,close,41
42.20,0x402f,0,close,close,open,close,open,open,open,open,close,close,41
46.00,0x402f,0,close,close,open,close,open,open,open,open,close,close,45
48.70,0x402f,0,close,close,open,close,open,open,open,open,close,close,48
51.10,0x402f,0,close,close,open,close,open,open,open,open,close,close,50
51.60,0x402f,0,close,close,open,close,open,open,open,open,close,close,51
52.90,0x402f,0,close,close,open,close,open,open,open,open,close,close,52
54.30,0x402f,0,close,close,open,close,open,open,open,open,close,close,54
55.80,0x402f,0,close,close,open,close,open,open,open,open,close,close,55
57.10,0x402f,0,close,close,open,close,open,open,open,open,close,close,56
59.90,0x402f,0,close,close,open,close,open,open,open,open,close,close,59
