# T[s],control,sequence_elapse[s]
-38.000,17,-20.0
-37.899,17,-20.0
-37.800,17,-20.0
-37.699,17,-20.0
-37.599,17,-20.0
-37.498,17,-20.0
-37.400,17,-20.0
-37.300,17,-20.0
-37.200,17,-20.0
-37.099,17,-20.0
-36.998,17,-20.0
-36.899,17,-20.0
-36.800,17,-20.0
-36.696,17,-20.0
-36.599,17,-20.0
-36.499,17,-20.0
-36.399,17,-20.0
-36.299,17,-20.0
-36.200,17,-20.0
-36.100,17,-20.0
-36.000,17,-20.0
-35.899,17,-20.0
-35.800,17,-20.0
-35.699,17,-20.0
-35.600,17,-20.0
-35.500,17,-20.0
-35.396,17,-20.0
-35.299,17,-20.0
-35.199,17,-20.0
-35.100,17,-20.0
-35.000,17,-20.0
-34.899,17,-20.0
-34.792,17,-20.0
-34.700,17,-20.0
-34.599,17,-20.0
-34.491,17,-20.0
-34.399,17,-20.0
-34.300,17,-20.0
-34.200,17,-20.0
-34.098,17,-20.0
-33.999,17,-20.0
-33.893,17,-20.0
-33.800,17,-20.0
-33.699,49,-20.0
-33.600,49,-20.0
-33.499,49,-20.0
-33.399,49,-20.0
-33.299,49,-20.0
-33.200,49,-20.0
-33.098,49,-20.0
-32.999,49,-20.0
-32.898,49,-20.0
-32.801,49,-20.0
-32.699,49,-20.0
-32.598,49,-20.0
-32.499,49,-20.0
-32.398,49,-20.0
-32.300,49,-20.0
-32.200,49,-20.0
-32.099,49,-20.0
-31.999,49,-20.0
-31.899,49,-20.0
-31.800,49,-20.0
-31.698,49,-20.0
-31.599,49,-20.0
-31.499,49,-20.0
-31.400,49,-20.0
-31.299,49,-20.0
-31.200,49,-20.0
-31.098,49,-20.0
-31.000,49,-20.0
-30.899,49,-20.0
-30.799,49,-20.0
-30.698,49,-20.0
-30.599,49,-20.0
-30.499,49,-20.0
-30.400,49,-20.0
-30.299,49,-20.0
-30.198,17,-20.0
-30.098,17,-20.0
-30.000,17,-20.0
-29.896,17,-20.0
-29.800,17,-20.0
-29.699,17,-20.0
-29.599,17,-20.0
-29.498,17,-20.0
-29.400,17,-20.0
-29.298,17,-20.0
-29.198,17,-20.0
-29.099,17,-20.0
-28.999,17,-20.0
-28.898,17,-20.0
-28.800,17,-20.0
-28.698,17,-20.0
-28.600,17,-20.0
-28.497,17,-20.0
-28.399,17,-20.0
-28.299,17,-20.0
-28.201,17,-20.0
-28.100,17,-20.0
-28.000,17,-20.0
-27.899,1,-20.0
-27.799,1,-20.0
-27.698,1,-20.0
-27.599,1,-20.0
-27.499,1,-20.0
-27.399,1,-20.0
-27.300,1,-20.0
-27.201,1,-20.0
-27.100,1,-20.0
-26.999,1,-20.0
-26.899,1,-20.0
-26.800,1,-20.0
-26.699,1,-20.0
-26.598,1,-20.0
-26.499,1,-20.0
-26.400,1,-20.0
-26.300,1,-20.0
-26.198,1,-20.0
-26.100,1,-20.0
-26.000,1,-20.0
-25.898,1,-20.0
-25.798,1,-20.0
-25.698,1,-20.0
-25.597,1,-20.0
-25.498,1,-20.0
-25.399,1,-20.0
-25.299,1,-20.0
-25.199,1,-20.0
-25.099,1,-20.0
-25.000,1,-20.0
-24.900,1,-20.0
-24.800,1,-20.0
-24.699,1,-20.0
-24.598,1,-20.0
-24.499,1,-20.0
-24.398,1,-20.0
-24.297,1,-20.0
-24.199,1,-20.0
-24.099,1,-20.0
-23.999,1,-20.0
-23.900,1,-20.0
-23.801,1,-20.0
-23.699,1,-20.0
-23.599,1,-20.0
-23.498,1,-20.0
-23.399,1,-20.0
-23.299,1,-20.0
-23.200,1,-20.0
-23.100,1,-20.0
-22.998,1,-20.0
-22.899,1,-20.0
-22.801,1,-20.0
-22.698,1,-20.0
-22.599,1,-20.0
-22.496,1,-20.0
-22.399,1,-20.0
-22.297,1,-20.0
-22.199,1,-20.0
-22.094,1,-20.0
-21.998,1,-20.0
-21.898,1,-20.0
-21.800,1,-20.0
-21.699,1,-20.0
-21.599,1,-20.0
-21.499,1,-20.0
-21.398,1,-20.0
-21.299,1,-20.0
-21.198,1,-20.0
-21.099,1,-20.0
-20.999,1,-20.0
-20.899,1,-20.0
-20.800,1,-20.0
-20.699,1,-20.0
-20.599,1,-20.0
-20.499,1,-20.0
-20.399,1,-20.0
-20.299,1,-20.0
-20.198,1,-20.0
-20.100,1,-20.0
-20.000,16385,-20.0
-19.899,16385,-19.9
-19.795,16385,-19.8
-19.699,16385,-19.7
-19.598,16385,-19.6
-19.498,16385,-19.5
-19.400,16385,-19.4
-19.298,16385,-19.3
-19.199,16385,-19.2
-19.094,16385,-19.1
-18.998,16385,-19.0
-18.899,16385,-18.9
-18.799,16385,-18.8
-18.700,16385,-18.7
-18.599,16385,-18.6
-18.499,16385,-18.5
-18.399,16385,-18.4
-18.299,16385,-18.3
-18.199,16385,-18.2
-18.100,16385,-18.1
-17.999,16385,-18.0
-17.899,16385,-17.9
-17.801,16385,-17.8
-17.694,16385,-17.7
-17.599,16385,-17.6
-17.500,16385,-17.5
-17.399,16385,-17.4
-17.299,16385,-17.3
-17.199,16385,-17.2
-17.099,16385,-17.1
-17.000,16385,-17.0
-16.900,16385,-16.9
-16.800,16385,-16.8
-16.699,16385,-16.7
-16.599,16385,-16.6
-16.496,16385,-16.5
-16.399,16385,-16.4
-16.295,16385,-16.3
-16.200,16385,-16.2
-16.099,16385,-16.1
-15.999,16385,-16.0
-15.899,16385,-15.9
-15.801,16385,-15.8
-15.700,16385,-15.7
-15.599,16385,-15.6
-15.499,16385,-15.5
-15.398,16385,-15.4
-15.299,16385,-15.3
-15.201,16385,-15.2
-15.099,16385,-15.1
-15.000,16385,-15.0
-14.899,16385,-14.9
-14.799,16385,-14.8
-14.698,16385,-14.7
-14.591,16385,-14.6
-14.499,16385,-14.5
-14.391,16385,-14.4
-14.299,16385,-14.3
-14.198,16385,-14.2
-14.099,16385,-14.1
-13.995,16385,-14.0
-13.899,16385,-13.9
-13.798,16385,-13.8
-13.699,16385,-13.7
-13.597,16385,-13.6
-13.491,16385,-13.5
-13.399,16385,-13.4
-13.299,16385,-13.3
-13.199,16385,-13.2
-13.099,16385,-13.1
-12.999,16385,-13.0
-12.899,16385,-12.9
-12.799,16385,-12.7
-12.698,16385,-12.7
-12.598,16385,-12.5
-12.499,16385,-12.5
-12.399,16385,-12.4
-12.299,16385,-12.2
-12.199,16385,-12.2
-12.099,16385,-12.0
-12.000,18433,-12.0
-11.898,18433,-11.9
-11.799,18433,-11.7
-11.699,18433,-11.7
-11.599,18433,-11.5
-11.499,18433,-11.5
-11.399,18433,-11.4
-11.300,18433,-11.2
-11.199,18433,-11.2
-11.099,18433,-11.0
-10.998,18433,-11.0
-10.898,18433,-10.9
-10.799,18433,-10.7
-10.698,18433,-10.7
-10.598,18433,-10.5
-10.499,18433,-10.5
-10.399,18433,-10.4
-10.299,18433,-10.2
-10.199,18433,-10.2
-10.099,18433,-10.0
-9.999,18433,-10.0
-9.899,18433,-9.9
-9.799,18433,-9.7
-9.699,18433,-9.7
-9.598,18433,-9.5
-9.499,18433,-9.4
-9.399,18433,-9.4
-9.299,18433,-9.2
-9.199,18433,-9.2
-9.099,18433,-9.0
-8.998,18433,-8.9
-8.895,18433,-8.9
-8.799,18433,-8.7
-8.699,18433,-8.7
-8.598,18433,-8.5
-8.499,18433,-8.4
-8.398,18433,-8.4
-8.299,18433,-8.2
-8.199,18433,-8.2
-8.099,18433,-8.0
-7.999,18433,-7.9
-7.899,18433,-7.9
