# T[s],control
-38.011,17
-37.933,17
-37.854,17
-37.778,17
-37.699,17
-37.622,17
-37.542,17
-37.463,17
-37.307,17
-37.229,17
-37.151,17
-37.074,17
-36.994,17
-36.918,17
-36.838,17
-36.761,17
-36.603,17
-36.524,17
-36.447,17
-36.369,17
-36.291,17
-36.214,17
-36.134,17
-36.058,17
-35.899,17
-35.822,17
-35.743,17
-35.664,17
-35.587,17
-35.510,17
-35.429,17
-35.352,17
-35.194,17
-35.116,17
-35.039,17
-34.962,17
-34.883,17
-34.797,17
-34.727,17
-34.650,17
-34.487,17
-34.412,17
-34.335,17
-34.258,17
-34.179,17
-34.100,17
-34.021,17
-33.944,17
-33.787,49
-33.708,49
-33.627,49
-33.553,49
-33.475,49
-33.396,49
-33.319,49
-33.242,49
-33.083,49
-33.004,49
-32.927,49
-32.849,49
-32.771,49
-32.692,49
-32.614,49
-32.537,49
-32.223,49
-32.144,49
-32.067,49
-31.988,49
-31.911,49
-31.834,49
-31.514,49
-31.441,49
-31.362,49
-31.284,49
-31.207,49
-31.130,49
-30.971,49
-30.892,49
-30.815,49
-30.737,49
-30.659,49
-30.580,49
-30.502,49
-30.424,49
-30.267,17
-30.188,17
-30.110,17
-30.032,17
-29.955,17
-29.877,17
-29.799,17
-29.717,17
-29.563,17
-29.484,17
-29.407,17
-29.329,17
-29.251,17
-29.172,17
-29.094,17
-29.017,17
-28.702,17
-28.625,17
-28.545,17
-28.467,17
-28.391,17
-28.312,17
-28.153,17
-28.077,17
-27.997,17
-27.921,1
-27.840,1
-27.763,1
-27.687,1
-27.608,1
-27.447,1
-27.138,1
-27.060,1
-26.982,1
-26.904,1
-26.589,1
-26.512,1
-26.433,1
-26.357,1
-26.279,1
-26.201,1
-26.040,1
-25.964,1
-25.887,1
-25.809,1
-25.729,1
-25.653,1
-25.574,1
-25.496,1
-25.181,1
-25.104,1
-25.026,1
-24.949,1
-24.871,1
-24.792,1
-24.635,1
-24.557,1
-24.478,1
-24.400,1
-24.322,1
-24.244,1
-24.166,1
-24.088,1
-23.929,1
-23.853,1
-23.773,1
-23.697,1
-23.618,1
-23.541,1
-23.461,1
-23.385,1
-23.069,1
-22.992,1
-22.914,1
-22.836,1
-22.752,1
-22.681,1
-22.365,1
-22.285,1
-22.209,1
-22.133,1
-22.055,1
-21.977,1
-21.658,1
-21.583,1
-21.505,1
-21.429,1
-21.351,1
-21.272,1
-21.114,1
-21.037,1
-20.957,1
-20.881,1
-20.803,1
-20.725,1
-20.646,1
-20.569,1
-20.410,1
-20.333,1
-20.254,1
-20.176,1
-20.097,1
-20.021,16385
-19.943,16385
-19.864,16385
-19.706,16385
-19.628,16385
-19.550,16385
-19.471,16385
-19.395,16385
-19.317,16385
-19.238,16385
-19.161,16385
-19.002,16385
-18.925,16385
-18.843,16385
-18.769,16385
-18.690,16385
-18.613,16385
-18.534,16385
-18.457,16385
-18.297,16385
-18.217,16385
-18.142,16385
-18.063,16385
-17.986,16385
-17.909,16385
-17.830,16385
-17.752,16385
-17.594,16385
-17.517,16385
-17.438,16385
-17.361,16385
-17.282,16385
-17.204,16385
-17.126,16385
-17.049,16385
-16.734,16385
-16.657,16385
-16.578,16385
-16.496,16385
-16.418,16385
-16.345,16385
-16.186,16385
-16.108,16385
-16.030,16385
-15.953,16385
-15.873,16385
-15.797,16385
-15.718,16385
-15.641,16385
-15.482,16385
-15.403,16385
-15.326,16385
-15.249,16385
-15.170,16385
-15.093,16385
-15.014,16385
-14.937,16385
-14.778,16385
