# T[s],q2
-38.084,0.00209623
-38.076,0.00209987
-38.065,0.00210331
-38.056,0.00210939
-38.046,0.00211097
-38.035,0.00210243
-38.025,0.00210713
-38.015,0.00210878
-38.004,0.00211500
-37.996,0.00211160
-37.986,0.00211356
-37.976,0.00211116
-37.965,0.00211016
-37.956,0.00210802
-37.945,0.00210717
-37.936,0.00211122
-37.925,0.00211772
-37.915,0.00211460
-37.905,0.00211285
-37.896,0.00211639
-37.886,0.00211474
-37.874,0.00211526
-37.865,0.00211827
-37.855,0.00212224
-37.846,0.00211934
-37.835,0.00212456
-37.826,0.00211823
-37.816,0.00211261
-37.805,0.00211507
-37.795,0.00211469
-37.785,0.00211737
-37.775,0.00211892
-37.765,0.00211831
-37.755,0.00212297
-37.746,0.00212220
-37.736,0.00212137
-37.726,0.00212315
-37.716,0.00212317
-37.706,0.00212079
-37.695,0.00211894
-37.685,0.00212171
-37.675,0.00212303
-37.664,0.00212223
-37.650,0.00212383
-37.642,0.00212605
-37.635,0.00212502
-37.626,0.00212411
-37.615,0.00211458
-37.605,0.00211714
-37.595,0.00211482
-37.585,0.00211792
-37.575,0.00212356
-37.564,0.00212150
-37.554,0.00211649
-37.546,0.00212102
-37.536,0.00212449
-37.525,0.00211650
-37.516,0.00211659
-37.505,0.00211608
-37.495,0.00211550
-37.485,0.00212087
-37.474,0.00211997
-37.466,0.00211872
-37.456,0.00211194
-37.446,0.00211335
-37.436,0.00211379
-37.425,0.00211367
-37.415,0.00210752
-37.406,0.00210453
-37.395,0.00209793
-37.384,0.00209761
-37.376,0.00210154
-37.365,0.00210559
-37.355,0.00210346
-37.345,0.00209788
-37.335,0.00209609
-37.326,0.00209178
-37.314,0.00208586
-37.306,0.00209324
-37.295,0.00209501
-37.285,0.00209291
-37.276,0.00209315
-37.265,0.00209369
-37.256,0.00209429
-37.245,0.00209211
-37.234,0.00209545
-37.224,0.00210079
-37.216,0.00210200
-37.206,0.00210968
-37.196,0.00211118
-37.186,0.00211277
-37.176,0.00210548
-37.165,0.00210756
-37.155,0.00210955
-37.146,0.00211300
-37.133,0.00211454
-37.120,0.00210918
-37.113,0.00211482
-37.106,0.00211397
-37.095,0.00211326
-37.086,0.00211633
-37.075,0.00211743
-37.065,0.00211592
-37.054,0.00211564
-37.046,0.00211511
-37.035,0.00212301
-37.025,0.00211788
-37.015,0.00211791
-37.006,0.00212390
-36.995,0.00212132
-36.985,0.00212523
-36.974,0.00212520
-36.965,0.00212630
-36.956,0.00212307
-36.946,0.00212536
-36.936,0.00212922
-36.926,0.00213068
-36.915,0.00212940
-36.905,0.00212862
-36.895,0.00213417
-36.882,0.00213250
-36.871,0.00213584
-36.863,0.00213399
-36.855,0.00213059
-36.846,0.00213032
-36.835,0.00213205
-36.826,0.00212962
-36.815,0.00213414
-36.805,0.00213309
-36.795,0.00213432
-36.786,0.00213404
-36.776,0.00213466
-36.766,0.00213230
-36.755,0.00213181
-36.746,0.00213320
-36.735,0.00213114
-36.724,0.00213092
-36.714,0.00213792
-36.701,0.00214125
-36.693,0.00213825
-36.684,0.00213691
-36.675,0.00213636
-36.666,0.00213513
-36.655,0.00213902
-36.645,0.00213906
-36.635,0.00213781
-36.626,0.00213508
-36.615,0.00214323
-36.606,0.00213860
-36.595,0.00213816
-36.585,0.00214004
-36.575,0.00213719
-36.565,0.00214274
-36.555,0.00215161
-36.545,0.00215144
-36.534,0.00215818
-36.526,0.00215531
-36.515,0.00215754
-36.506,0.00215598
-36.495,0.00215890
-36.486,0.00215956
-36.475,0.00216397
-36.466,0.00216455
-36.455,0.00216700
-36.444,0.00217326
-36.436,0.00217143
-36.426,0.00217312
-36.415,0.00217138
-36.406,0.00217735
-36.395,0.00217138
-36.385,0.00217138
-36.375,0.00216448
-36.366,0.00216179
-36.354,0.00215928
-36.346,0.00215317
-36.336,0.00214665
-36.326,0.00214980
-36.316,0.00215081
