# T[s],gimbal_a_enable,gimbal_a_target[enc],gimbal_b_enable,gimbal_b_target[enc],gasjet
-38.093,0,0,0,0,0
-38.083,0,0,0,0,0
-38.073,0,0,0,0,0
-38.063,0,0,0,0,0
-38.053,0,0,0,0,0
-38.043,0,0,0,0,0
-38.034,0,0,0,0,0
-38.023,0,0,0,0,0
-38.014,0,0,0,0,0
-38.003,0,0,0,0,0
-37.993,0,0,0,0,0
-37.983,0,0,0,0,0
-37.973,0,0,0,0,0
-37.963,0,0,0,0,0
-37.954,0,0,0,0,0
-37.944,0,0,0,0,0
-37.933,0,0,0,0,0
-37.924,0,0,0,0,0
-37.914,0,0,0,0,0
-37.903,0,0,0,0,0
-37.893,0,0,0,0,0
-37.883,0,0,0,0,0
-37.872,0,0,0,0,0
-37.863,0,0,0,0,0
-37.854,0,0,0,0,0
-37.842,0,0,0,0,0
-37.832,0,0,0,0,0
-37.824,0,0,0,0,0
-37.813,0,0,0,0,0
-37.803,0,0,0,0,0
-37.793,0,0,0,0,0
-37.782,0,0,0,0,0
-37.772,0,0,0,0,0
-37.763,0,0,0,0,0
-37.754,0,0,0,0,0
-37.743,0,0,0,0,0
-37.734,0,0,0,0,0
-37.723,0,0,0,0,0
-37.713,0,0,0,0,0
-37.703,0,0,0,0,0
-37.694,0,0,0,0,0
-37.684,0,0,0,0,0
-37.673,0,0,0,0,0
-37.661,0,0,0,0,0
-37.647,0,0,0,0,0
-37.641,0,0,0,0,0
-37.633,0,0,0,0,0
-37.623,0,0,0,0,0
-37.614,0,0,0,0,0
-37.604,0,0,0,0,0
-37.594,0,0,0,0,0
-37.583,0,0,0,0,0
-37.574,0,0,0,0,0
-37.564,0,0,0,0,0
-37.553,0,0,0,0,0
-37.543,0,0,0,0,0
-37.533,0,0,0,0,0
-37.524,0,0,0,0,0
-37.512,0,0,0,0,0
-37.504,0,0,0,0,0
-37.494,0,0,0,0,0
-37.484,0,0,0,0,0
-37.474,0,0,0,0,0
-37.463,0,0,0,0,0
-37.453,0,0,0,0,0
