# T[s],enable,encoder[enc]
-38.093,0,6
-38.083,0,6
-38.073,0,6
-38.063,0,6
-38.053,0,6
-38.043,0,6
-38.034,0,6
-38.023,0,6
-38.014,0,6
-38.003,0,6
-37.993,0,6
-37.983,0,6
-37.973,0,6
-37.963,0,6
-37.954,0,6
-37.943,0,6
-37.933,0,6
-37.924,0,6
-37.914,0,6
-37.903,0,6
-37.893,0,6
-37.883,0,6
-37.872,0,6
-37.862,0,6
-37.854,0,6
-37.842,0,6
-37.832,0,6
-37.824,0,6
-37.813,0,6
-37.803,0,6
-37.793,0,6
-37.782,0,6
-37.772,0,6
-37.762,0,6
-37.754,0,6
-37.743,0,6
-37.734,0,6
-37.723,0,6
-37.713,0,6
-37.703,0,6
-37.694,0,6
-37.683,0,6
-37.673,0,6
-37.660,0,6
-37.647,0,6
-37.641,0,6
-37.633,0,6
-37.622,0,6
-37.614,0,6
-37.604,0,6
-37.594,0,6
-37.583,0,6
-37.574,0,6
-37.562,0,6
-37.553,0,6
-37.543,0,6
-37.533,0,6
-37.524,0,6
-37.512,0,6
-37.503,0,6
-37.494,0,6
-37.483,0,6
-37.474,0,6
-37.463,0,6
-37.453,0,6
-37.443,0,6
-37.432,0,6
-37.424,0,6
-37.414,0,6
-37.404,0,6
-37.393,0,6
-37.383,0,6
-37.373,0,6
-37.363,0,6
-37.352,0,6
-37.342,0,6
-37.334,0,6
-37.323,0,6
-37.314,0,6
-37.304,0,6
-37.293,0,6
-37.283,0,6
-37.273,0,6
-37.262,0,6
-37.254,0,6
-37.244,0,6
-37.233,0,6
-37.223,0,6
-37.213,0,6
-37.203,0,6
-37.193,0,6
-37.183,0,6
-37.174,0,6
-37.162,0,6
-37.154,0,6
-37.144,0,6
-37.130,0,6
-37.117,0,6
-37.111,0,6
-37.103,0,6
-37.093,0,6
-37.083,0,6
-37.074,0,6
-37.062,0,6
-37.053,0,6
-37.044,0,6
-37.033,0,6
-37.023,0,6
-37.013,0,6
-37.003,0,6
-36.993,0,6
-36.983,0,6
-36.974,0,6
-36.961,0,6
-36.953,0,6
-36.943,0,6
-36.933,0,6
-36.923,0,6
-36.914,0,6
-36.904,0,6
-36.894,0,6
-36.880,0,6
-36.868,0,6
-36.861,0,6
-36.853,0,6
-36.843,0,6
-36.834,0,6
-36.824,0,6
-36.814,0,6
-36.804,0,6
-36.791,0,6
-36.783,0,6
-36.773,0,6
-36.762,0,6
-36.754,0,6
-36.744,0,6
-36.733,0,6
-36.723,0,6
-36.710,0,6
-36.700,0,6
-36.691,0,6
-36.683,0,6
-36.673,0,6
-36.663,0,6
-36.654,0,6
-36.644,0,6
-36.634,0,6
-36.623,0,6
-36.614,0,6
-36.603,0,6
-36.594,0,6
-36.583,0,6
-36.572,0,6
-36.562,0,6
-36.552,0,6
-36.543,0,6
-36.534,0,6
-36.523,0,6
-36.513,0,6
-36.503,0,6
-36.493,0,6
-36.483,0,6
-36.474,0,6
-36.463,0,6
-36.453,0,6
-36.443,0,6
-36.433,0,6
-36.423,0,6
-36.413,0,6
-36.403,0,6
-36.394,0,6
-36.384,0,6
-36.374,0,6
-36.361,0,6
-36.353,0,6
-36.343,0,6
-36.333,0,6
-36.323,0,6
-36.313,0,6
-36.302,0,6
-36.293,0,6
-36.283,0,6
-36.274,0,6
-36.263,0,6
-36.253,0,6
-36.243,0,6
-36.232,0,6
-36.222,0,6
-36.214,0,6
-36.204,0,6
-36.193,0,6
-36.183,0,6
-36.173,0,6
-36.163,0,6
-36.154,0,6
-36.143,0,6
-36.133,0,6
-36.124,0,6
-36.113,0,6
-36.103,0,6
-36.093,0,6
-36.083,0,6
-36.074,0,6
-36.063,0,6
-36.053,0,6
-36.042,0,6
-36.034,0,6
-36.024,0,6
-36.013,0,6
-36.003,0,6
-35.993,0,6
-35.984,0,6
-35.974,0,6
-35.962,0,6
-35.952,0,6
-35.944,0,6
-35.933,0,6
-35.923,0,6
-35.913,0,6
-35.903,0,6
-35.892,0,6
-35.883,0,6
-35.874,0,6
-35.863,0,6
-35.854,0,6
-35.844,0,6
-35.833,0,6
-35.823,0,6
-35.814,0,6
-35.802,0,6
-35.792,0,6
-35.782,0,6
-35.773,0,6
-35.763,0,6
-35.753,0,6
-35.743,0,6
-35.733,0,6
-35.723,0,6
-35.712,0,6
-35.702,0,6
-35.692,0,6
-35.683,0,6
-35.673,0,6
-35.662,0,6
-35.653,0,6
-35.643,0,6
-35.634,0,6
-35.622,0,6
-35.614,0,6
-35.603,0,6
-35.593,0,6
-35.583,0,6
-35.573,0,6
-35.562,0,6
-35.552,0,6
-35.544,0,6
-35.532,0,6
-35.524,0,6
-35.514,0,6
-35.504,0,6
-35.493,0,6
-35.483,0,6
-35.473,0,6
-35.462,0,6
-35.452,0,6
-35.444,0,6
-35.434,0,6
-35.420,0,6
-35.408,0,6
-35.398,0,6
-35.393,0,6
-35.383,0,6
-35.374,0,6
-35.362,0,6
