# T[s],enable,encoder[enc]
-38.093,0,7
-38.083,0,7
-38.073,0,7
-38.063,0,7
-38.052,0,7
-38.043,0,7
-38.034,0,7
-38.023,0,7
-38.014,0,7
-38.003,0,7
-37.993,0,7
-37.983,0,7
-37.973,0,7
-37.963,0,7
-37.953,0,7
-37.943,0,7
-37.933,0,7
-37.924,0,7
-37.913,0,7
-37.903,0,7
-37.892,0,7
-37.883,0,7
-37.872,0,7
-37.862,0,7
-37.854,0,7
-37.842,0,7
-37.832,0,7
-37.823,0,7
-37.813,0,7
-37.803,0,7
-37.793,0,7
-37.782,0,7
-37.772,0,7
-37.762,0,7
-37.754,0,7
-37.743,0,7
-37.733,0,7
-37.723,0,7
-37.713,0,7
-37.703,0,7
-37.694,0,7
-37.683,0,7
-37.673,0,7
-37.660,0,7
-37.647,0,7
-37.641,0,7
-37.633,0,7
-37.622,0,7
-37.613,0,7
-37.603,0,7
-37.594,0,7
-37.583,0,7
-37.573,0,7
-37.562,0,7
-37.553,0,7
-37.543,0,7
-37.533,0,7
-37.523,0,7
-37.512,0,7
-37.503,0,7
-37.493,0,7
-37.483,0,7
-37.473,0,7
-37.463,0,7
-37.453,0,7
-37.442,0,7
-37.432,0,7
-37.424,0,7
-37.414,0,7
-37.404,0,7
-37.393,0,7
-37.383,0,7
-37.373,0,7
-37.363,0,7
-37.352,0,7
-37.342,0,7
-37.334,0,7
-37.323,0,7
-37.313,0,7
-37.303,0,7
-37.293,0,7
-37.283,0,7
-37.273,0,7
-37.262,0,7
-37.254,0,7
-37.244,0,7
-37.233,0,7
-37.223,0,7
-37.213,0,7
-37.203,0,7
-37.193,0,7
-37.183,0,7
-37.173,0,7
-37.162,0,7
-37.154,0,7
-37.144,0,7
-37.130,0,7
-37.117,0,7
-37.110,0,7
-37.102,0,7
-37.093,0,7
-37.083,0,7
-37.074,0,7
-37.062,0,7
-37.053,0,7
-37.043,0,7
-37.032,0,7
-37.022,0,7
-37.012,0,7
-37.003,0,7
-36.993,0,7
-36.983,0,7
-36.974,0,7
-36.961,0,7
-36.953,0,7
-36.943,0,7
-36.933,0,7
-36.923,0,7
-36.914,0,7
-36.904,0,7
-36.892,0,7
-36.880,0,7
-36.868,0,7
-36.861,0,7
-36.853,0,7
-36.843,0,7
-36.834,0,7
-36.822,0,7
-36.814,0,7
-36.804,0,7
-36.791,0,7
-36.783,0,7
-36.772,0,7
-36.762,0,7
-36.753,0,7
-36.743,0,7
-36.733,0,7
-36.723,0,7
-36.710,0,7
-36.699,0,7
-36.691,0,7
-36.683,0,7
-36.673,0,7
-36.663,0,7
-36.654,0,7
-36.644,0,7
-36.634,0,7
-36.623,0,7
-36.613,0,7
-36.603,0,7
-36.593,0,7
-36.583,0,7
-36.572,0,7
-36.562,0,7
-36.552,0,7
-36.542,0,7
-36.533,0,7
-36.523,0,7
-36.513,0,7
-36.503,0,7
-36.493,0,7
-36.483,0,7
-36.474,0,7
-36.463,0,7
-36.453,0,7
-36.443,0,7
-36.433,0,7
-36.423,0,7
-36.413,0,7
-36.403,0,7
-36.392,0,7
-36.384,0,7
-36.374,0,7
-36.361,0,7
-36.353,0,7
-36.342,0,7
-36.332,0,7
-36.323,0,7
-36.313,0,7
-36.302,0,7
-36.293,0,7
-36.282,0,7
-36.273,0,7
