# T[s],ignite,batt_v[V]
-38.000,0,3.12
-37.899,0,3.12
-37.799,0,3.12
-37.699,0,3.12
-37.598,0,3.12
-37.498,0,3.12
-37.399,0,3.12
-37.299,0,3.12
-37.199,0,3.12
-37.099,0,3.12
-36.998,0,3.12
-36.899,0,3.12
-36.799,0,3.12
-36.694,0,3.12
-36.599,0,3.12
-36.497,0,3.12
-36.398,0,3.12
-36.298,0,3.12
-36.199,0,3.12
-36.099,0,3.12
-35.999,0,3.12
-35.899,0,3.12
-35.799,0,3.12
-35.699,0,3.12
-35.598,0,3.12
-35.499,0,3.12
-35.396,0,3.12
-35.299,0,3.12
-35.198,0,3.12
-35.098,0,3.12
-34.998,0,3.12
-34.897,0,3.12
-34.792,0,3.12
-34.699,0,3.12
-34.598,0,3.12
-34.491,0,3.12
-34.398,0,3.12
-34.298,0,3.12
-34.199,0,3.12
-34.098,0,3.12
-33.999,0,3.12
-33.893,0,3.12
-33.798,0,3.12
-33.698,0,3.12
-33.597,0,3.12
-33.499,0,3.12
-33.399,0,3.12
-33.298,0,3.12
-33.199,0,3.12
-33.098,0,3.12
-32.999,0,3.12
-32.898,0,3.12
-32.800,0,3.12
-32.698,0,3.12
-32.598,0,3.12
-32.498,0,3.12
-32.398,0,3.12
-32.297,0,3.12
-32.199,0,3.12
-32.099,0,3.12
-31.999,0,3.12
-31.898,0,3.12
-31.799,0,3.12
-31.698,0,3.12
-31.599,0,3.12
-31.498,0,3.12
-31.398,0,3.12
-31.298,0,3.12
-31.198,0,3.12
-31.098,0,3.12
-30.999,0,3.12
-30.898,0,3.12
-30.798,0,3.12
-30.698,0,3.12
-30.599,0,3.12
-30.497,0,3.12
-30.399,0,3.12
-30.298,0,3.12
-30.198,0,3.12
-30.098,0,3.12
-30.000,0,3.12
-29.895,0,3.12
-29.799,0,3.12
-29.699,0,3.12
-29.598,0,3.12
-29.498,0,3.12
-29.398,0,3.12
-29.298,0,3.12
-29.198,0,3.12
-29.099,0,3.12
-28.999,0,3.12
-28.898,0,3.12
-28.798,0,3.12
-28.698,0,3.12
-28.597,0,3.12
-28.495,0,3.12
-28.399,0,3.12
-28.299,0,3.12
-28.200,0,3.12
-28.099,0,3.12
-27.997,0,3.12
-27.899,0,3.12
-27.798,0,3.12
-27.698,0,3.12
-27.598,0,3.12
-27.498,0,3.12
-27.397,0,3.12
-27.298,0,3.12
-27.199,0,3.12
-27.099,0,3.12
-26.998,0,3.12
-26.897,0,3.12
-26.797,0,3.12
-26.698,0,3.12
-26.598,0,3.12
-26.499,0,3.12
-26.398,0,3.12
-26.299,0,3.12
-26.198,0,3.12
-26.099,0,3.12
-25.999,0,3.12
-25.898,0,3.12
-25.798,0,3.12
-25.698,0,3.12
-25.593,0,3.12
-25.498,0,3.12
-25.399,0,3.12
-25.299,0,3.12
-25.199,0,3.12
-25.098,0,3.12
-24.999,0,3.12
-24.899,0,3.12
-24.799,0,3.12
-24.698,0,3.12
-24.598,0,3.12
-24.498,0,3.12
-24.398,0,3.12
-24.297,0,3.12
-24.199,0,3.12
-24.099,0,3.12
-23.998,0,3.12
-23.898,0,3.12
-23.800,0,3.12
-23.699,0,3.12
-23.598,0,3.12
-23.498,0,3.12
-23.398,0,3.12
-23.298,0,3.12
-23.199,0,3.12
-23.099,0,3.12
-22.998,0,3.12
-22.899,0,3.12
-22.799,0,3.12
-22.698,0,3.12
-22.598,0,3.12
-22.493,0,3.12
-22.399,0,3.12
-22.295,0,3.12
-22.198,0,3.12
-22.094,0,3.12
-21.998,0,3.12
-21.898,0,3.12
-21.800,0,3.12
-21.698,0,3.12
-21.599,0,3.12
-21.498,0,3.12
-21.398,0,3.12
-21.298,0,3.12
-21.197,0,3.12
-21.099,0,3.12
-20.999,0,3.12
-20.899,0,3.12
-20.799,0,3.12
-20.699,0,3.12
-20.598,0,3.12
-20.499,0,3.12
-20.399,0,3.12
-20.298,0,3.12
-20.198,0,3.12
-20.098,0,3.12
-20.000,0,3.12
-19.898,0,3.12
-19.795,0,3.12
-19.699,0,3.12
-19.598,0,3.12
-19.498,0,3.12
-19.397,0,3.12
-19.298,0,3.12
-19.197,0,3.12
-19.094,0,3.12
-18.998,0,3.12
-18.898,0,3.12
-18.799,0,3.12
-18.699,0,3.12
-18.598,0,3.12
-18.499,0,3.12
-18.398,0,3.12
-18.298,0,3.12
-18.199,0,3.12
-18.097,0,3.12
-17.999,0,3.12
-17.897,0,3.12
-17.799,0,3.12
-17.694,0,3.12
-17.598,0,3.12
-17.498,0,3.12
-17.399,0,3.12
-17.297,0,3.12
-17.199,0,3.12
-17.098,0,3.12
-16.997,0,3.12
-16.897,0,3.12
-16.799,0,3.12
-16.697,0,3.12
-16.599,0,3.12
-16.495,0,3.12
-16.398,0,3.12
-16.294,0,3.12
-16.200,0,3.12
-16.099,0,3.12
-15.999,0,3.12
-15.898,0,3.12
-15.798,0,3.12
-15.697,0,3.12
-15.599,0,3.12
-15.499,0,3.12
-15.398,0,3.12
-15.298,0,3.12
-15.199,0,3.12
-15.098,0,3.12
-14.997,0,3.12
-14.899,0,3.12
-14.798,0,3.12
-14.698,0,3.12
-14.591,0,3.12
-14.499,0,3.12
-14.391,0,3.12
-14.298,0,3.12
-14.198,0,3.12
-14.098,0,3.12
-13.994,0,3.12
-13.897,0,3.12
-13.798,0,3.12
-13.699,0,3.12
-13.597,0,3.12
-13.491,0,3.12
-13.398,0,3.12
-13.298,0,3.12
-13.199,0,3.12
-13.099,0,3.12
-12.998,0,3.12
-12.899,0,3.12
-12.797,0,3.12
-12.698,0,3.12
-12.597,0,3.12
-12.498,0,3.12
-12.399,0,3.12
-12.298,0,3.12
-12.198,0,3.12
-12.098,0,3.12
-11.998,0,3.12
-11.897,0,3.12
-11.799,0,3.12
-11.698,0,3.12
-11.597,0,3.12
-11.498,0,3.12
-11.398,0,3.12
-11.299,0,3.12
-11.199,0,3.12
-11.098,0,3.12
-10.998,0,3.12
-10.898,0,3.12
-10.798,0,3.12
-10.698,0,3.12
-10.598,0,3.12
-10.498,0,3.12
-10.398,0,3.12
-10.298,0,3.12
-10.198,0,3.12
-10.099,0,3.12
-9.999,0,3.12
-9.898,0,3.12
-9.798,0,3.12
-9.698,0,3.12
-9.598,0,3.12
-9.497,0,3.12
-9.399,0,3.12
-9.299,0,3.12
-9.198,0,3.12
-9.098,0,3.12
-8.998,0,3.12
-8.894,0,3.12
-8.798,0,3.12
-8.697,0,3.12
-8.598,0,3.12
-8.498,0,3.12
-8.397,0,3.12
-8.298,0,3.12
-8.199,0,3.12
-8.099,0,3.12
-7.999,0,3.12
-7.898,0,3.12
-7.797,0,3.12
-7.697,0,3.12
-7.597,0,3.12
-7.498,0,3.12
-7.398,0,3.12
-7.298,0,3.12
-7.198,0,3.12
-7.098,0,3.12
-6.997,0,3.12
-6.898,0,3.12
-6.798,0,3.12
-6.698,0,3.12
-6.598,0,3.12
-6.497,0,3.12
-6.399,0,3.12
-6.297,0,3.12
-6.199,0,3.12
-6.098,0,3.12
-5.996,0,3.12
-5.898,0,3.12
-5.795,0,3.12
-5.699,0,3.12
-5.594,0,3.12
-5.498,0,3.12
-5.397,0,3.12
-5.297,0,3.12
-5.197,0,3.12
-5.099,0,3.12
-4.998,0,3.12
-4.898,0,3.12
-4.798,0,3.12
-4.698,0,3.12
-4.595,0,3.12
-4.496,0,3.12
-4.397,0,3.12
-4.298,0,3.12
-4.198,0,3.12
-4.097,0,3.12
-3.998,0,3.12
-3.899,0,3.12
-3.799,0,3.12
-3.698,0,3.12
-3.598,0,3.12
-3.498,0,3.12
-3.398,0,3.12
-3.298,0,3.12
-3.199,0,3.12
-3.096,0,3.12
-2.998,0,3.12
-2.892,0,3.12
-2.798,0,3.12
-2.698,0,3.12
-2.597,0,3.12
-2.499,0,3.12
-2.396,0,3.12
-2.298,0,3.12
-2.198,0,3.12
-2.097,0,3.12
-1.999,0,3.12
-1.898,0,3.12
-1.791,0,3.12
-1.698,0,3.12
-1.598,0,3.12
-1.498,1,3.12
-1.399,1,2.20
-1.299,1,2.07
-1.196,1,1.98
-1.095,1,1.90
-0.998,0,1.84
-0.898,0,2.54
-0.799,0,2.62
-0.698,0,2.66
-0.598,0,2.68
-0.498,0,2.70
-0.398,0,2.72
-0.297,0,2.73
-0.199,0,2.73
-0.097,0,2.74
0.002,0,2.75
0.102,0,2.75
0.202,0,2.76
0.303,0,2.76
0.403,0,2.77
0.505,0,2.77
0.604,0,2.77
0.705,0,2.78
0.806,0,2.78
0.902,0,2.79
1.003,0,2.79
1.104,0,2.79
1.203,0,2.79
1.302,0,2.79
1.402,0,2.80
1.503,0,2.80
1.602,0,2.80
1.707,0,2.80
1.802,0,2.81
1.902,0,2.81
2.002,0,2.81
2.103,0,2.81
2.202,0,2.81
2.303,0,2.82
2.402,0,2.82
2.502,0,2.82
2.604,0,2.82
2.702,0,2.82
2.802,0,2.83
2.901,0,2.83
3.003,0,2.83
3.102,0,2.83
3.206,0,2.83
3.302,0,2.83
3.402,0,2.84
3.503,0,2.84
3.603,0,2.84
3.702,0,2.84
3.802,0,2.84
3.903,0,2.85
4.002,0,2.85
4.103,0,2.85
4.207,0,2.85
4.303,0,2.85
4.402,0,2.85
4.508,0,2.86
4.602,0,2.86
4.702,0,2.86
4.803,0,2.86
4.902,0,2.86
5.002,0,2.86
5.104,0,2.87
5.203,0,2.87
5.302,0,2.87
5.403,0,2.87
5.501,0,2.87
5.602,0,2.87
5.702,0,2.87
5.803,0,2.88
5.902,0,2.88
6.003,0,2.88
6.102,0,2.88
6.202,0,2.88
6.302,0,2.88
6.402,0,2.88
6.502,0,2.88
6.603,0,2.88
6.701,0,2.88
6.802,0,2.89
6.904,0,2.89
7.002,0,2.89
7.102,0,2.89
7.202,0,2.89
7.301,0,2.89
7.401,0,2.90
7.502,0,2.90
7.602,0,2.90
7.703,0,2.90
7.803,0,2.90
7.902,0,2.90
8.003,0,2.90
8.107,0,2.90
8.202,0,2.90
8.302,0,2.90
8.402,0,2.91
8.502,0,2.91
8.602,0,2.91
8.702,0,2.91
8.804,0,2.91
8.903,0,2.91
9.003,0,2.91
9.103,0,2.91
9.201,0,2.91
9.302,0,2.91
9.402,0,2.92
9.502,0,2.92
9.602,0,2.92
9.703,0,2.92
9.802,0,2.92
9.902,0,2.92
10.002,0,2.92
10.102,0,2.92
10.202,0,2.92
10.302,0,2.92
10.402,0,2.92
10.502,0,2.92
10.602,0,2.92
10.702,0,2.93
10.803,0,2.93
10.902,0,2.93
11.003,0,2.93
11.104,0,2.93
11.202,0,2.93
11.302,0,2.93
11.403,0,2.93
11.503,0,2.93
11.603,0,2.93
11.703,0,2.93
11.802,0,2.93
11.902,0,2.93
12.003,0,2.94
12.102,0,2.94
12.202,0,2.94
12.303,0,2.94
12.404,0,2.94
12.502,0,2.94
12.603,0,2.94
12.703,0,2.94
12.802,0,2.94
12.902,0,2.94
13.002,0,2.94
13.102,0,2.94
13.202,0,2.94
13.302,0,2.94
13.403,0,2.94
13.503,0,2.95
13.603,0,2.95
13.702,0,2.95
13.802,0,2.95
13.902,0,2.95
14.002,0,2.95
14.101,0,2.95
14.202,0,2.95
14.302,0,2.95
14.403,0,2.95
14.503,0,2.95
14.602,0,2.95
14.701,0,2.95
14.803,0,2.95
14.903,0,2.95
15.002,0,2.95
15.103,0,2.95
15.202,0,2.96
15.303,0,2.95
15.404,0,2.96
15.502,0,2.96
15.603,0,2.96
15.703,0,2.96
15.802,0,2.96
15.903,0,2.96
16.003,0,2.96
16.102,0,2.96
16.206,0,2.96
16.303,0,2.96
16.403,0,2.96
16.502,0,2.96
16.603,0,2.96
16.702,0,2.96
16.803,0,2.96
16.903,0,2.96
17.002,0,2.96
17.103,0,2.96
17.203,0,2.96
17.303,0,2.97
17.404,0,2.97
17.502,0,2.97
17.603,0,2.96
17.702,0,2.97
17.804,0,2.97
17.903,0,2.97
18.004,0,2.97
18.102,0,2.97
18.203,0,2.97
18.302,0,2.97
18.403,0,2.97
18.504,0,2.97
18.603,0,2.97
18.703,0,2.97
18.803,0,2.97
18.903,0,2.97
19.003,0,2.97
19.102,0,2.97
19.203,0,2.97
19.306,0,2.97
19.402,0,2.97
19.503,0,2.97
19.603,0,2.98
19.703,0,2.98
19.802,0,2.98
19.902,0,2.98
20.004,0,2.98
20.103,0,2.98
20.202,0,2.98
20.303,0,2.98
20.404,0,2.98
20.502,0,2.98
20.604,0,2.98
20.702,0,2.98
20.807,0,2.98
20.903,0,2.98
21.003,0,2.98
21.102,0,2.98
21.202,0,2.98
21.302,0,2.98
21.406,0,2.98
21.503,0,2.98
21.602,0,2.98
21.702,0,2.98
21.804,0,2.98
21.902,0,2.98
22.003,0,2.99
22.102,0,2.98
22.202,0,2.98
22.302,0,2.99
22.402,0,2.98
22.503,0,2.99
22.602,0,2.99
22.703,0,2.99
22.803,0,2.99
22.902,0,2.99
23.003,0,2.99
23.103,0,2.99
23.202,0,2.99
23.303,0,2.99
