# T[s],vavle_state,power_a[A],power_v[V]
-37.997,2,-0.04,21.70
-37.896,2,-0.04,21.67
-37.796,2,-0.04,21.72
-37.697,2,0.02,21.65
-37.596,2,-0.04,21.72
-37.497,2,0.00,21.67
-37.396,2,-0.04,21.70
-37.295,2,0.00,21.69
-37.196,2,-0.06,21.71
-37.096,2,-0.06,21.69
-36.997,2,0.00,21.69
-36.897,2,-0.04,21.70
-36.795,2,-0.02,21.72
-36.693,2,0.00,21.70
-36.495,2,-0.04,21.69
-36.397,2,0.02,21.67
-36.297,2,-0.04,21.71
-36.197,2,-0.06,21.69
-36.097,2,-0.02,21.68
-35.896,2,0.02,21.71
-35.797,2,-0.06,21.72
-35.697,2,0.02,21.69
-35.596,2,-0.04,21.70
-35.497,2,-0.02,21.68
-35.296,2,-0.04,21.69
-35.197,2,-0.04,21.72
-35.097,2,-0.02,21.67
-34.997,2,0.00,21.68
-34.897,2,-0.04,21.72
-34.790,2,0.00,21.68
-34.696,2,0.00,21.67
-34.596,2,0.02,21.69
-34.489,2,-0.02,21.69
-34.397,2,-0.06,21.69
-34.296,2,-0.02,21.69
-34.096,2,-0.02,21.71
-33.996,2,-0.04,21.69
-33.889,2,0.00,21.66
-33.797,2,0.02,21.72
-33.696,2,0.00,21.65
-33.596,2,-0.02,21.68
-33.496,2,0.00,21.65
-33.396,2,-0.02,21.69
-33.296,2,-0.02,21.66
-33.197,2,-0.02,21.66
-33.097,2,-0.02,21.69
-32.896,2,-0.06,21.72
-32.796,2,-0.04,21.67
-32.695,2,-0.06,21.68
-32.594,2,0.00,21.67
-32.495,2,-0.08,21.70
-32.295,2,0.00,21.65
-32.196,2,-0.04,21.71
-32.097,2,-0.02,21.67
-31.997,2,-0.04,21.70
-31.895,2,-0.02,21.69
-31.797,2,0.00,21.67
-31.696,2,-0.02,21.66
-31.596,2,0.00,21.66
-31.496,2,-0.06,21.69
-31.395,2,-0.04,21.69
-31.295,2,0.02,21.67
-31.096,2,0.04,21.64
-30.996,2,-0.02,21.67
-30.897,2,-0.02,21.66
-30.795,2,0.00,21.67
-30.697,2,-0.04,21.69
-30.495,2,-0.02,21.68
-30.396,2,-0.02,21.68
-30.296,2,-0.02,21.69
-30.196,2,-0.02,21.66
