# T[s],vavle_state,power_a[A],power_v[V]
-38.088,2,-0.04,16.61
-38.000,2,-0.04,16.61
-37.890,2,-0.06,16.61
-37.790,2,-0.06,16.61
-37.690,2,-0.04,16.62
-37.590,2,-0.06,16.62
-37.490,2,-0.06,16.62
-37.389,2,-0.02,16.61
-37.290,2,-0.08,16.62
-37.199,2,-0.02,16.61
-37.091,2,-0.08,16.61
-36.990,2,-0.02,16.60
-36.888,2,-0.04,16.59
-36.799,2,-0.06,16.62
-36.689,2,-0.04,16.61
-36.590,2,-0.06,16.60
-36.490,2,-0.04,16.62
-36.390,2,-0.06,16.61
-36.288,2,-0.04,16.62
-36.190,2,-0.06,16.61
-36.090,2,-0.02,16.61
-35.990,2,-0.06,16.61
-35.889,2,-0.04,16.61
-35.788,2,-0.04,16.61
-35.688,2,-0.06,16.62
-35.589,2,-0.08,16.62
-35.490,2,-0.02,16.61
-35.390,2,-0.08,16.61
-35.290,2,-0.06,16.61
-35.189,2,-0.06,16.62
-35.090,2,-0.06,16.62
-34.990,2,-0.04,16.60
-34.890,2,-0.02,16.61
-34.788,2,-0.04,16.60
-34.691,2,-0.04,16.63
-34.589,2,-0.04,16.61
-34.485,2,-0.06,16.61
-34.390,2,-0.04,16.60
-34.290,2,-0.04,16.62
-34.190,2,-0.06,16.61
-34.090,2,-0.06,16.63
-33.989,2,-0.04,16.60
-33.886,2,-0.06,16.61
-33.790,2,0.00,16.59
-33.690,2,-0.06,16.60
-33.589,2,-0.04,16.61
-33.489,2,-0.02,16.60
-33.389,2,-0.04,16.62
-33.290,2,-0.04,16.60
-33.188,2,-0.04,16.61
-33.090,2,-0.08,16.62
-32.990,2,-0.04,16.60
-32.890,2,-0.02,16.62
-32.799,2,-0.04,16.61
-32.690,2,-0.02,16.60
-32.590,2,-0.02,16.61
-32.488,2,-0.06,16.61
-32.390,2,-0.04,16.60
-32.289,2,-0.06,16.62
-32.189,2,0.00,16.59
-32.089,2,-0.10,16.62
-31.988,2,-0.02,16.60
-31.890,2,-0.02,16.60
-31.790,2,-0.04,16.62
-31.690,2,-0.04,16.62
-31.590,2,-0.06,16.61
-31.489,2,-0.06,16.62
-31.390,2,-0.02,16.61
-31.290,2,-0.04,16.62
-31.189,2,-0.04,16.60
-31.090,2,0.00,16.61
-30.990,2,-0.04,16.60
-30.889,2,-0.06,16.60
-30.790,2,-0.06,16.62
-30.690,2,-0.06,16.62
-30.590,2,-0.06,16.60
-30.490,2,-0.04,16.62
-30.389,2,-0.02,16.60
-30.289,2,-0.02,16.60
-30.189,2,-0.02,16.60
-30.088,2,-0.06,16.61
-29.999,2,-0.04,16.61
-29.883,2,-0.04,16.60
-29.790,2,-0.06,16.61
-29.689,2,-0.04,16.61
-29.589,2,-0.06,16.60
-29.490,2,-0.02,16.61
-29.290,2,0.00,16.62
-29.190,2,-0.04,16.61
-29.089,2,-0.04,16.61
-28.990,2,-0.04,16.61
-28.890,2,0.00,16.61
-28.786,2,-0.04,16.60
-28.690,2,-0.06,16.61
-28.589,2,-0.04,16.60
-28.485,2,-0.02,16.60
-28.389,2,-0.04,16.60
-28.289,2,-0.04,16.62
-28.199,2,-0.04,16.60
-28.090,2,-0.06,16.62
-27.990,2,-0.08,16.61
-27.889,2,-0.06,16.61
-27.790,2,0.00,16.61
-27.690,2,-0.02,16.60
-27.590,2,-0.02,16.61
-27.489,2,-0.06,16.62
-27.390,2,-0.02,16.60
-27.289,2,-0.06,16.62
-27.199,2,-0.02,16.61
-27.088,2,-0.04,16.60
-26.990,2,-0.04,16.60
-26.890,2,-0.06,16.61
-26.790,2,-0.08,16.62
-26.689,2,-0.04,16.62
-26.589,2,-0.02,16.60
-26.490,2,-0.04,16.62
-26.390,2,-0.08,16.62
-26.290,2,-0.04,16.61
-26.190,2,-0.06,16.62
-26.090,2,-0.04,16.61
-25.999,2,-0.04,16.62
-25.890,2,-0.02,16.62
-25.790,2,-0.06,16.61
-25.690,2,-0.04,16.60
-25.583,2,-0.06,16.61
-25.490,2,-0.02,16.62
-25.389,2,-0.02,16.61
-25.290,2,-0.04,16.62
-25.190,2,0.00,16.61
-25.090,2,-0.02,16.61
-24.990,2,-0.06,16.61
-24.890,2,0.00,16.60
-24.799,2,-0.04,16.62
-24.689,2,-0.04,16.60
-24.590,2,-0.02,16.60
-24.488,2,-0.02,16.61
-24.389,2,-0.02,16.59
-24.290,2,-0.04,16.60
-24.189,2,-0.02,16.61
-24.089,2,-0.06,16.61
-23.990,2,-0.04,16.61
-23.888,2,0.00,16.62
-23.800,2,-0.06,16.61
-23.690,2,-0.06,16.61
