# T[s],v18_state
-38.000,2
-37.899,2
-37.799,2
-37.699,2
-37.598,2
-37.498,2
-37.399,2
-37.299,2
-37.199,2
-37.098,2
-36.998,2
-36.898,2
-36.799,2
-36.693,2
-36.599,2
-36.499,2
-36.399,2
-36.298,2
-36.199,2
-36.098,2
-35.997,2
-35.899,2
-35.799,2
-35.699,2
-35.598,2
-35.500,2
-35.396,2
-35.299,2
-35.198,2
-35.098,2
-34.998,2
-34.897,2
-34.792,2
-34.699,2
-34.599,2
-34.491,2
-34.398,2
-34.298,2
-34.199,2
-34.098,2
-33.999,2
-33.893,2
-33.799,2
-33.698,2
-33.597,2
-33.499,2
-33.399,2
-33.298,2
-33.198,2
-33.098,2
-32.999,2
-32.898,2
-32.800,2
-32.698,2
-32.598,2
-32.499,2
-32.398,2
-32.297,2
-32.199,2
-32.099,2
-31.998,2
-31.898,2
-31.800,2
-31.698,2
-31.599,2
-31.499,2
-31.398,2
-31.298,2
-31.197,2
-31.098,2
-30.999,2
-30.898,2
-30.799,2
-30.698,2
-30.599,2
-30.497,2
-30.399,2
-30.298,2
-30.198,2
-30.098,2
-30.000,2
-29.895,2
-29.799,2
-29.699,2
-29.598,2
-29.498,2
-29.398,2
-29.298,2
-29.198,2
-29.099,2
-28.999,2
-28.898,2
-28.800,2
-28.698,2
-28.597,2
-28.495,2
-28.399,2
-28.298,2
-28.199,2
-28.098,2
-27.997,2
-27.899,2
-27.798,2
-27.698,2
-27.598,2
-27.498,2
-27.397,2
-27.298,2
-27.201,2
-27.098,2
-26.998,2
-26.897,2
-26.799,2
-26.699,2
-26.598,2
-26.498,2
-26.398,2
-26.299,2
-26.198,2
-26.099,2
-25.999,2
-25.898,2
-25.798,2
-25.698,2
-25.593,2
-25.498,2
-25.399,2
-25.299,2
-25.198,2
-25.098,2
-24.999,2
-24.899,2
-24.800,2
-24.699,2
-24.598,2
-24.499,2
-24.398,2
-24.296,2
-24.199,2
-24.099,2
-23.998,2
-23.898,2
-23.800,2
-23.699,2
-23.599,2
-23.498,2
-23.398,2
-23.298,2
-23.199,2
-23.098,2
-22.998,2
-22.898,2
-22.799,2
-22.698,2
-22.598,2
-22.494,2
-22.399,2
-22.295,2
-22.198,2
-22.094,2
-21.998,2
-21.898,2
-21.800,2
-21.698,2
-21.599,2
-21.498,2
-21.398,2
-21.298,2
-21.197,2
-21.099,2
-20.999,2
