# T[s],v10_state,v16_state,v35_state,v6_state,v7_state
-38.000,2,2,2,2,1
-37.899,2,2,2,2,1
-37.799,2,2,2,2,1
-37.698,2,2,2,2,1
-37.598,2,2,2,2,1
-37.498,2,2,2,2,1
-37.397,2,2,2,2,1
-37.299,2,2,2,2,1
-37.199,2,2,2,2,1
-37.098,2,2,2,2,1
-36.998,2,2,2,2,1
-36.898,2,2,2,2,1
-36.799,2,2,2,2,1
-36.693,2,2,2,2,1
-36.599,2,2,2,2,1
-36.497,2,2,2,2,1
-36.398,2,2,2,2,1
-36.298,2,2,2,2,1
-36.199,2,2,2,2,1
-36.098,2,2,2,2,1
-35.997,2,2,2,2,1
-35.898,2,2,2,2,1
-35.799,2,2,2,2,1
-35.698,2,2,2,2,1
-35.598,2,2,2,2,1
-35.499,2,2,2,2,1
-35.395,2,2,2,2,1
-35.298,2,2,2,2,1
-35.198,2,2,2,2,1
-35.098,2,2,2,2,1
-34.998,2,2,2,2,1
-34.897,2,2,2,2,1
-34.792,2,2,2,2,1
-34.699,2,2,2,2,1
-34.598,2,2,2,2,1
-34.491,2,2,2,2,1
-34.397,2,2,2,2,1
-34.298,2,2,2,2,1
-34.198,2,2,2,2,1
-34.097,2,2,2,2,1
-33.999,2,2,2,2,1
-33.893,2,2,2,2,1
-33.798,2,2,2,2,1
-33.698,2,2,2,2,1
-33.597,2,2,1,2,1
-33.499,2,2,1,2,1
-33.399,2,2,1,2,1
-33.298,2,2,1,2,1
-33.198,2,2,1,2,1
-33.098,2,2,1,2,1
-32.999,2,2,1,2,1
-32.898,2,2,1,2,1
-32.799,2,2,1,2,1
-32.698,2,2,1,2,1
-32.598,2,2,1,2,1
-32.498,2,2,1,2,1
-32.398,2,2,1,2,1
-32.297,2,2,1,2,1
-32.199,2,2,1,2,1
-32.098,2,2,1,2,1
-31.998,2,2,1,2,1
-31.898,2,2,1,2,1
-31.797,2,2,1,2,1
-31.698,2,2,1,2,1
-31.599,2,2,1,2,1
-31.498,2,2,1,2,1
-31.398,2,2,1,2,1
-31.298,2,2,1,2,1
-31.197,2,2,1,2,1
-31.098,2,2,1,2,1
-30.999,2,2,1,2,1
-30.898,2,2,1,2,1
-30.798,2,2,1,2,1
-30.698,2,2,1,2,1
-30.597,2,2,1,2,1
-30.497,2,2,1,2,1
-30.399,2,2,1,2,1
-30.298,2,2,1,2,1
-30.198,2,2,1,2,1
-30.098,2,2,2,2,1
-30.000,2,2,2,2,1
-29.893,2,2,2,2,1
-29.799,2,2,2,2,1
-29.698,2,2,2,2,1
-29.598,2,2,2,2,1
-29.498,2,2,2,2,1
-29.398,2,2,2,2,1
-29.298,2,2,2,2,1
-29.198,2,2,2,2,1
-29.099,2,2,2,2,1
-28.998,2,2,2,2,1
-28.898,2,2,2,2,1
-28.798,2,2,2,2,1
-28.698,2,2,2,2,1
-28.597,2,2,2,2,1
-28.495,2,2,2,2,1
-28.398,2,2,2,2,1
-28.298,2,2,2,2,1
-28.199,2,2,2,2,1
-28.098,2,2,2,2,1
-27.997,2,2,2,2,1
-27.899,2,2,2,2,1
-27.798,2,2,2,2,1
-27.698,2,2,2,2,2
-27.598,2,2,2,2,2
-27.497,2,2,2,2,2
-27.397,2,2,2,2,2
-27.298,2,2,2,2,2
-27.199,2,2,2,2,2
-27.098,2,2,2,2,2
-26.998,2,2,2,2,2
-26.897,2,2,2,2,2
-26.797,2,2,2,2,2
-26.698,2,2,2,2,2
-26.598,2,2,2,2,2
-26.498,2,2,2,2,2
-26.398,2,2,2,2,2
-26.299,2,2,2,2,2
-26.198,2,2,2,2,2
-26.098,2,2,2,2,2
-25.999,2,2,2,2,2
-25.898,2,2,2,2,2
-25.798,2,2,2,2,2
-25.698,2,2,2,2,2
-25.593,2,2,2,2,2
-25.498,2,2,2,2,2
-25.399,2,2,2,2,2
-25.298,2,2,2,2,2
-25.198,2,2,2,2,2
-25.097,2,2,2,2,2
-24.998,2,2,2,2,2
-24.897,2,2,2,2,2
-24.799,2,2,2,2,2
-24.698,2,2,2,2,2
-24.598,2,2,2,2,2
-24.498,2,2,2,2,2
-24.397,2,2,2,2,2
-24.296,2,2,2,2,2
-24.199,2,2,2,2,2
-24.098,2,2,2,2,2
-23.998,2,2,2,2,2
-23.898,2,2,2,2,2
-23.800,2,2,2,2,2
-23.699,2,2,2,2,2
-23.598,2,2,2,2,2
-23.498,2,2,2,2,2
-23.398,2,2,2,2,2
-23.298,2,2,2,2,2
-23.198,2,2,2,2,2
-23.098,2,2,2,2,2
-22.998,2,2,2,2,2
-22.898,2,2,2,2,2
-22.799,2,2,2,2,2
-22.698,2,2,2,2,2
-22.598,2,2,2,2,2
-22.493,2,2,2,2,2
-22.398,2,2,2,2,2
-22.295,2,2,2,2,2
-22.198,2,2,2,2,2
-22.094,2,2,2,2,2
-21.998,2,2,2,2,2
-21.898,2,2,2,2,2
-21.799,2,2,2,2,2
-21.698,2,2,2,2,2
-21.598,2,2,2,2,2
-21.498,2,2,2,2,2
-21.398,2,2,2,2,2
-21.298,2,2,2,2,2
-21.197,2,2,2,2,2
-21.099,2,2,2,2,2
-20.998,2,2,2,2,2
-20.898,2,2,2,2,2
-20.799,2,2,2,2,2
-20.698,2,2,2,2,2
-20.598,2,2,2,2,2
-20.499,2,2,2,2,2
-20.398,2,2,2,2,2
-20.298,2,2,2,2,2
-20.198,2,2,2,2,2
-20.097,2,2,2,2,2
-20.000,2,2,2,2,2
-19.898,2,2,2,2,2
-19.795,2,2,2,2,2
-19.698,2,2,2,2,2
-19.598,2,2,2,2,2
-19.497,2,2,2,2,2
-19.397,2,2,2,2,2
-19.298,2,2,2,2,2
-19.197,2,2,2,2,2
-19.094,2,2,2,2,2
-18.998,2,2,2,2,2
-18.898,2,2,2,2,2
-18.799,2,2,2,2,2
-18.699,2,2,2,2,2
-18.597,2,2,2,2,2
-18.498,2,2,2,2,2
-18.398,2,2,2,2,2
-18.298,2,2,2,2,2
-18.198,2,2,2,2,2
-18.097,2,2,2,2,2
-17.999,2,2,2,2,2
-17.897,2,2,2,2,2
-17.799,2,2,2,2,2
-17.692,2,2,2,2,2
-17.598,2,2,2,2,2
-17.498,2,2,2,2,2
-17.399,2,2,2,2,2
-17.297,2,2,2,2,2
-17.199,2,2,2,2,2
-17.098,2,2,2,2,2
-16.997,2,2,2,2,2
-16.897,2,2,2,2,2
-16.798,2,2,2,2,2
-16.697,2,2,2,2,2
-16.598,2,2,2,2,2
-16.494,2,2,2,2,2
-16.398,2,2,2,2,2
-16.294,2,2,2,2,2
-16.199,2,2,2,2,2
-16.098,2,2,2,2,2
-15.998,2,2,2,2,2
-15.898,2,2,2,2,2
-15.798,2,2,2,2,2
-15.697,2,2,2,2,2
-15.599,2,2,2,2,2
-15.499,2,2,2,2,2
-15.398,2,2,2,2,2
-15.298,2,2,2,2,2
-15.199,2,2,2,2,2
-15.098,2,2,2,2,2
-14.997,2,2,2,2,2
-14.898,2,2,2,2,2
-14.798,2,2,2,2,2
-14.698,2,2,2,2,2
-14.591,2,2,2,2,2
-14.498,2,2,2,2,2
-14.391,2,2,2,2,2
-14.297,2,2,2,2,2
-14.198,2,2,2,2,2
-14.098,2,2,2,2,2
-13.994,2,2,2,2,2
-13.897,2,2,2,2,2
-13.798,2,2,2,2,2
-13.699,2,2,2,2,2
-13.597,2,2,2,2,2
-13.491,2,2,2,2,2
-13.398,2,2,2,2,2
-13.298,2,2,2,2,2
-13.199,2,2,2,2,2
-13.099,2,2,2,2,2
-12.998,2,2,2,2,2
-12.897,2,2,2,2,2
-12.797,2,2,2,2,2
-12.697,2,2,2,2,2
-12.597,2,2,2,2,2
-12.498,2,2,2,2,2
-12.398,2,2,2,2,2
-12.298,2,2,2,2,2
-12.197,2,2,2,2,2
-12.098,2,2,2,2,2
-11.998,2,2,2,2,2
-11.897,2,2,2,2,2
-11.799,2,2,2,2,2
-11.698,2,2,2,2,2
-11.597,2,2,2,2,2
-11.498,2,2,2,2,2
-11.398,2,2,2,2,2
-11.299,2,2,2,2,2
-11.199,2,2,2,2,2
-11.098,2,2,2,2,2
-10.998,2,2,2,2,2
-10.898,2,2,2,2,2
-10.798,2,2,2,2,2
-10.698,2,2,2,2,2
-10.597,2,2,2,2,2
-10.498,2,2,2,2,2
-10.397,2,2,2,2,2
-10.297,2,2,2,2,2
-10.198,2,2,2,2,2
-10.098,2,2,2,2,2
-9.999,2,2,2,2,2
-9.898,2,2,2,2,2
-9.798,2,2,2,2,2
-9.698,2,2,2,2,2
-9.598,2,2,2,2,2
-9.497,2,2,2,2,2
-9.399,2,2,2,2,2
-9.298,2,2,2,2,2
-9.198,2,2,2,2,2
-9.098,2,2,2,2,2
-8.998,2,2,2,2,2
-8.894,2,2,2,2,2
-8.798,2,2,2,2,2
-8.697,2,2,2,2,2
-8.598,2,2,2,2,2
-8.498,2,2,2,2,2
-8.397,2,2,2,2,2
-8.298,2,2,2,2,2
-8.199,2,2,2,2,2
-8.098,2,2,2,2,2
-7.998,2,2,2,2,2
-7.898,2,2,2,2,2
-7.797,2,2,2,2,2
-7.697,2,2,2,2,2
-7.597,2,2,2,2,2
-7.498,2,2,2,2,2
-7.398,2,2,2,2,2
-7.297,2,2,2,2,2
-7.197,2,2,2,2,2
-7.098,2,2,2,2,2
-6.997,2,2,2,2,2
-6.896,2,2,2,2,2
-6.798,2,2,2,2,2
-6.697,2,2,2,2,2
-6.597,2,2,2,2,2
-6.497,2,2,2,2,2
-6.399,2,2,2,2,2
-6.297,2,2,2,2,2
-6.198,2,2,2,2,2
-6.098,2,2,2,2,2
-5.996,2,2,2,2,2
-5.898,2,2,1,1,2
-5.794,2,2,1,1,2
-5.699,0,2,1,1,2
-5.593,0,2,1,1,2
-5.498,1,2,1,1,2
-5.397,1,2,1,1,2
-5.297,1,2,1,1,2
-5.197,1,2,1,1,2
-5.099,1,2,1,1,2
-4.997,1,2,1,1,2
-4.898,1,2,1,1,2
-4.798,1,2,1,1,2
-4.698,1,2,1,1,2
-4.593,1,2,1,1,2
-4.496,1,2,1,1,2
-4.397,1,2,1,1,2
-4.298,1,2,1,1,2
-4.198,1,2,1,1,2
-4.097,1,2,1,1,2
-3.998,1,2,1,1,2
-3.899,1,2,1,1,2
-3.799,1,2,1,1,2
-3.698,1,2,1,1,2
-3.598,1,2,1,1,2
