# T[s],P3[MPa]
-38.088,2.883
-38.080,2.889
-38.069,2.883
-38.059,2.883
-38.049,2.883
-38.039,2.883
-38.030,2.883
-38.018,2.883
-38.010,2.883
-37.997,2.883
-37.990,2.883
-37.979,2.883
-37.969,2.883
-37.959,2.883
-37.949,2.883
-37.939,2.883
-37.930,2.883
-37.919,2.877
-37.910,2.883
-37.899,2.877
-37.889,2.877
-37.879,2.883
-37.869,2.883
-37.859,2.877
-37.850,2.877
-37.838,2.877
-37.829,2.877
-37.820,2.877
-37.809,2.877
-37.799,2.877
-37.789,2.877
-37.779,2.877
-37.769,2.877
-37.759,2.877
-37.750,2.877
-37.740,2.877
-37.730,2.877
-37.718,2.877
-37.709,2.877
-37.697,2.877
-37.690,2.877
-37.679,2.877
-37.669,2.877
-37.655,2.877
-37.645,2.877
-37.638,2.877
-37.629,2.877
-37.618,2.877
-37.609,2.871
-37.598,2.871
-37.589,2.871
-37.579,2.877
-37.570,2.877
-37.559,2.871
-37.549,2.877
-37.539,2.871
-37.529,2.871
-37.519,2.877
-37.509,2.871
-37.498,2.871
-37.490,2.871
-37.480,2.871
-37.470,2.871
-37.459,2.871
-37.449,2.871
-37.439,2.871
-37.430,2.871
-37.419,2.871
-37.409,2.871
-37.397,2.871
-37.389,2.871
-37.379,2.871
-37.369,2.871
-37.359,2.871
-37.349,2.871
-37.340,2.871
-37.329,2.871
-37.318,2.871
-37.309,2.871
-37.299,2.871
-37.289,2.871
-37.279,2.864
-37.269,2.871
-37.259,2.871
-37.249,2.871
-37.239,2.871
-37.229,2.864
-37.220,2.871
-37.209,2.864
-37.198,2.864
-37.189,2.871
-37.178,2.864
-37.168,2.864
-37.159,2.864
-37.150,2.864
-37.140,2.864
-37.124,2.864
-37.115,2.864
-37.109,2.864
-37.098,2.864
-37.089,2.864
-37.079,2.864
-37.068,2.871
-37.059,2.864
-37.050,2.864
-37.039,2.864
-37.029,2.864
-37.019,2.864
-37.009,2.864
-36.998,2.864
-36.989,2.864
-36.978,2.864
-36.969,2.864
-36.960,2.864
-36.949,2.864
-36.937,2.864
-36.929,2.864
-36.919,2.858
-36.910,2.858
-36.897,2.858
-36.888,2.864
-36.876,2.864
-36.866,2.864
-36.858,2.858
-36.849,2.858
-36.838,2.858
-36.829,2.864
-36.819,2.864
-36.809,2.864
-36.799,2.858
-36.790,2.858
-36.779,2.864
-36.769,2.864
-36.759,2.858
-36.749,2.858
-36.739,2.858
-36.728,2.858
-36.719,2.858
-36.706,2.858
-36.693,2.858
-36.688,2.858
-36.679,2.858
-36.669,2.858
-36.659,2.858
-36.649,2.858
-36.639,2.858
-36.629,2.858
-36.618,2.858
-36.610,2.858
-36.599,2.858
-36.589,2.858
-36.579,2.858
-36.569,2.858
-36.559,2.858
-36.549,2.852
-36.538,2.858
-36.530,2.852
-36.519,2.858
-36.509,2.858
-36.497,2.858
-36.489,2.858
-36.479,2.858
-36.469,2.852
-36.459,2.852
-36.448,2.858
-36.440,2.858
-36.429,2.858
-36.419,2.852
-36.409,2.858
-36.398,2.852
-36.389,2.852
-36.379,2.852
-36.369,2.852
-36.358,2.852
-36.350,2.852
-36.339,2.852
-36.329,2.852
-36.319,2.852
-36.309,2.852
-36.298,2.852
-36.288,2.852
-36.278,2.852
-36.270,2.852
-36.259,2.852
-36.249,2.852
-36.239,2.852
-36.229,2.852
-36.219,2.852
-36.209,2.846
-36.197,2.852
-36.190,2.846
-36.179,2.852
-36.169,2.852
-36.159,2.846
-36.149,2.846
-36.139,2.846
-36.130,2.846
-36.120,2.852
-36.110,2.846
-36.098,2.846
-36.089,2.846
-36.078,2.852
-36.068,2.846
-36.059,2.846
-36.049,2.846
-36.038,2.846
-36.030,2.852
-36.020,2.846
-36.010,2.846
-35.997,2.852
-35.989,2.846
-35.979,2.846
-35.970,2.846
-35.959,2.846
-35.948,2.846
-35.939,2.846
-35.929,2.846
-35.920,2.846
-35.909,2.846
-35.896,2.852
-35.889,2.846
-35.879,2.846
-35.869,2.846
-35.860,2.846
-35.849,2.846
-35.840,2.846
-35.829,2.846
-35.819,2.846
-35.809,2.846
-35.798,2.846
-35.788,2.846
-35.780,2.846
-35.770,2.846
-35.760,2.846
-35.749,2.846
-35.739,2.846
-35.729,2.846
-35.719,2.846
-35.709,2.846
-35.698,2.846
-35.688,2.846
-35.680,2.846
-35.670,2.846
-35.659,2.839
-35.649,2.839
-35.639,2.839
-35.629,2.846
-35.618,2.846
-35.609,2.846
-35.598,2.846
-35.589,2.846
-35.579,2.846
-35.569,2.846
-35.559,2.846
-35.549,2.846
-35.539,2.839
-35.528,2.839
-35.518,2.846
-35.510,2.846
-35.498,2.839
-35.490,2.839
-35.479,2.839
-35.469,2.839
-35.459,2.839
-35.449,2.839
-35.439,2.839
-35.429,2.839
-35.415,2.839
-35.402,2.839
-35.395,2.839
-35.389,2.839
-35.379,2.839
-35.369,2.839
-35.359,2.839
-35.349,2.839
-35.340,2.839
-35.328,2.839
-35.319,2.839
-35.309,2.839
-35.296,2.839
-35.289,2.839
-35.279,2.839
-35.269,2.839
-35.259,2.839
-35.248,2.839
-35.240,2.839
-35.229,2.839
-35.219,2.839
-35.209,2.839
-35.198,2.833
-35.189,2.839
-35.178,2.839
-35.170,2.839
-35.160,2.839
-35.150,2.833
-35.139,2.833
-35.129,2.839
-35.119,2.833
-35.109,2.839
-35.098,2.839
-35.088,2.833
-35.078,2.833
-35.070,2.833
-35.060,2.839
-35.049,2.833
-35.039,2.833
-35.029,2.833
-35.019,2.839
-35.009,2.833
-34.997,2.833
-34.990,2.833
-34.980,2.833
-34.969,2.833
-34.959,2.833
-34.949,2.833
-34.939,2.833
-34.929,2.833
-34.919,2.833
-34.910,2.833
-34.897,2.833
-34.890,2.833
-34.879,2.833
-34.869,2.833
-34.858,2.833
-34.849,2.833
-34.838,2.833
-34.830,2.833
-34.818,2.833
-34.803,2.833
-34.792,2.833
-34.787,2.833
-34.779,2.833
-34.769,2.833
-34.759,2.833
-34.749,2.833
-34.738,2.833
-34.730,2.833
-34.720,2.833
-34.709,2.833
-34.699,2.833
-34.689,2.833
-34.678,2.833
-34.668,2.833
-34.658,2.827
-34.650,2.833
-34.640,2.833
-34.630,2.827
-34.619,2.827
-34.609,2.833
-34.598,2.827
-34.589,2.827
-34.579,2.827
-34.568,2.827
-34.559,2.827
-34.550,2.833
-34.539,2.833
-34.529,2.827
-34.519,2.827
-34.504,2.827
-34.491,2.827
-34.485,2.827
-34.478,2.827
-34.470,2.827
-34.459,2.827
-34.449,2.827
-34.438,2.827
-34.429,2.827
-34.419,2.827
-34.409,2.827
-34.397,2.827
-34.390,2.827
-34.379,2.827
-34.368,2.827
-34.359,2.827
-34.349,2.827
-34.339,2.827
-34.329,2.827
-34.319,2.827
-34.309,2.827
-34.298,2.827
-34.290,2.827
-34.279,2.827
-34.269,2.827
-34.259,2.827
-34.249,2.827
-34.238,2.827
-34.229,2.827
-34.218,2.827
-34.210,2.827
-34.198,2.827
-34.189,2.827
-34.179,2.827
-34.169,2.827
-34.159,2.827
-34.149,2.827
-34.138,2.827
-34.129,2.827
-34.115,2.827
-34.105,2.827
-34.096,2.827
-34.089,2.827
-34.079,2.827
-34.069,2.827
-34.059,2.827
-34.050,2.827
-34.038,2.820
-34.029,2.820
-34.019,2.827
-34.009,2.827
-33.998,2.827
-33.987,2.827
-33.979,2.827
-33.969,2.827
-33.959,2.827
-33.950,2.827
-33.939,2.827
-33.929,2.820
-33.919,2.827
-33.907,2.827
-33.893,2.827
-33.886,2.827
-33.878,2.820
-33.870,2.820
-33.859,2.827
-33.849,2.820
-33.839,2.820
-33.829,2.827
-33.818,2.820
-33.809,2.820
-33.798,2.820
-33.790,2.820
-33.780,2.820
-33.767,2.820
-33.757,2.827
-33.749,2.820
-33.739,2.820
-33.729,2.820
-33.719,2.820
-33.708,2.820
-33.698,2.820
-33.690,2.820
-33.679,2.820
-33.669,2.820
-33.659,2.820
-33.647,2.820
-33.633,2.820
-33.626,2.820
-33.619,2.820
-33.610,2.820
-33.597,2.827
-33.589,2.827
-33.579,2.827
-33.569,2.827
-33.558,2.827
-33.549,2.827
-33.539,2.827
