# T[s],P0[MPa],P1[MPa],P2[MPa]
-38.084,26.929,2.548,3.451
-38.075,26.929,2.548,3.451
-38.064,26.954,2.548,3.451
-38.055,26.954,2.548,3.451
-38.045,26.929,2.548,3.451
-38.035,26.929,2.548,3.451
-38.025,26.954,2.548,3.451
-38.014,26.929,2.548,3.451
-38.004,26.954,2.548,3.451
-37.996,26.929,2.548,3.451
-37.986,26.954,2.542,3.451
-37.975,26.929,2.548,3.451
-37.965,26.929,2.542,3.451
-37.955,26.954,2.548,3.451
-37.945,26.954,2.548,3.457
-37.935,26.929,2.548,3.451
-37.925,26.929,2.548,3.451
-37.915,26.929,2.548,3.451
-37.905,26.929,2.548,3.457
-37.894,26.929,2.548,3.457
-37.885,26.929,2.548,3.451
-37.874,26.929,2.548,3.451
-37.865,26.929,2.548,3.451
-37.854,26.929,2.548,3.451
-37.845,26.929,2.548,3.457
-37.834,26.954,2.548,3.451
-37.826,26.929,2.548,3.451
-37.816,26.954,2.548,3.451
-37.805,26.929,2.548,3.451
-37.795,26.954,2.548,3.451
-37.785,26.954,2.548,3.451
-37.775,26.929,2.548,3.451
-37.765,26.954,2.548,3.451
-37.754,26.929,2.548,3.451
-37.745,26.929,2.548,3.451
-37.736,26.954,2.548,3.451
-37.726,26.929,2.548,3.451
-37.715,26.929,2.548,3.451
-37.705,26.954,2.548,3.451
-37.695,26.929,2.548,3.451
-37.684,26.929,2.548,3.451
-37.674,26.929,2.548,3.451
-37.663,26.929,2.548,3.451
-37.650,26.929,2.548,3.451
-37.642,26.929,2.548,3.451
-37.634,26.929,2.548,3.451
-37.625,26.929,2.548,3.451
-37.615,26.954,2.548,3.451
-37.605,26.929,2.548,3.451
-37.595,26.929,2.555,3.451
-37.585,26.929,2.548,3.451
-37.575,26.929,2.548,3.451
-37.564,26.929,2.548,3.451
-37.554,26.929,2.548,3.451
-37.545,26.929,2.548,3.457
-37.535,26.929,2.548,3.451
-37.525,26.929,2.548,3.451
-37.515,26.929,2.548,3.451
-37.505,26.929,2.548,3.451
-37.495,26.954,2.548,3.451
-37.485,26.929,2.548,3.451
-37.474,26.954,2.548,3.451
-37.466,26.954,2.548,3.451
-37.454,26.929,2.548,3.451
-37.445,26.954,2.548,3.457
-37.435,26.954,2.548,3.457
-37.425,26.929,2.548,3.457
-37.415,26.929,2.548,3.451
-37.405,26.929,2.548,3.451
-37.395,26.929,2.548,3.451
-37.384,26.929,2.548,3.451
-37.375,26.954,2.548,3.451
-37.365,26.954,2.548,3.451
-37.355,26.929,2.548,3.451
-37.345,26.929,2.548,3.451
-37.335,26.929,2.548,3.451
-37.325,26.954,2.548,3.451
-37.314,26.929,2.548,3.451
-37.306,26.929,2.555,3.451
-37.295,26.929,2.548,3.451
-37.284,26.954,2.548,3.451
-37.275,26.929,2.548,3.451
-37.265,26.929,2.548,3.451
-37.255,26.929,2.548,3.451
-37.245,26.954,2.548,3.451
-37.234,26.929,2.548,3.451
-37.224,26.954,2.548,3.451
-37.215,26.954,2.548,3.451
-37.206,26.929,2.548,3.451
-37.195,26.929,2.555,3.451
-37.185,26.929,2.548,3.451
-37.175,26.929,2.555,3.451
-37.165,26.929,2.548,3.451
-37.155,26.929,2.555,3.451
-37.145,26.929,2.548,3.451
-37.131,26.929,2.548,3.451
-37.120,26.929,2.548,3.451
-37.112,26.929,2.548,3.451
-37.105,26.929,2.548,3.451
-37.095,26.954,2.548,3.451
-37.085,26.929,2.548,3.451
-37.075,26.929,2.548,3.451
-37.065,26.954,2.548,3.451
-37.054,26.954,2.548,3.451
-37.046,26.954,2.548,3.451
-37.035,26.929,2.548,3.457
-37.025,26.929,2.555,3.451
-37.015,26.954,2.548,3.457
-37.005,26.929,2.548,3.451
-36.995,26.954,2.548,3.451
-36.985,26.929,2.548,3.451
-36.974,26.929,2.548,3.451
-36.965,26.929,2.548,3.451
-36.955,26.954,2.548,3.451
-36.945,26.929,2.548,3.451
-36.935,26.929,2.548,3.451
-36.925,26.929,2.548,3.451
-36.915,26.929,2.542,3.451
-36.905,26.954,2.548,3.451
-36.894,26.929,2.548,3.451
-36.882,26.929,2.548,3.451
-36.871,26.954,2.548,3.451
-36.863,26.929,2.548,3.451
-36.854,26.929,2.548,3.457
-36.845,26.929,2.548,3.451
-36.835,26.929,2.548,3.451
-36.825,26.929,2.548,3.451
-36.815,26.929,2.548,3.451
-36.805,26.929,2.548,3.451
-36.794,26.929,2.548,3.457
-36.786,26.929,2.548,3.457
-36.776,26.929,2.548,3.457
-36.765,26.929,2.548,3.457
-36.755,26.929,2.548,3.457
-36.745,26.929,2.548,3.451
-36.735,26.929,2.548,3.457
-36.724,26.929,2.548,3.457
-36.713,26.929,2.548,3.457
-36.700,26.929,2.548,3.457
-36.692,26.929,2.548,3.451
-36.684,26.954,2.548,3.451
-36.675,26.929,2.548,3.451
-36.665,26.929,2.548,3.451
-36.654,26.929,2.548,3.451
-36.645,26.929,2.548,3.451
-36.635,26.929,2.555,3.451
-36.626,26.954,2.548,3.451
-36.615,26.929,2.555,3.451
-36.606,26.929,2.548,3.451
-36.594,26.929,2.548,3.451
-36.585,26.929,2.548,3.457
-36.575,26.929,2.548,3.451
-36.565,26.929,2.555,3.451
-36.555,26.929,2.548,3.451
-36.545,26.929,2.548,3.457
-36.534,26.954,2.548,3.451
-36.526,26.929,2.548,3.457
-36.515,26.954,2.548,3.451
-36.505,26.954,2.548,3.451
-36.495,26.929,2.548,3.457
-36.485,26.929,2.548,3.451
-36.475,26.929,2.555,3.457
-36.464,26.954,2.548,3.451
-36.455,26.929,2.548,3.457
-36.444,26.929,2.548,3.451
-36.436,26.929,2.548,3.451
-36.425,26.929,2.548,3.451
-36.415,26.929,2.548,3.451
-36.405,26.954,2.548,3.451
-36.395,26.929,2.548,3.451
-36.385,26.929,2.548,3.451
-36.375,26.929,2.548,3.451
-36.364,26.929,2.548,3.451
