# T[s],T4[C],T5[C]
-38.035,9.9,8.3
-37.934,10.0,8.5
-37.834,10.0,8.5
-37.734,10.0,8.5
-37.634,10.1,8.5
-37.535,10.0,8.5
-37.435,10.1,8.5
-37.334,9.9,8.3
-37.234,10.1,8.5
-37.131,10.1,8.5
-37.035,9.9,8.5
-36.935,10.1,8.5
-36.835,10.0,8.5
-36.734,10.1,8.3
-36.634,10.1,8.3
-36.534,10.1,8.3
-36.435,9.9,8.5
-36.334,10.1,8.5
-36.235,9.9,8.5
-36.133,9.9,8.5
-36.034,10.1,8.5
-35.933,10.0,8.5
-35.834,10.1,8.3
-35.735,10.0,8.5
-35.635,10.0,8.5
-35.535,10.1,8.5
-35.434,10.0,8.5
-35.334,10.1,8.5
-35.234,10.1,8.5
-35.133,10.1,8.5
-35.035,9.9,8.5
-34.934,10.1,8.5
-34.834,10.1,8.5
-34.734,10.0,8.5
-34.633,9.9,8.5
-34.534,9.9,8.5
-34.435,10.1,8.3
-34.333,9.9,8.5
-34.234,10.1,8.5
-34.134,10.0,8.5
-34.034,10.0,8.5
-33.933,10.1,8.5
-33.835,10.0,8.5
-33.733,10.1,8.5
-33.630,9.9,8.5
-33.534,10.1,8.5
-33.434,10.1,8.5
-33.333,10.1,8.5
-33.235,10.1,8.5
-33.135,10.1,8.3
-33.034,10.1,8.5
-32.934,9.9,8.4
-32.834,10.1,8.4
-32.734,10.1,8.5
-32.634,10.0,8.5
-32.534,10.1,8.5
-32.434,10.1,8.5
-32.334,9.9,8.5
-32.234,10.1,8.5
-32.133,10.0,8.5
-32.035,10.1,8.5
-31.935,10.1,8.5
-31.835,10.0,8.5
-31.734,10.1,8.5
-31.634,9.9,8.5
-31.532,10.1,8.5
-31.434,10.1,8.5
-31.335,9.9,8.5
-31.234,10.1,8.5
-31.134,10.0,8.5
-31.034,10.1,8.5
-30.934,10.0,8.3
-30.834,9.9,8.5
-30.733,10.1,8.4
-30.635,10.1,8.4
-30.530,10.1,8.4
-30.434,10.1,8.5
-30.334,10.1,8.5
-30.234,10.1,8.3
-30.134,10.1,8.5
-30.035,10.1,8.5
-29.934,10.1,8.5
-29.834,9.9,8.5
-29.732,9.9,8.5
-29.634,10.1,8.5
-29.535,10.0,8.3
-29.434,10.1,8.5
-29.334,10.1,8.5
-29.234,10.1,8.5
-29.134,10.1,8.5
-29.033,10.1,8.5
-28.934,10.1,8.5
-28.835,10.1,8.5
-28.734,10.1,8.5
-28.634,10.1,8.5
-28.534,10.0,8.5
-28.430,10.1,8.5
-28.333,10.1,8.5
-28.235,9.9,8.5
-28.135,9.9,8.5
-28.034,10.1,8.5
-27.934,10.1,8.5
-27.826,10.1,8.5
-27.733,10.1,8.5
-27.635,10.1,8.5
-27.535,10.1,8.5
-27.430,9.9,8.5
-27.334,10.1,8.5
-27.234,10.0,8.5
-27.133,10.1,8.5
-27.035,10.1,8.5
-26.935,10.1,8.5
-26.834,10.1,8.5
-26.733,10.1,8.5
-26.634,10.1,8.5
-26.534,10.1,8.5
-26.433,9.9,8.5
-26.335,9.9,8.5
-26.234,9.9,8.5
-26.134,10.0,8.4
-26.028,10.1,8.4
