# T[s],T1[C]
-37.521,29.2
-36.520,29.2
-35.520,29.2
-34.519,29.1
-33.521,29.1
-32.521,29.2
-31.516,29.1
-30.515,29.1
-29.513,29.2
-28.520,29.2
-27.521,29.1
-26.521,29.2
-25.521,29.1
-24.519,29.2
-23.520,29.1
-22.520,29.1
-21.521,29.2
-20.520,29.1
-19.521,29.1
-18.520,29.1
-17.521,29.1
-16.518,29.1
-15.520,29.1
-14.521,29.2
-13.518,29.2
-12.520,29.1
-11.520,29.1
-10.520,29.2
-9.519,29.2
-8.519,29.1
-7.520,29.1
-6.521,29.2
-5.520,29.2
-4.519,29.1
-3.520,29.2
-2.520,29.1
-1.520,29.1
-0.520,29.2
0.484,29.2
1.486,29.2
2.481,29.2
3.481,29.1
4.480,29.1
5.480,29.1
6.479,29.1
7.480,29.1
8.481,29.1
9.480,29.1
10.480,29.2
11.481,29.1
12.481,29.1
13.482,29.1
14.481,29.2
15.481,29.1
16.481,29.1
17.486,29.1
18.481,29.1
19.481,29.1
20.481,29.1
21.480,29.1
22.481,29.1
23.482,29.1
24.481,29.1
25.481,29.1
26.482,29.1
27.481,29.1
28.481,29.1
29.482,29.1
30.481,29.1
31.481,29.1
32.482,29.1
33.482,29.1
34.482,29.0
38.481,29.0
