# T[s],T_gyro[C]
-38.063,38.4
-37.963,38.4
-37.863,38.4
-37.762,38.4
-37.660,38.4
-37.562,38.4
-37.463,38.4
-37.364,38.4
-37.264,38.4
-37.164,38.4
-37.062,38.4
-36.963,38.4
-36.861,38.4
-36.762,38.4
-36.663,38.4
-36.563,38.4
-36.463,38.4
-36.363,38.4
-36.263,38.4
-36.163,38.4
-36.063,38.4
-35.963,38.4
-35.864,38.4
-35.763,38.4
-35.662,38.4
-35.563,38.4
-35.462,38.4
-35.362,38.4
-35.264,38.4
-35.163,38.4
-35.063,38.4
-34.963,38.4
-34.862,38.4
-34.762,38.4
-34.663,38.4
-34.563,38.4
-34.463,38.4
-34.362,38.4
-34.263,38.4
-34.163,38.4
-34.063,38.4
-33.962,38.4
-33.863,38.4
-33.758,38.4
-33.663,38.4
-33.563,38.4
-33.462,38.4
-33.363,38.4
-33.263,38.4
-33.163,38.4
-33.063,38.4
-32.963,38.4
-32.862,38.4
-32.762,38.4
-32.662,38.4
-32.562,38.4
-32.463,38.4
-32.363,38.4
-32.263,38.4
-32.164,38.4
-32.063,38.4
-31.963,38.4
-31.863,38.4
-31.763,38.4
-31.662,38.4
-31.564,38.4
-31.463,38.4
-31.362,38.4
-31.263,38.4
-31.162,38.4
-31.063,38.4
-30.963,38.4
-30.862,38.4
-30.763,38.4
-30.662,38.4
-30.563,38.4
-30.462,38.4
-30.362,38.4
-30.263,38.4
-30.163,38.4
-30.063,38.4
-29.962,38.4
-29.863,38.4
-29.764,38.4
-29.664,38.4
-29.563,38.4
-29.463,38.4
-29.363,38.4
-29.263,38.4
-29.162,38.4
-29.064,38.4
-28.963,38.4
-28.863,38.4
-28.763,38.4
-28.663,38.4
-28.564,38.4
-28.463,38.4
-28.364,38.4
-28.263,38.4
-28.163,38.4
-28.062,38.4
-27.964,38.4
-27.862,38.4
-27.763,38.4
-27.663,38.4
-27.561,38.4
-27.463,38.4
-27.364,38.4
-27.264,38.4
-27.164,38.4
-27.064,38.4
-26.963,38.4
-26.863,38.4
-26.758,38.4
-26.656,38.4
-26.563,38.4
-26.464,38.4
-26.363,38.4
-26.263,38.4
-26.163,38.4
-26.064,38.4
-25.963,38.4
-25.856,38.4
-25.763,38.4
-25.663,38.4
-25.563,38.4
-25.463,38.4
-25.364,38.4
-25.264,38.4
-25.163,38.4
-25.063,38.4
-24.963,38.4
-24.862,38.4
-24.763,38.4
-24.664,38.4
-24.564,38.4
-24.463,38.4
-24.363,38.4
-24.263,38.4
-24.164,38.4
-24.064,38.4
-23.962,38.4
-23.863,38.4
-23.762,38.4
-23.658,38.4
-23.562,38.4
-23.461,38.4
-23.363,38.4
-23.263,38.4
-23.163,38.4
-23.063,38.4
-22.957,38.4
-22.862,38.4
-22.755,38.4
-22.663,38.4
-22.563,38.4
-22.462,38.4
-22.362,38.4
-22.261,38.4
-22.163,38.4
-22.063,38.4
-21.963,38.4
-21.862,38.4
-21.762,38.4
-21.658,38.4
-21.562,38.4
-21.463,38.4
-21.363,38.4
-21.262,38.4
-21.162,38.4
-21.063,38.4
-20.963,38.4
-20.863,38.4
-20.763,38.4
-20.663,38.4
-20.562,38.4
-20.462,38.4
-20.361,38.4
-20.263,38.4
-20.163,38.4
-20.063,38.4
-19.963,38.4
-19.862,38.4
-19.761,38.4
-19.663,38.4
-19.563,38.4
-19.463,38.4
-19.362,38.4
-19.262,38.4
-19.162,38.4
-19.063,38.4
-18.956,38.4
-18.863,38.4
-18.763,38.4
-18.658,38.4
-18.561,38.4
-18.463,38.4
-18.363,38.4
-18.261,38.4
-18.162,38.4
-18.062,38.4
-17.962,38.4
-17.862,38.4
-17.761,38.4
-17.663,38.4
-17.563,38.4
-17.463,38.4
-17.362,38.4
-17.262,38.4
-17.163,38.4
-17.063,38.4
-16.963,38.4
-16.863,38.4
-16.762,38.4
-16.662,38.4
-16.561,38.4
-16.462,38.4
-16.362,38.4
-16.263,38.4
-16.162,38.4
-16.061,38.4
-15.962,38.4
-15.862,38.4
-15.762,38.4
-15.663,38.4
-15.562,38.4
-15.462,38.4
-15.363,38.4
-15.263,38.4
-15.163,38.4
-15.062,38.4
-14.962,38.4
-14.862,38.4
-14.763,38.4
-14.663,38.4
-14.563,38.4
-14.462,38.4
-14.362,38.4
-14.262,38.4
-14.162,38.4
-14.063,38.4
-13.959,38.4
-13.862,38.5
-13.763,38.5
-13.662,38.5
-13.561,38.5
-13.463,38.5
-13.363,38.5
-13.262,38.5
-13.163,38.5
-13.062,38.5
-12.962,38.5
-12.863,38.5
-12.763,38.5
-12.661,38.5
-12.562,38.5
-12.463,38.5
-12.363,38.5
-12.263,38.5
-12.163,38.5
-12.063,38.5
-11.962,38.5
-11.862,38.5
-11.761,38.5
-11.659,38.5
-11.563,38.5
-11.463,38.5
-11.363,38.5
-11.262,38.5
-11.163,38.5
-11.063,38.5
-10.963,38.5
-10.863,38.5
-10.762,38.5
-10.662,38.5
-10.562,38.5
-10.462,38.5
-10.363,38.5
-10.263,38.5
-10.163,38.5
-10.063,38.5
-9.963,38.5
-9.863,38.5
-9.763,38.5
-9.663,38.5
-9.563,38.5
-9.463,38.5
-9.363,38.5
-9.264,38.5
-9.164,38.5
-9.058,38.5
-8.962,38.5
-8.862,38.5
-8.763,38.5
-8.662,38.5
-8.563,38.5
-8.463,38.5
-8.363,38.5
-8.264,38.5
-8.163,38.5
-8.064,38.5
-7.962,38.5
-7.863,38.5
-7.763,38.5
-7.663,38.5
-7.563,38.5
-7.463,38.5
-7.362,38.5
-7.263,38.5
-7.163,38.5
-7.062,38.5
-6.963,38.5
-6.863,38.5
-6.762,38.5
-6.663,38.5
