# T[s],CAN_REC,CAN_TEC,Uptime[s]
-37.902,0,0,25090
-36.901,0,0,25091
-35.899,0,0,25092
-34.901,0,0,25093
-33.895,0,0,25094
-32.900,0,0,25095
-31.901,0,0,25096
-30.901,0,0,25097
-29.898,0,0,25098
-28.901,0,0,25099
-27.900,0,0,25100
-26.899,0,0,25101
-25.901,0,0,25102
-24.900,0,0,25103
-23.901,0,0,25104
-22.901,0,0,25105
-21.901,0,0,25106
-20.901,0,0,25107
-19.900,0,0,25108
-18.899,0,0,25109
-17.899,0,0,25110
-16.900,0,0,25111
-15.901,0,0,25112
-14.900,0,0,25113
-13.899,0,0,25114
-12.901,0,0,25115
-11.900,0,0,25116
-10.901,0,0,25117
-9.901,0,0,25118
-8.896,0,0,25119
-7.899,0,0,25120
-6.900,0,0,25121
-5.901,0,0,25122
-4.900,0,0,25123
-3.900,0,0,25124
-2.894,0,0,25125
-1.900,0,0,25126
-0.900,0,0,25127
0.099,0,0,25128
1.100,0,0,25129
2.101,0,0,25130
3.100,0,0,25131
4.100,0,0,25132
5.100,0,0,25133
6.100,0,0,25134
7.100,0,0,25135
8.105,0,0,25136
9.100,0,0,25137
10.099,0,0,25138
11.101,0,0,25139
12.100,0,0,25140
13.100,0,0,25141
14.100,0,0,25142
15.101,0,0,25143
16.100,0,0,25144
17.102,0,0,25145
18.100,0,0,25146
19.100,0,0,25147
20.101,0,0,25148
21.100,0,0,25149
22.100,0,0,25150
23.101,0,0,25151
24.100,0,0,25152
25.101,0,0,25153
26.099,0,0,25154
27.101,0,0,25155
28.101,0,0,25156
29.101,0,0,25157
30.100,0,0,25158
31.101,0,0,25159
38.101,0,0,25166
39.101,0,0,25167
41.102,0,0,25169
