# T[s],CAN_REC,CAN_TEC,ErrorFlag,Uptime[s]
-38.064,0,0,0,25088
-37.965,0,0,0,25088
-37.865,0,0,0,25088
-37.765,0,0,0,25088
-37.662,0,0,0,25088
-37.564,0,0,0,25088
-37.463,0,0,0,25088
-37.365,0,0,0,25088
-37.265,0,0,0,25088
-37.165,0,0,0,25089
-37.065,0,0,0,25089
-36.964,0,0,0,25089
-36.861,0,0,0,25089
-36.765,0,0,0,25089
-36.663,0,0,0,25089
-36.563,0,0,0,25089
-36.464,0,0,0,25089
-36.364,0,0,0,25089
-36.264,0,0,0,25089
-36.163,0,0,0,25090
-36.065,0,0,0,25090
-35.965,0,0,0,25090
-35.864,0,0,0,25090
-35.764,0,0,0,25090
-35.664,0,0,0,25090
-35.564,0,0,0,25090
-35.463,0,0,0,25090
-35.363,0,0,0,25090
-35.264,0,0,0,25090
-35.164,0,0,0,25091
-35.064,0,0,0,25091
-34.963,0,0,0,25091
-34.865,0,0,0,25091
-34.763,0,0,0,25091
-34.665,0,0,0,25091
-34.564,0,0,0,25091
-34.464,0,0,0,25091
-34.365,0,0,0,25091
-34.263,0,0,0,25091
-34.164,0,0,0,25092
-34.063,0,0,0,25092
-33.964,0,0,0,25092
-33.864,0,0,0,25092
-33.759,0,0,0,25092
-33.665,0,0,0,25092
-33.565,0,0,0,25092
-33.465,0,0,0,25092
-33.364,0,0,0,25092
-33.264,0,0,0,25092
-33.164,0,0,0,25093
-33.065,0,0,0,25093
-32.965,0,0,0,25093
-32.865,0,0,0,25093
-32.764,0,0,0,25093
-32.664,0,0,0,25093
-32.564,0,0,0,25093
-32.464,0,0,0,25093
-32.363,0,0,0,25093
-32.263,0,0,0,25093
-32.165,0,0,0,25094
-32.064,0,0,0,25094
-31.964,0,0,0,25094
-31.865,0,0,0,25094
-31.765,0,0,0,25094
-31.665,0,0,0,25094
-31.564,0,0,0,25094
-31.464,0,0,0,25094
-31.364,0,0,0,25094
-31.265,0,0,0,25094
-31.164,0,0,0,25095
-31.065,0,0,0,25095
-30.965,0,0,0,25095
-30.865,0,0,0,25095
-30.764,0,0,0,25095
-30.665,0,0,0,25095
-30.563,0,0,0,25095
-30.465,0,0,0,25095
-30.364,0,0,0,25095
-30.264,0,0,0,25095
-30.164,0,0,0,25096
-30.065,0,0,0,25096
-29.965,0,0,0,25096
-29.865,0,0,0,25096
-29.765,0,0,0,25096
-29.665,0,0,0,25096
-29.564,0,0,0,25096
-29.464,0,0,0,25096
-29.365,0,0,0,25096
-29.265,0,0,0,25096
-29.165,0,0,0,25097
-29.064,0,0,0,25097
-28.964,0,0,0,25097
-28.864,0,0,0,25097
-28.764,0,0,0,25097
-28.663,0,0,0,25097
-28.565,0,0,0,25097
-28.465,0,0,0,25097
-28.364,0,0,0,25097
-28.264,0,0,0,25097
-28.164,0,0,0,25098
-28.065,0,0,0,25098
-27.965,0,0,0,25098
-27.864,0,0,0,25098
-27.763,0,0,0,25098
-27.664,0,0,0,25098
-27.561,0,0,0,25098
-27.465,0,0,0,25098
-27.365,0,0,0,25098
-27.265,0,0,0,25098
-27.165,0,0,0,25099
-27.064,0,0,0,25099
-26.965,0,0,0,25099
-26.863,0,0,0,25099
