# T[s],batt_v[V],unb_v[V],main_v[V],main_a[A]
-37.629,21.89,7.11,21.83,3.08
-36.628,21.89,7.11,21.83,3.16
-35.628,21.89,7.11,21.83,3.06
-34.629,21.89,7.09,21.83,3.06
-33.626,21.89,7.11,21.82,3.07
-32.629,21.89,7.09,21.82,3.09
-31.629,21.89,7.09,21.82,3.09
-30.628,21.88,7.07,21.82,3.09
-29.629,21.88,7.09,21.82,3.15
-28.630,21.88,7.09,21.82,3.05
-27.629,21.88,7.07,21.82,3.04
-26.629,21.88,7.07,21.82,3.05
-25.627,21.88,7.07,21.82,3.06
-24.629,21.88,7.07,21.82,3.08
-23.629,21.88,7.07,21.82,3.06
-22.625,21.88,7.07,21.80,3.05
-21.626,21.88,7.07,21.80,3.03
-20.628,21.88,7.05,21.80,3.04
-19.628,21.85,7.05,21.80,3.05
-18.628,21.88,7.07,21.80,3.06
-17.625,21.85,7.05,21.80,3.12
-16.629,21.85,7.07,21.80,3.07
-15.628,21.85,7.05,21.78,3.07
-14.627,21.85,7.05,21.78,3.04
-13.629,21.85,7.05,21.80,3.05
-12.628,21.85,7.05,21.78,3.13
-11.628,21.85,7.05,21.78,3.09
-10.628,21.83,7.05,21.78,3.09
-9.628,21.83,7.05,21.78,3.10
-8.628,21.64,7.03,21.58,3.16
-7.628,21.60,7.05,21.54,3.16
-6.628,21.58,7.03,21.50,3.16
-5.628,21.29,7.01,21.39,3.36
-4.628,21.52,7.05,21.44,3.21
-3.622,21.70,7.05,21.62,3.22
-2.628,21.72,7.05,21.66,3.22
-1.628,21.74,7.05,21.68,3.22
-0.629,21.74,7.05,21.66,3.25
0.372,21.74,7.05,21.68,3.25
1.373,21.70,3.46,21.64,3.39
2.372,21.62,1.89,21.54,3.25
3.372,21.54,1.88,21.41,3.17
4.372,21.48,1.89,21.41,3.38
5.372,21.48,1.89,21.42,3.41
6.373,21.48,1.89,21.44,3.48
7.372,21.42,1.88,21.33,3.16
8.372,21.41,1.88,21.25,3.13
9.373,21.39,1.88,21.25,3.78
10.372,21.37,1.88,21.31,3.30
11.373,21.35,1.86,21.15,3.14
12.372,21.39,1.88,21.25,3.46
13.372,21.33,1.88,21.17,3.28
14.372,21.35,1.86,21.15,3.46
15.373,21.25,1.86,21.05,3.71
16.374,21.29,1.88,21.15,3.38
17.373,21.29,1.88,21.13,3.52
18.373,21.25,1.84,21.13,3.62
19.377,21.23,1.88,21.09,3.50
20.373,21.23,1.86,21.09,3.68
21.372,21.19,1.86,21.03,3.49
22.373,21.25,1.88,21.11,3.16
23.373,21.21,1.86,21.05,3.53
24.373,21.25,1.89,21.13,3.57
25.374,21.19,1.88,21.03,3.59
26.372,21.21,1.88,21.07,3.51
27.372,21.21,1.88,21.07,3.45
28.373,21.19,1.86,21.09,3.36
29.372,21.13,1.86,20.98,3.62
30.373,21.21,1.88,21.07,3.44
31.373,21.09,1.86,20.84,3.53
32.374,21.13,1.88,20.92,3.50
33.373,21.05,1.84,20.64,3.56
34.373,21.07,1.88,20.86,3.48
38.374,21.07,1.86,20.96,3.49
41.373,21.09,1.88,20.90,3.55
