# T[s],CAN_REC,CAN_TEC,power_v[V],power_a[A]
-37.669,0,0,21.74,0.32
-36.669,0,0,21.76,0.12
-35.670,0,0,21.83,0.08
-34.669,0,0,21.83,0.28
-33.670,0,0,21.74,-0.41
-32.670,0,0,21.77,0.37
-31.669,0,0,21.80,0.12
-30.670,0,0,21.79,0.32
-29.669,0,0,21.75,0.24
-28.669,0,0,21.81,0.37
-27.670,0,0,21.74,0.73
-26.666,0,0,21.79,0.00
-25.669,0,0,21.82,0.53
-24.669,0,0,21.75,-0.12
-23.666,0,0,21.68,0.37
-22.670,0,0,21.74,0.20
-21.661,0,0,21.77,0.57
-20.669,0,0,21.78,0.41
-19.669,0,0,21.74,0.20
-18.663,0,0,21.76,0.04
-17.669,0,0,21.72,0.32
-16.669,0,0,21.77,0.37
-15.669,0,0,21.74,0.16
-14.670,0,0,21.80,0.61
-13.669,0,0,21.80,0.04
-12.669,0,0,21.72,0.12
-11.670,0,0,21.73,0.04
-10.669,0,0,21.67,-0.04
-9.661,0,0,21.40,1.83
-8.662,0,0,21.54,3.61
-7.662,0,0,21.33,-1.54
-6.661,0,0,21.32,-1.34
-5.668,0,0,21.04,0.12
-4.667,0,0,21.62,0.81
-3.668,0,0,21.62,0.28
-2.669,0,0,21.78,1.01
-1.669,0,0,21.69,0.20
-0.668,0,0,21.69,0.53
0.331,0,0,21.64,0.45
1.332,0,0,21.52,0.08
2.331,0,0,21.55,3.61
3.331,0,0,21.43,0.49
4.332,0,0,21.28,4.63
5.332,0,0,21.44,0.24
6.332,0,0,21.48,0.77
7.333,0,0,20.98,1.34
8.333,0,0,21.12,-0.57
9.332,0,0,21.21,-1.91
10.331,0,0,21.16,-3.21
11.335,0,0,21.26,-2.44
12.332,0,0,21.25,-2.56
13.333,0,0,20.81,5.16
14.332,0,0,21.28,1.05
15.333,0,0,21.17,-3.05
16.332,0,0,21.12,-3.17
17.332,0,0,21.42,0.49
18.333,0,0,21.00,-0.85
19.332,0,0,20.95,-2.96
20.332,0,0,21.15,1.18
21.332,0,0,21.11,4.83
22.332,0,0,21.04,-1.42
23.333,0,0,21.15,0.08
24.333,0,0,21.15,0.57
25.334,0,0,20.99,3.49
26.334,0,0,21.16,0.69
27.333,0,0,20.92,0.45
28.334,0,0,20.90,8.48
29.333,0,0,21.02,-1.66
30.332,0,0,20.83,-1.26
31.333,0,0,20.74,-3.82
32.333,0,0,20.82,4.59
33.332,0,0,21.07,-2.03
34.333,0,0,21.06,1.10
38.334,0,0,20.94,2.48
41.333,0,0,21.02,-3.61
