# T[s],RSSI[dBm]
-38.011,-38
-37.933,-38
-37.854,-38
-37.777,-38
-37.697,-38
-37.620,-38
-37.542,-38
-37.463,-39
-37.307,-38
-37.229,-39
-37.150,-38
-37.073,-38
-36.994,-39
-36.917,-38
-36.838,-37
-36.761,-38
-36.603,-38
-36.524,-38
-36.447,-38
-36.369,-38
-36.291,-38
-36.211,-38
-36.134,-39
-36.057,-38
-35.896,-39
-35.820,-38
-35.743,-38
-35.664,-39
-35.587,-38
-35.508,-38
-35.429,-40
-35.352,-38
-35.194,-38
-35.116,-37
-35.039,-38
-34.962,-38
-34.883,-38
-34.797,-38
-34.727,-38
-34.648,-38
-34.487,-38
-34.412,-38
-34.334,-39
-34.258,-38
-34.179,-38
-34.100,-40
-34.021,-38
-33.943,-38
-33.787,-38
-33.708,-38
-33.627,-38
-33.552,-38
-33.473,-37
-33.396,-38
-33.319,-38
-33.242,-39
-33.083,-38
-33.004,-39
-32.927,-38
-32.849,-38
-32.771,-39
-32.692,-38
-32.614,-38
-32.537,-37
-32.223,-38
-32.144,-38
-32.067,-38
-31.988,-38
-31.911,-38
-31.832,-38
-31.514,-38
-31.441,-40
-31.362,-38
-31.284,-38
-31.207,-40
-31.130,-38
-30.971,-38
-30.892,-37
-30.815,-38
-30.737,-38
-30.659,-38
-30.580,-38
-30.502,-38
-30.424,-38
-30.267,-38
-30.188,-38
-30.110,-39
-30.032,-38
-29.955,-38
-29.877,-39
-29.798,-38
-29.717,-38
-29.563,-37
-29.484,-38
-29.407,-38
-29.329,-38
-29.251,-38
-29.172,-38
-29.094,-38
-29.017,-38
-28.702,-38
-28.624,-38
-28.545,-37
-28.467,-38
-28.391,-38
-28.312,-39
-28.153,-38
-28.077,-40
-27.997,-38
-27.921,-38
-27.840,-36
-27.763,-38
-27.687,-38
-27.608,-38
-27.447,-38
-27.138,-37
-27.060,-38
-26.982,-39
-26.904,-37
-26.589,-38
-26.512,-39
-26.433,-38
-26.356,-38
-26.279,-38
-26.201,-38
-26.039,-38
-25.963,-37
-25.887,-38
-25.808,-38
-25.729,-38
-25.653,-38
-25.573,-38
-25.496,-38
-25.181,-39
-25.104,-38
-25.026,-38
-24.949,-39
-24.870,-38
-24.792,-38
-24.635,-38
-24.557,-38
-24.478,-38
-24.400,-38
-24.322,-38
-24.244,-38
-24.166,-38
-24.088,-38
-23.929,-38
-23.853,-39
-23.773,-38
-23.697,-38
-23.618,-39
-23.541,-38
-23.461,-38
-23.385,-40
-23.069,-38
-22.992,-38
-22.913,-38
-22.836,-38
-22.752,-38
-22.681,-38
-22.365,-38
-22.285,-38
-22.209,-38
-22.132,-38
-22.055,-39
-21.977,-38
-21.658,-38
-21.583,-39
-21.505,-38
-21.428,-38
-21.350,-39
-21.272,-38
-21.114,-38
-21.037,-38
-20.957,-38
-20.881,-38
-20.803,-38
-20.725,-38
-20.646,-38
-20.569,-38
-20.410,-38
-20.333,-38
-20.254,-40
-20.176,-38
-20.097,-38
-20.019,-39
-19.943,-38
-19.862,-38
-19.706,-38
-19.627,-38
-19.550,-38
-19.471,-38
-19.394,-38
-19.317,-38
-19.238,-38
-19.161,-38
-19.002,-38
-18.925,-38
-18.841,-38
-18.769,-38
-18.690,-38
-18.613,-38
-18.533,-38
-18.457,-38
-18.296,-38
-18.217,-39
-18.141,-38
-18.062,-38
-17.986,-38
-17.909,-38
-17.830,-38
-17.752,-39
-17.593,-38
-17.517,-40
-17.438,-38
-17.361,-38
-17.282,-36
-17.204,-38
-17.126,-38
-17.049,-38
-16.733,-38
-16.655,-38
-16.578,-38
-16.496,-38
-16.418,-38
-16.344,-38
-16.186,-39
-16.107,-38
-16.030,-38
-15.952,-39
-15.873,-38
-15.797,-38
-15.718,-39
-15.641,-38
-15.482,-38
-15.403,-38
-15.326,-38
-15.247,-38
-15.170,-38
-15.093,-38
-15.013,-38
-14.937,-38
-14.778,-38
-14.701,-38
-14.622,-39
-14.543,-38
-14.466,-38
-14.385,-39
-14.309,-38
-14.233,-38
-13.918,-40
-13.837,-38
-13.762,-38
-13.683,-38
-13.606,-38
-13.529,-38
-13.214,-38
-13.136,-38
-13.058,-38
-12.980,-38
-12.902,-38
-12.823,-39
-12.666,-38
-12.588,-39
-12.510,-38
-12.431,-38
-12.354,-40
-12.277,-38
-12.197,-38
-12.113,-39
-11.962,-38
-11.883,-38
-11.806,-38
-11.729,-38
-11.644,-38
-11.573,-38
-11.494,-38
-11.415,-38
-11.258,-39
-11.181,-38
-11.102,-38
-11.023,-38
-10.946,-38
-10.869,-38
-10.790,-37
-10.712,-38
-10.553,-39
-10.475,-38
-10.396,-38
-10.319,-39
-10.242,-38
-10.163,-38
-10.086,-39
-10.007,-38
-9.850,-38
-9.771,-38
-9.694,-38
-9.614,-38
-9.538,-38
-9.460,-38
-9.382,-38
-9.303,-38
-9.145,-38
-9.068,-38
-8.990,-38
-8.912,-38
-8.833,-38
-8.755,-39
-8.678,-38
-8.599,-38
-8.442,-38
-8.363,-38
-8.286,-40
-8.208,-38
-8.130,-38
-8.052,-39
-7.973,-38
-7.894,-38
-7.582,-38
-7.504,-38
-7.426,-38
-7.348,-38
-7.270,-38
-7.192,-38
-7.032,-38
-6.955,-37
-6.878,-37
-6.800,-37
-6.722,-39
-6.644,-38
-6.564,-38
-6.488,-40
-6.330,-38
-6.252,-39
-6.174,-38
-6.095,-38
-6.011,-39
-5.939,-38
-5.862,-38
-5.780,-36
-5.624,-38
-5.545,-38
-5.470,-38
-5.392,-38
-5.313,-38
-5.228,-38
-5.158,-40
-5.080,-38
-4.921,-39
-4.843,-38
-4.764,-38
-4.688,-40
-4.610,-38
-4.532,-38
-4.454,-40
-4.375,-38
-4.218,-38
-4.140,-38
-4.056,-38
-3.983,-38
-3.906,-38
-3.828,-38
-3.750,-38
-3.672,-38
-3.357,-39
-3.279,-38
-3.201,-38
-3.123,-40
-3.043,-38
-2.967,-38
-2.811,-38
-2.731,-38
-2.653,-38
-2.575,-38
-2.497,-38
-2.420,-38
-2.341,-38
-2.262,-38
-2.105,-38
-2.028,-39
-1.951,-38
-1.872,-38
-1.788,-39
-1.712,-38
-1.637,-38
-1.559,-40
-1.402,-38
-1.322,-38
-1.245,-38
-1.168,-38
-1.089,-38
-1.012,-37
-0.932,-37
-0.855,-38
-0.696,-39
-0.620,-38
-0.543,-38
-0.463,-39
-0.385,-38
-0.308,-38
-0.230,-39
-0.152,-38
0.161,-38
0.240,-38
0.317,-38
0.397,-38
0.478,-38
0.552,-38
0.713,-38
0.790,-38
0.868,-38
0.945,-39
1.021,-38
1.101,-38
1.179,-36
1.263,-36
1.416,-33
1.497,-33
1.575,-35
1.648,-33
1.728,-34
1.805,-38
1.883,-40
1.960,-46
2.117,-45
2.197,-40
2.275,-39
2.352,-37
2.430,-38
2.508,-39
2.587,-41
2.666,-42
2.978,-39
3.058,-40
3.135,-41
3.219,-37
3.289,-38
3.368,-42
3.682,-41
3.760,-41
3.846,-37
3.917,-36
3.995,-38
4.072,-38
4.231,-37
4.308,-37
4.387,-34
4.466,-36
4.543,-35
4.620,-36
4.697,-36
4.777,-36
4.935,-33
5.012,-38
5.090,-34
5.170,-36
5.247,-36
5.326,-33
5.403,-36
5.480,-34
5.795,-37
5.872,-37
5.951,-36
6.030,-40
6.107,-38
6.185,-40
