# T[s],barometer[Pa],temp[C]
-38.047,101293,30.4
-37.948,101287,30.4
-37.847,101290,30.4
-37.747,101290,30.4
-37.642,101290,30.4
-37.547,101287,30.4
-37.447,101288,30.4
-37.348,101287,30.4
-37.248,101289,30.4
-37.147,101289,30.4
-37.047,101288,30.4
-36.947,101289,30.4
-36.847,101289,30.4
-36.748,101290,30.4
-36.648,101288,30.4
-36.546,101288,30.4
-36.447,101289,30.4
-36.347,101285,30.4
-36.246,101287,30.4
-36.147,101287,30.4
-36.047,101289,30.4
-35.947,101292,30.4
-35.847,101290,30.4
-35.747,101287,30.4
-35.646,101289,30.4
-35.547,101289,30.4
-35.446,101290,30.4
-35.347,101289,30.4
-35.247,101293,30.4
-35.147,101291,30.4
-35.047,101290,30.4
-34.946,101288,30.4
-34.847,101288,30.4
-34.746,101288,30.4
-34.647,101289,30.4
-34.546,101292,30.4
-34.447,101290,30.4
-34.346,101287,30.4
-34.247,101287,30.4
-34.146,101287,30.4
-34.047,101288,30.4
-33.947,101287,30.4
-33.847,101285,30.4
-33.747,101290,30.4
-33.645,101290,30.4
-33.547,101288,30.4
-33.447,101289,30.4
-33.346,101289,30.4
-33.247,101288,30.4
-33.147,101289,30.4
-33.046,101288,30.4
-32.948,101287,30.4
-32.845,101287,30.4
-32.747,101288,30.4
-32.647,101290,30.4
-32.547,101289,30.4
-32.446,101287,30.4
-32.348,101288,30.4
-32.247,101286,30.4
-32.147,101287,30.4
-32.047,101286,30.4
-31.947,101288,30.4
-31.846,101288,30.4
-31.748,101287,30.4
-31.647,101287,30.4
-31.547,101287,30.4
-31.447,101287,30.4
-31.347,101288,30.4
-31.248,101288,30.4
-31.148,101286,30.4
-31.047,101288,30.4
-30.947,101286,30.4
-30.847,101288,30.4
-30.747,101289,30.4
-30.647,101285,30.4
-30.546,101287,30.4
-30.446,101287,30.4
-30.347,101287,30.4
-30.247,101283,30.4
-30.147,101288,30.4
-30.046,101288,30.4
-29.946,101288,30.4
-29.847,101286,30.4
-29.747,101288,30.4
-29.647,101287,30.4
-29.547,101284,30.4
-29.447,101289,30.4
-29.347,101287,30.4
-29.247,101285,30.4
-29.147,101287,30.4
-29.047,101284,30.4
-28.947,101288,30.4
-28.847,101286,30.4
-28.746,101286,30.4
-28.648,101285,30.4
-28.547,101287,30.4
-28.447,101287,30.4
-28.347,101288,30.4
-28.247,101287,30.4
-28.148,101288,30.4
-28.047,101285,30.4
-27.947,101289,30.4
-27.846,101292,30.4
-27.746,101288,30.4
-27.647,101287,30.4
-27.547,101287,30.4
-27.442,101291,30.4
-27.347,101287,30.4
-27.247,101288,30.4
-27.147,101285,30.4
-27.047,101290,30.4
-26.947,101287,30.4
-26.847,101287,30.4
-26.745,101285,30.4
-26.645,101286,30.4
-26.547,101288,30.4
-26.446,101290,30.4
-26.346,101289,30.4
-26.248,101286,30.4
-26.147,101286,30.4
-26.045,101287,30.4
-25.947,101287,30.4
-25.846,101287,30.4
-25.747,101288,30.4
-25.647,101287,30.4
-25.546,101292,30.4
-25.447,101288,30.4
-25.347,101286,30.4
-25.247,101288,30.4
-25.147,101287,30.4
-25.048,101290,30.4
-24.946,101290,30.4
-24.847,101287,30.4
-24.747,101288,30.4
-24.647,101290,30.4
-24.547,101287,30.4
-24.447,101287,30.4
-24.346,101287,30.4
-24.247,101287,30.4
-24.147,101287,30.4
-24.043,101287,30.4
-23.947,101288,30.4
-23.847,101290,30.4
-23.748,101289,30.4
-23.645,101286,30.4
-23.547,101285,30.4
-23.447,101289,30.4
-23.347,101287,30.4
-23.246,101286,30.4
-23.147,101287,30.4
-23.046,101289,30.4
-22.946,101285,30.4
-22.847,101286,30.4
-22.745,101287,30.4
-22.647,101289,30.4
-22.548,101287,30.4
-22.445,101288,30.4
-22.347,101287,30.4
-22.246,101289,30.4
-22.146,101286,30.4
-22.046,101285,30.4
-21.947,101288,30.4
-21.846,101285,30.4
-21.747,101289,30.4
-21.647,101287,30.4
-21.547,101285,30.4
-21.447,101287,30.4
-21.347,101290,30.4
-21.247,101284,30.4
-21.146,101287,30.4
-21.046,101286,30.4
-20.946,101284,30.4
-20.846,101289,30.4
-20.747,101287,30.4
-20.646,101287,30.4
-20.546,101286,30.4
