# T[s],barometer[Pa]
-38.063,101224
-37.962,101223
-37.862,101223
-37.762,101226
-37.659,101224
-37.562,101224
-37.462,101228
-37.363,101227
-37.262,101223
-37.161,101223
-37.062,101223
-36.961,101223
-36.861,101223
-36.762,101228
-36.662,101226
-36.561,101224
-36.463,101225
-36.361,101224
-36.263,101223
-36.163,101224
-36.062,101223
-35.962,101225
-35.863,101225
-35.763,101222
-35.661,101223
-35.562,101223
-35.462,101223
-35.361,101224
-35.261,101222
-35.161,101222
-35.063,101223
-34.963,101225
-34.862,101224
-34.762,101225
-34.662,101224
-34.563,101224
-34.463,101226
-34.362,101224
-34.263,101225
-34.162,101223
-34.061,101224
-33.962,101226
-33.863,101226
-33.758,101222
-33.662,101223
-33.562,101223
-33.462,101224
-33.363,101223
-33.262,101226
-33.163,101225
-33.062,101225
-32.962,101226
-32.862,101224
-32.762,101223
-32.662,101227
-32.562,101224
-32.463,101225
-32.362,101223
-32.262,101223
-32.163,101223
-32.063,101224
-31.963,101225
-31.862,101225
-31.762,101221
-31.662,101224
-31.561,101225
-31.462,101225
-31.362,101224
-31.262,101224
-31.162,101226
-31.062,101227
-30.962,101225
-30.862,101225
-30.763,101224
-30.662,101224
-30.562,101224
-30.462,101227
-30.361,101225
-30.260,101224
-30.163,101227
-30.062,101224
-29.962,101223
-29.862,101226
-29.762,101225
-29.661,101226
-29.563,101224
-29.462,101226
-29.362,101225
-29.262,101226
-29.162,101224
-29.061,101224
-28.963,101224
-28.862,101225
-28.763,101227
-28.662,101225
-28.562,101225
-28.462,101224
-28.361,101225
-28.263,101225
-28.163,101224
-28.062,101225
-27.962,101224
-27.862,101224
-27.761,101224
-27.663,101225
-27.561,101223
-27.460,101225
-27.362,101222
-27.261,101227
-27.161,101225
-27.061,101224
-26.963,101224
-26.862,101224
-26.758,101224
-26.656,101224
-26.563,101224
-26.463,101224
-26.363,101227
-26.263,101226
-26.163,101224
-26.062,101223
-25.962,101224
-25.856,101225
-25.761,101225
-25.663,101225
-25.563,101224
-25.463,101225
-25.363,101224
-25.263,101224
-25.162,101225
-25.063,101227
-24.962,101223
-24.862,101226
-24.762,101225
-24.662,101227
-24.563,101226
-24.463,101224
-24.363,101225
-24.262,101225
-24.164,101225
-24.061,101224
-23.962,101225
-23.862,101224
-23.762,101224
-23.658,101223
-23.562,101224
-23.461,101223
-23.363,101225
-23.263,101226
-23.163,101223
-23.062,101223
-22.957,101225
