# T[s],wx[dps],wy[dps],wz[dps]
-38.064,0.017,0.008,0.012
-37.965,-0.008,0.020,0.008
-37.865,-0.008,0.008,0.010
-37.764,-0.023,0.008,-0.023
-37.661,-0.025,0.008,0.008
-37.564,-0.035,-0.008,-0.008
-37.463,-0.009,0.008,0.008
-37.365,0.031,-0.024,-0.008
-37.265,0.012,-0.008,0.008
-37.164,0.008,0.019,0.008
-37.064,0.008,0.008,0.016
-36.964,0.014,0.008,0.008
-36.861,-0.008,0.012,-0.008
-36.765,-0.011,0.008,-0.008
-36.663,-0.022,0.008,0.010
-36.563,-0.029,0.008,-0.033
-36.464,-0.029,0.030,-0.029
-36.364,0.008,0.012,0.026
-36.264,0.020,-0.030,-0.025
-36.163,0.031,-0.008,-0.008
-36.065,0.032,0.016,-0.012
-35.965,0.026,0.027,0.008
-35.864,0.008,-0.015,0.008
-35.764,0.008,0.015,0.020
-35.664,-0.009,-0.008,-0.030
-35.564,-0.043,-0.008,0.016
-35.463,-0.027,0.008,-0.018
-35.363,-0.008,-0.011,0.008
-35.264,0.026,-0.010,-0.013
-35.164,0.025,-0.008,0.008
-35.063,0.008,-0.013,-0.015
-34.963,0.032,-0.008,-0.012
-34.865,0.008,0.008,0.008
-34.763,-0.016,-0.008,0.008
-34.664,0.024,0.028,-0.027
-34.564,-0.008,-0.010,-0.008
-34.464,-0.019,-0.008,-0.008
-34.364,-0.023,-0.008,-0.024
-34.263,-0.008,0.008,0.021
-34.163,0.013,-0.014,-0.008
-34.063,0.010,0.008,0.016
-33.964,0.024,-0.018,0.010
-33.863,0.017,0.013,-0.011
-33.758,0.011,0.008,0.026
-33.665,-0.008,0.015,0.011
-33.565,-0.008,0.009,-0.008
-33.464,-0.016,-0.008,0.008
-33.364,-0.028,-0.008,-0.032
-33.264,-0.037,0.008,-0.027
-33.164,-0.010,-0.008,-0.010
-33.065,0.024,-0.009,0.008
-32.965,0.014,-0.016,-0.008
-32.865,0.011,0.019,0.008
-32.764,0.035,0.008,-0.008
-32.664,0.016,0.008,-0.008
-32.564,0.008,0.017,-0.009
-32.464,-0.011,-0.008,0.009
-32.363,-0.018,-0.008,-0.013
-32.263,-0.036,0.008,-0.008
-32.164,-0.054,-0.013,0.008
-32.064,-0.010,-0.025,-0.013
-31.964,0.008,-0.008,0.011
-31.864,0.023,0.022,0.008
-31.765,0.020,0.013,0.008
-31.665,0.021,-0.008,0.008
-31.564,0.015,0.008,-0.017
-31.464,0.010,0.008,0.008
-31.364,-0.032,0.028,0.008
-31.264,0.008,0.020,-0.010
-31.164,-0.008,-0.012,-0.008
-31.065,-0.008,-0.008,-0.015
-30.964,0.015,-0.019,0.009
-30.864,0.035,-0.008,-0.020
-30.764,0.021,-0.010,0.015
-30.664,0.031,-0.008,-0.010
-30.563,0.024,0.015,-0.022
-30.465,0.013,-0.008,0.008
-30.364,-0.015,0.015,-0.024
-30.264,-0.010,0.014,-0.042
-30.164,-0.046,-0.008,0.012
-30.064,-0.031,-0.008,-0.018
-29.965,-0.024,0.008,-0.019
-29.865,0.015,-0.009,-0.008
-29.765,0.018,0.010,-0.008
-29.664,0.029,0.022,0.008
-29.564,0.008,0.008,0.017
-29.464,-0.012,0.008,-0.011
-29.364,-0.014,0.009,0.011
-29.265,-0.015,-0.008,-0.008
-29.165,-0.058,-0.008,0.036
-29.064,-0.043,0.008,0.008
-28.964,-0.008,-0.008,0.008
-28.863,0.017,0.008,-0.018
-28.764,0.022,-0.008,0.008
-28.663,0.036,0.013,0.012
-28.565,0.039,-0.013,0.022
-28.464,0.029,-0.008,-0.016
-28.364,-0.008,-0.013,0.019
-28.264,-0.021,-0.008,0.008
-28.164,-0.043,0.008,-0.008
-28.065,-0.034,-0.008,-0.008
-27.964,-0.038,-0.008,-0.017
-27.864,-0.011,-0.008,0.011
-27.763,0.034,-0.008,0.008
-27.664,0.050,0.008,-0.014
-27.561,0.052,0.009,0.008
-27.465,0.026,0.008,0.008
-27.365,0.020,0.008,0.013
-27.264,-0.012,-0.023,-0.008
-27.164,-0.032,0.029,0.008
-27.064,-0.031,-0.021,-0.014
-26.964,-0.018,-0.009,0.008
-26.863,-0.025,-0.008,-0.009
-26.761,0.008,0.015,-0.008
-26.660,0.050,0.019,0.009
-26.564,0.043,0.008,0.008
-26.464,0.042,-0.009,-0.014
-26.365,0.044,-0.008,0.008
-26.265,0.012,-0.008,-0.008
-26.163,-0.015,0.008,-0.010
-26.065,-0.032,-0.008,0.008
-25.964,-0.015,-0.016,-0.020
-25.859,-0.018,-0.018,0.008
-25.764,-0.011,-0.008,-0.008
-25.663,0.036,0.011,-0.013
-25.565,0.033,0.014,0.010
-25.463,0.049,0.008,0.008
-25.364,0.045,0.021,0.016
-25.264,0.027,0.028,-0.008
-25.163,-0.029,-0.008,0.017
-25.064,-0.008,-0.016,0.008
-24.963,-0.016,0.008,-0.008
-24.865,-0.047,-0.012,-0.012
-24.763,-0.018,-0.014,0.008
-24.664,-0.011,-0.019,0.026
-24.564,0.025,0.024,0.008
-24.464,0.031,0.009,-0.010
-24.365,0.014,-0.008,-0.016
-24.264,0.021,-0.017,-0.008
-24.164,0.008,0.020,0.010
-24.064,-0.015,-0.008,-0.008
-23.964,-0.043,0.012,-0.008
-23.864,-0.024,-0.020,-0.012
-23.765,-0.043,-0.008,-0.014
-23.660,-0.008,-0.020,-0.037
-23.564,0.019,-0.008,-0.008
-23.464,0.014,0.015,-0.030
-23.364,0.035,0.012,-0.008
-23.264,0.029,0.008,-0.008
-23.165,-0.010,-0.009,-0.008
-23.063,-0.008,-0.025,0.015
-22.959,0.008,-0.015,0.008
-22.864,-0.023,-0.017,-0.010
-22.760,-0.019,-0.016,0.008
-22.665,-0.023,-0.008,0.012
-22.563,0.008,0.017,-0.008
-22.464,0.021,0.018,0.008
-22.365,-0.008,-0.011,0.008
-22.264,0.019,-0.009,0.026
-22.164,0.025,0.008,-0.008
-22.064,0.011,-0.008,0.021
-21.964,0.022,-0.008,0.010
-21.864,-0.019,-0.023,-0.010
-21.765,-0.008,-0.032,-0.008
-21.660,-0.027,-0.010,0.008
-21.564,0.008,0.008,0.017
-21.464,-0.008,0.023,-0.017
-21.364,0.013,-0.008,-0.017
-21.265,0.008,0.020,-0.008
-21.163,0.008,-0.010,0.015
-21.064,0.017,-0.008,0.008
-20.964,0.011,-0.015,0.014
-20.864,0.012,-0.028,0.008
-20.764,-0.027,-0.026,-0.021
-20.664,-0.008,-0.022,0.015
-20.565,0.013,0.008,-0.010
-20.464,-0.021,0.023,0.008
-20.364,-0.008,0.010,0.008
-20.264,0.008,-0.008,0.008
-20.163,0.008,0.013,0.024
-20.063,0.010,0.023,-0.014
-19.964,0.015,0.021,-0.010
-19.865,0.022,-0.019,-0.008
-19.764,-0.015,-0.012,0.016
-19.664,-0.008,-0.010,0.024
-19.564,-0.008,0.010,0.023
-19.463,-0.008,0.010,0.018
-19.365,-0.008,0.017,0.008
-19.263,0.010,-0.008,-0.008
-19.164,0.008,0.026,0.022
-19.064,0.031,-0.009,-0.008
-18.956,-0.013,-0.008,0.008
-18.864,0.012,-0.032,-0.008
-18.765,0.011,-0.031,-0.013
-18.660,0.008,-0.016,0.008
-18.564,-0.009,-0.027,-0.009
-18.464,-0.012,0.008,-0.013
-18.364,0.017,0.012,-0.015
-18.264,-0.036,-0.008,-0.009
-18.163,0.008,0.014,0.008
-18.063,0.015,0.014,0.015
-17.964,0.008,-0.008,-0.021
-17.863,0.024,0.027,0.008
-17.764,0.008,-0.010,-0.008
-17.663,0.008,-0.011,0.008
-17.564,0.008,-0.022,-0.008
-17.463,0.024,-0.027,-0.013
-17.364,0.022,-0.012,-0.014
-17.263,0.008,-0.008,0.008
-17.164,0.008,-0.008,-0.018
-17.063,-0.008,0.008,0.008
-16.965,-0.008,0.010,-0.010
-16.865,-0.008,0.012,-0.022
-16.765,0.008,0.008,-0.008
-16.664,-0.009,-0.018,0.008
-16.564,-0.008,-0.021,0.020
-16.464,-0.008,-0.014,0.008
-16.365,0.008,-0.022,-0.008
-16.265,-0.009,0.010,0.008
-16.164,0.023,-0.012,-0.008
-16.064,-0.008,0.030,-0.008
-15.964,-0.018,0.017,-0.013
-15.864,0.008,0.008,-0.008
-15.763,-0.015,0.021,-0.008
-15.663,-0.015,-0.008,-0.009
-15.565,0.025,-0.027,0.008
-15.464,-0.008,-0.008,-0.008
-15.364,0.008,-0.008,-0.008
-15.265,-0.008,-0.008,-0.008
-15.165,-0.008,0.016,-0.008
-15.065,0.015,0.024,-0.008
-14.965,0.008,0.029,-0.010
-14.863,-0.008,0.011,0.010
-14.764,0.015,-0.022,-0.008
-14.663,0.008,-0.021,0.008
-14.564,0.008,-0.026,-0.017
-14.463,0.008,-0.012,0.008
-14.363,-0.008,-0.008,-0.011
-14.264,-0.008,0.008,-0.008
-14.164,0.009,0.035,0.009
-14.064,0.008,0.008,-0.008
-13.960,0.025,-0.008,-0.008
-13.864,0.013,0.014,-0.008
-13.763,-0.008,0.013,-0.008
-13.664,0.008,-0.008,-0.009
-13.564,-0.009,-0.015,-0.008
-13.463,-0.008,-0.021,-0.011
-13.364,0.030,-0.030,0.021
-13.265,-0.008,-0.012,0.008
-13.165,-0.008,0.012,0.041
-13.065,0.036,0.008,-0.009
-12.964,-0.030,-0.008,0.011
-12.864,0.008,-0.024,-0.008
-12.764,0.011,0.008,0.008
-12.663,0.019,-0.008,-0.023
-12.565,-0.008,-0.009,-0.028
-12.464,0.013,-0.008,-0.008
-12.364,0.008,-0.008,0.018
-12.264,-0.011,-0.026,0.008
-12.163,-0.019,-0.023,-0.031
-12.063,0.008,-0.009,-0.012
-11.965,-0.008,-0.011,0.013
-11.865,0.008,-0.019,-0.014
-11.764,-0.016,0.008,0.014
-11.659,-0.008,0.008,-0.008
-11.564,-0.009,0.025,-0.008
-11.464,-0.020,0.027,0.008
-11.365,-0.016,-0.015,-0.011
-11.265,0.034,-0.018,-0.008
-11.164,0.031,-0.020,0.008
-11.064,0.008,-0.010,-0.019
-10.963,-0.008,0.023,-0.026
-10.865,-0.008,-0.008,-0.008
-10.763,-0.008,-0.020,-0.008
-10.664,-0.009,-0.008,-0.008
-10.564,0.008,0.025,-0.011
-10.464,-0.032,0.008,0.011
-10.364,0.011,-0.008,-0.017
-10.263,0.015,0.008,-0.012
-10.164,0.017,-0.008,-0.008
-10.063,0.021,-0.008,-0.008
-9.964,0.034,0.011,-0.010
-9.864,-0.012,0.008,0.014
-9.763,-0.031,0.008,0.008
-9.663,-0.015,-0.008,0.008
-9.563,-0.043,0.016,0.008
-9.465,-0.008,-0.033,0.008
-9.365,-0.046,-0.008,-0.008
-9.264,0.045,0.011,0.008
-9.164,-0.014,0.008,0.009
-9.060,0.021,-0.026,0.008
-8.964,0.019,-0.008,0.042
-8.865,-0.013,0.016,0.008
-8.763,-0.009,0.008,0.008
-8.664,-0.030,0.017,-0.008
-8.563,-0.008,0.011,-0.011
-8.464,-0.008,0.013,-0.022
-8.364,-0.008,-0.048,0.019
-8.265,-0.025,0.029,0.015
-8.164,0.028,-0.033,0.015
-8.064,-0.021,-0.010,0.024
-7.964,0.047,0.008,-0.049
-7.864,0.027,0.009,0.008
-7.764,-0.022,0.008,-0.025
-7.663,-0.008,0.031,-0.009
-7.564,0.008,-0.029,0.008
-7.463,0.008,-0.013,0.008
-7.364,-0.015,-0.017,0.014
-7.264,0.017,-0.017,-0.011
-7.164,0.014,-0.012,-0.008
-7.065,0.010,-0.008,-0.009
-6.965,-0.009,-0.019,0.021
-6.864,0.034,0.027,0.008
-6.764,-0.045,0.019,0.008
-6.664,0.008,-0.017,-0.008
-6.564,-0.008,0.028,0.009
-6.463,-0.014,0.025,0.018
-6.365,0.030,-0.044,-0.008
-6.264,-0.073,-0.008,0.016
-6.164,0.038,-0.025,-0.034
-6.064,-0.032,0.008,0.008
-5.865,-0.010,-0.008,0.008
-5.765,0.028,0.038,0.011
-5.665,0.008,0.019,-0.008
-5.564,-0.021,0.018,0.017
-5.464,0.035,0.022,-0.015
-5.364,-0.062,0.011,-0.032
-5.263,0.083,0.008,0.008
-5.163,-0.097,0.008,0.035
-5.063,0.056,-0.020,-0.042
-4.963,0.012,0.021,0.009
-4.864,-0.026,-0.008,-0.013
-4.764,-0.017,-0.008,-0.008
-4.663,0.008,0.023,0.017
-4.565,0.034,0.014,0.008
-4.465,-0.008,0.032,-0.029
-4.364,-0.014,-0.008,0.008
-4.264,-0.008,0.019,-0.040
-4.164,0.033,0.008,-0.027
-4.059,-0.008,0.008,-0.011
-3.965,-0.008,-0.033,-0.014
-3.865,-0.018,-0.016,0.019
-3.763,0.016,0.008,-0.008
-3.664,-0.008,0.031,-0.022
-3.564,0.008,0.026,0.008
-3.461,0.022,0.029,-0.020
-3.360,-0.013,0.034,0.008
-3.263,-0.008,0.008,0.018
-3.163,-0.021,-0.008,0.008
-3.064,0.008,0.008,0.008
-2.964,-0.008,0.008,0.009
-2.864,-0.008,-0.008,-0.009
-2.764,0.008,0.009,-0.022
-2.664,-0.008,0.008,0.016
-2.563,0.011,0.008,-0.044
-2.464,0.008,0.008,-0.020
-2.363,-0.008,-0.008,0.023
-2.263,0.008,0.008,-0.008
-2.164,0.023,0.009,-0.008
-2.065,-0.017,-0.008,0.008
-1.963,-0.026,-0.026,-0.019
-1.864,-0.014,-0.008,0.023
-1.764,0.008,-0.008,-0.016
-1.663,0.008,0.008,-0.018
-1.564,-0.011,0.031,0.008
-1.465,-0.008,0.019,0.008
-1.364,-0.008,0.029,-0.009
-1.263,-0.008,-0.009,0.031
-1.164,0.008,-0.013,-0.008
-1.064,0.013,0.025,0.027
-0.963,0.008,-0.037,-0.031
-0.863,-0.008,0.032,0.008
-0.763,0.008,-0.036,-0.008
-0.665,-0.022,0.029,-0.008
-0.564,-0.008,-0.008,-0.037
-0.464,-0.025,0.072,0.008
-0.365,0.017,-0.008,0.009
-0.265,0.008,0.029,0.016
-0.165,-0.008,0.008,0.008
