# T[s],ax[g],ay[g],az[g]
-38.064,-0.000,0.006,1.003
-37.963,-0.000,0.006,1.003
-37.863,-0.000,0.006,1.003
-37.763,0.000,0.006,1.003
-37.661,-0.000,0.006,1.003
-37.564,-0.000,0.006,1.003
-37.463,0.000,0.006,1.003
-37.364,-0.000,0.006,1.003
-37.264,0.000,0.006,1.003
-37.164,-0.000,0.006,1.003
-37.063,0.000,0.006,1.003
-36.964,0.000,0.006,1.003
-36.861,0.000,0.006,1.003
-36.763,0.000,0.006,1.003
-36.663,-0.000,0.006,1.003
-36.563,0.000,0.006,1.003
-36.464,-0.000,0.006,1.003
-36.364,0.000,0.006,1.003
-36.263,-0.000,0.006,1.003
-36.163,-0.000,0.006,1.003
-36.063,-0.000,0.006,1.003
-35.963,-0.000,0.006,1.003
-35.864,-0.000,0.006,1.003
-35.764,-0.000,0.006,1.003
-35.663,-0.000,0.006,1.003
-35.563,-0.000,0.006,1.003
-35.463,0.000,0.006,1.003
-35.363,-0.000,0.006,1.003
-35.264,-0.000,0.006,1.003
-35.164,-0.000,0.006,1.003
-35.063,0.000,0.006,1.003
-34.963,-0.000,0.006,1.003
-34.863,-0.000,0.006,1.003
-34.763,0.000,0.006,1.003
-34.663,0.000,0.006,1.002
-34.563,-0.000,0.006,1.003
-34.463,0.000,0.006,1.003
-34.364,0.000,0.006,1.003
-34.263,0.000,0.006,1.003
-34.163,0.000,0.006,1.003
-34.063,0.000,0.006,1.003
-33.963,0.000,0.006,1.003
-33.863,0.000,0.006,1.003
-33.758,0.000,0.006,1.003
-33.663,0.000,0.006,1.002
-33.564,-0.000,0.006,1.002
-33.462,0.000,0.006,1.003
-33.364,0.000,0.006,1.003
-33.264,0.000,0.006,1.003
-33.164,0.000,0.006,1.003
-33.063,0.000,0.006,1.003
-32.964,0.000,0.006,1.003
-32.862,0.000,0.006,1.003
-32.763,0.000,0.006,1.003
-32.662,0.000,0.006,1.003
-32.563,0.000,0.006,1.003
-32.463,-0.000,0.006,1.003
-32.363,0.000,0.006,1.003
-32.263,0.000,0.006,1.003
-32.164,0.000,0.006,1.003
-32.064,0.000,0.006,1.003
-31.964,-0.000,0.006,1.003
-31.864,-0.000,0.006,1.003
-31.764,-0.000,0.006,1.003
-31.664,-0.000,0.006,1.003
-31.564,-0.000,0.006,1.003
-31.463,-0.000,0.006,1.003
-31.362,-0.000,0.006,1.003
-31.264,-0.000,0.006,1.003
-31.163,-0.000,0.006,1.003
-31.064,-0.000,0.006,1.003
-30.963,-0.000,0.006,1.003
-30.863,-0.000,0.006,1.003
-30.764,-0.000,0.006,1.003
-30.663,0.000,0.006,1.003
-30.563,-0.000,0.006,1.003
-30.462,-0.000,0.006,1.003
-30.364,-0.000,0.006,1.003
-30.263,0.000,0.006,1.003
-30.163,-0.000,0.006,1.003
-30.064,-0.000,0.006,1.003
-29.963,-0.000,0.006,1.003
-29.864,-0.000,0.006,1.003
-29.764,0.000,0.006,1.003
-29.664,0.000,0.006,1.003
-29.564,0.000,0.006,1.003
-29.463,-0.000,0.006,1.003
-29.363,-0.000,0.006,1.003
-29.264,-0.000,0.006,1.003
-29.162,0.000,0.006,1.003
-29.064,0.000,0.006,1.003
-28.963,0.000,0.006,1.003
-28.863,0.000,0.006,1.003
-28.764,0.000,0.006,1.003
