# T[s],ax[raw],ay[raw],az[raw]
-37.899,255170,-7676,2502
-37.699,255156,-7381,2880
-37.498,255148,-7683,2869
-37.299,255148,-7683,2869
-37.099,255156,-7951,2479
-36.899,255171,-7640,2470
-36.695,255156,-7331,2863
-36.497,255142,-7649,2918
-36.298,255142,-7649,2918
-36.099,255152,-8034,2506
-35.899,255169,-7723,2406
-35.698,255159,-7314,2821
-35.498,255159,-7314,2987
-35.299,255137,-7531,2987
-35.099,255150,-7945,2574
-34.899,255164,-7829,2360
-34.698,255161,-7401,2751
-34.491,255161,-7401,2751
-34.298,255149,-7482,3005
-34.098,255154,-7890,2658
-33.890,255168,-7846,2361
-33.699,255163,-7520,2650
-33.499,255163,-7520,2650
-33.298,255151,-7451,3002
-33.098,255149,-7735,2777
-32.898,255165,-7890,2336
-32.699,255165,-7890,2336
-32.497,255165,-7633,2521
-32.297,255151,-7434,2980
-32.099,255150,-7638,2892
-31.899,255161,-7878,2421
-31.698,255161,-7878,2421
-31.498,255170,-7716,2429
-31.298,255156,-7452,2911
-31.098,255146,-7614,2919
-30.899,255163,-7840,2447
-30.698,255163,-7840,2447
-30.497,255171,-7698,2427
-30.299,255151,-7488,2886
-30.098,255140,-7579,2956
-29.895,255140,-7579,2956
-29.699,255161,-7878,2445
-29.498,255169,-7791,2351
-29.298,255146,-7415,2926
-29.099,255140,-7458,3013
-28.898,255140,-7458,3013
-28.697,255155,-7900,2448
-28.497,255173,-7920,2276
-28.299,255158,-7428,2878
-28.099,255158,-7428,2878
-27.899,255137,-7343,3106
-27.699,255160,-7872,2520
-27.498,255171,-8001,2210
-27.299,255157,-7492,2788
-27.099,255157,-7492,2788
-26.899,255140,-7294,3149
-26.697,255151,-7774,2595
-26.499,255171,-8031,2185
-26.300,255157,-7615,2720
-26.099,255157,-7615,2720
-25.898,255144,-7311,3161
-25.698,255153,-7664,2656
-25.498,255166,-7981,2194
-25.299,255166,-7981,2194
-25.099,255156,-7680,2637
-24.900,255139,-7396,3169
-24.698,255158,-7574,2749
-24.498,255178,-7894,2234
-24.297,255178,-7894,2234
-24.099,255157,-7760,2561
-23.900,255142,-7451,3072
-23.699,255151,-7523,2814
-23.498,255151,-7523,2814
-23.299,255165,-7778,2292
-23.099,255160,-7840,2502
-22.899,255142,-7657,2996
-22.699,255154,-7455,2857
-22.493,255154,-7455,2857
-22.295,255171,-7633,2396
-22.094,255159,-7849,2485
-21.898,255140,-7724,2932
-21.700,255150,-7470,2897
-21.499,255150,-7470,2897
-21.298,255174,-7537,2414
-21.099,255165,-7861,2442
-20.899,255135,-7778,2890
-20.699,255135,-7778,2890
-20.500,255154,-7452,2936
-20.298,255171,-7532,2509
-20.098,255171,-7824,2429
-19.900,255150,-7808,2793
-19.699,255150,-7808,2793
-19.497,255152,-7551,2889
-19.298,255167,-7492,2548
-19.094,255164,-7709,2504
-18.899,255164,-7709,2504
-18.699,255148,-7855,2757
-18.499,255148,-7703,2802
-18.299,255163,-7457,2618
-18.100,255168,-7511,2587
-17.899,255168,-7511,2587
-17.694,255150,-7775,2785
-17.500,255145,-7909,2762
-17.299,255165,-7644,2552
-17.100,255180,-7352,2657
-16.897,255180,-7352,2657
-16.699,255157,-7619,2817
-16.496,255145,-7942,2732
-16.295,255163,-7754,2540
-16.099,255163,-7754,2540
-15.897,255173,-7432,2570
-15.700,255157,-7571,2808
-15.500,255147,-7858,2763
-15.299,255159,-7729,2578
-15.098,255159,-7729,2578
-14.900,255172,-7457,2604
-14.698,255155,-7591,2752
-14.499,255146,-7806,2758
-14.298,255155,-7727,2574
-14.098,255155,-7727,2574
-13.899,255160,-7555,2569
-13.700,255157,-7573,2764
-13.491,255151,-7779,2784
-13.298,255151,-7779,2784
-13.100,255164,-7740,2616
-12.899,255173,-7514,2598
-12.698,255159,-7567,2721
-12.499,255151,-7797,2741
-12.299,255151,-7797,2741
-12.099,255154,-7786,2607
-11.900,255170,-7534,2589
-11.699,255163,-7501,2736
-11.499,255163,-7501,2736
-11.300,255154,-7786,2774
-11.099,255153,-7849,2625
-10.898,255170,-7539,2580
-10.698,255162,-7480,2735
-10.499,255162,-7480,2735
-10.298,255151,-7743,2770
-10.100,255154,-7835,2624
-9.898,255169,-7614,2561
-9.699,255158,-7449,2752
-9.499,255158,-7449,2752
-9.299,255152,-7678,2809
-9.099,255147,-7941,2626
-8.895,255167,-7702,2469
-8.698,255167,-7702,2469
-8.499,255159,-7392,2773
-8.298,255154,-7566,2838
-8.099,255143,-7934,2672
-7.899,255175,-7711,2483
-7.697,255175,-7711,2483
-7.499,255164,-7539,2686
-7.299,255153,-7581,2841
-7.098,255151,-7847,2736
-6.899,255151,-7847,2736
-6.699,255164,-7755,2500
-6.499,255167,-7493,2662
-6.300,255152,-7546,2819
-6.099,255149,-7825,2784
-5.898,255149,-7825,2784
-5.699,255163,-7783,2502
-5.499,255185,-7506,2576
-5.300,255144,-7588,2808
-5.099,255138,-7741,2815
-4.898,255138,-7741,2815
-4.698,255170,-7744,2620
-4.497,255182,-7596,2447
-4.299,255151,-7571,2803
-4.099,255151,-7571,2803
-3.899,255151,-7786,2847
-3.699,255147,-7708,2620
-3.498,255160,-7504,2516
-3.299,255150,-7641,2742
-3.097,255150,-7641,2742
-2.893,255145,-7838,2834
-2.700,255158,-7727,2623
-2.498,255174,-7533,2508
-2.298,255174,-7533,2508
-2.097,255155,-7595,2727
-1.899,255143,-7735,2890
-1.699,255155,-7724,2670
-1.499,255164,-7574,2495
-1.296,255164,-7574,2495
-1.095,255159,-7628,2683
-0.899,255138,-7820,2822
-0.698,255151,-7738,2753
-0.499,255175,-7456,2575
-0.299,255175,-7456,2575
-0.098,255161,-7554,2638
0.101,255142,-7846,2781
0.301,255144,-7876,2719
0.504,255144,-7876,2719
0.703,255158,-7559,2567
0.900,258148,-7370,2677
1.101,244970,7155,-7061
1.301,239073,7654,-5339
1.503,239073,7654,-5339
1.707,283405,-3818,-1699
1.901,302564,-8822,-5926
2.101,315248,-10384,-643
2.300,321267,-8518,2821
2.501,321267,-8518,2821
2.701,317644,-6750,3360
2.900,321899,-7497,5857
3.101,326924,-9192,4245
3.301,326924,-9192,4245
3.500,328147,-8732,4664
3.700,327072,-9172,4738
3.901,326662,-9285,5121
4.101,326559,-10161,5452
4.301,326559,-10161,5452
4.506,327686,-10270,5808
4.701,328355,-9440,5187
4.900,329147,-9951,4762
5.101,329147,-9951,4762
5.302,330013,-10457,5041
5.501,331325,-10390,5073
5.701,332740,-10084,4023
5.901,333610,-10062,3917
6.101,333610,-10062,3917
6.301,334039,-10701,4313
6.500,334743,-10174,4771
6.700,336149,-10332,5179
6.903,336700,-10892,5490
7.102,336700,-10892,5490
7.300,336994,-11139,5757
7.501,338042,-10113,5681
7.700,338448,-10405,5707
7.900,338448,-10405,5707
8.107,339187,-11291,5506
8.301,340666,-10471,5889
8.500,341277,-10687,6189
8.701,341595,-10334,6051
8.901,341595,-10334,6051
9.100,342836,-11059,6391
9.301,343083,-10570,6408
9.501,344601,-10793,6119
9.700,344601,-10793,6119
9.901,345501,-11635,6378
10.101,345753,-9549,6276
10.302,346614,-10563,5917
10.501,347236,-11517,6140
10.701,347236,-11517,6140
10.901,347890,-9861,6102
11.102,348811,-10490,6021
11.305,349962,-10880,6306
11.501,349785,-10818,6480
11.701,349785,-10818,6480
11.901,351497,-11022,6908
12.109,351978,-10307,6817
12.308,352367,-11221,6880
12.516,353360,-11607,7164
12.715,353360,-11607,7164
12.914,354071,-10337,7792
13.113,354438,-9636,7921
13.314,354382,-10916,8445
13.517,354382,-10916,8445
13.714,354799,-8922,8650
13.916,356095,-9336,9109
14.114,356730,-8844,9445
14.313,356838,-9292,9710
14.516,356838,-9292,9710
14.714,358609,-8455,9211
14.914,359108,-9272,8186
15.115,360287,-8805,6621
15.314,360287,-8805,6621
15.513,360338,-7702,5614
15.716,362088,-5889,4532
15.914,362681,-3906,1741
16.115,363345,-4103,-1310
16.315,363345,-4103,-1310
16.516,364664,-4643,-4280
16.717,365451,-6581,-7172
16.916,366533,-7439,-9368
17.117,366754,-7135,-9829
17.317,366754,-7135,-9829
17.517,367832,-7661,-9757
17.716,368798,-8792,-9418
17.917,369770,-10739,-9967
18.121,369770,-10739,-9967
18.316,370801,-11309,-10072
18.517,371245,-8305,-9152
18.716,372958,-10029,-5513
18.917,373585,-11327,-1940
19.128,373585,-11327,-1940
19.318,374152,-12150,1374
19.521,374591,-12597,3361
19.717,375952,-13039,5869
19.917,375952,-13039,5869
20.116,376738,-12824,8109
20.317,377713,-13027,9526
20.516,378344,-13028,9854
20.720,378943,-12784,10180
20.915,378943,-12784,10180
21.116,379592,-12609,10309
21.316,380687,-12520,9747
21.517,381608,-12145,9909
21.716,382463,-12194,10180
21.918,382463,-12194,10180
22.116,383621,-12486,10591
22.316,383396,-11634,10548
22.521,384584,-11929,9789
22.716,384584,-11929,9789
22.916,385661,-11167,9693
23.116,386881,-11197,9581
23.317,387775,-10984,9641
23.515,388532,-9993,9610
23.716,388532,-9993,9610
