# T[s],valid,enu_e[m],enu_n[m],enu_u[m]
-37.899,1,-1,-1,49
-37.801,1,3,0,53
-37.699,1,0,0,51
-37.601,1,4,1,51
-37.501,1,-1,-1,50
-37.400,1,-1,-1,50
-37.300,1,5,-1,46
-37.101,1,-3,-3,48
-37.001,1,-1,-3,49
-36.899,1,3,0,47
-36.696,1,-1,-2,50
-36.600,1,1,0,50
-36.501,1,-1,-1,52
-36.399,1,3,0,52
-36.299,1,-1,-3,49
-36.201,1,2,-1,52
-36.100,1,-1,-3,49
-36.000,1,3,0,54
-35.899,1,0,-1,49
-35.801,1,3,3,56
-35.701,1,0,0,53
-35.601,1,3,2,54
-35.501,1,0,2,55
-35.396,1,3,1,53
-35.301,1,0,0,54
-35.199,1,3,0,53
-35.101,1,0,1,52
-35.000,1,6,2,53
-34.900,1,1,0,49
-34.794,1,6,0,52
-34.700,1,0,-2,47
-34.601,1,5,0,51
-34.494,1,0,-3,49
-34.399,1,3,0,47
-34.301,1,-1,-2,50
-34.200,1,1,0,48
-34.100,1,1,0,51
-34.001,1,2,1,53
-33.895,1,2,-1,52
-33.801,1,3,2,55
-33.701,1,2,-3,51
-33.600,1,2,2,57
-33.500,1,1,-1,53
-33.401,1,3,-3,51
-33.301,1,3,0,51
-33.201,1,4,-2,53
-33.101,1,5,-1,54
-33.000,1,4,-1,54
-32.900,1,4,0,55
-32.699,1,5,4,59
-32.598,1,4,0,57
-32.499,1,5,2,59
-32.400,1,5,0,57
-32.300,1,5,1,59
-32.200,1,4,0,57
-32.101,1,5,3,60
-32.001,1,5,0,57
-31.901,1,5,2,62
-31.801,1,5,0,54
-31.700,1,2,1,61
-31.600,1,3,-1,53
-31.501,1,2,0,58
-31.400,1,3,-1,49
-31.300,1,2,-1,57
-31.200,1,3,0,51
-31.100,1,4,1,60
-31.000,1,1,-2,52
-30.900,1,1,0,59
-30.801,1,1,0,52
-30.701,1,2,0,57
-30.600,1,2,0,54
-30.499,1,2,1,58
-30.400,1,1,0,53
-30.301,1,2,-1,56
-30.200,1,4,0,59
-30.101,1,0,-2,50
-29.897,1,3,0,60
-29.800,1,0,-1,49
-29.700,1,3,1,60
-29.601,1,4,2,64
-29.499,1,1,-3,48
-29.300,1,4,6,67
-29.200,1,0,-2,52
-29.100,1,2,3,63
-29.001,1,0,0,56
-28.901,1,2,3,63
-28.801,1,0,2,55
-28.700,1,2,3,62
-28.600,1,0,0,56
-28.498,1,3,2,60
-28.400,1,2,3,63
-28.301,1,2,-1,55
-28.100,1,3,5,64
-28.000,1,1,-6,54
-27.900,1,2,6,64
-27.800,1,1,-6,55
-27.701,1,2,7,66
-27.600,1,2,5,65
-27.499,1,1,-2,60
-27.400,1,0,4,62
-27.300,1,2,0,63
-27.101,1,0,3,62
-27.000,1,2,0,61
-26.899,1,1,5,64
-26.800,1,2,0,59
-26.700,1,2,6,64
-26.601,1,1,8,65
-26.501,1,2,-1,60
-26.401,1,2,9,68
-26.301,1,2,0,61
-26.200,1,2,8,66
-26.100,1,3,-1,62
-25.900,1,1,10,67
-25.801,1,3,-3,60
-25.701,1,1,9,66
-25.597,1,3,-1,62
-25.498,1,2,9,65
-25.400,1,2,8,63
-25.299,1,3,0,60
-25.199,1,2,8,65
-25.101,1,4,0,60
-25.000,1,4,7,62
-24.900,1,4,0,60
-24.700,1,4,9,64
-24.601,1,3,0,58
-24.499,1,4,8,61
-24.400,1,4,10,66
-24.297,1,3,-1,59
-24.199,1,5,10,67
-24.099,1,4,-2,60
-24.000,1,3,9,68
-23.901,1,4,0,60
-23.700,1,5,9,66
-23.600,1,2,-1,59
-23.500,1,3,6,60
-23.399,1,5,8,63
-23.299,1,2,-1,57
-23.200,1,5,7,62
-23.100,1,2,-2,59
-23.000,1,3,6,63
-22.900,1,2,-2,59
-22.701,1,5,9,65
-22.601,1,3,0,58
-22.496,1,5,11,66
-22.400,1,5,9,65
-22.298,1,2,0,59
-22.200,1,4,7,63
-22.094,1,3,-2,59
-22.001,1,2,2,59
-21.898,1,3,0,57
-21.701,1,2,2,59
-21.599,1,2,0,57
-21.501,1,3,3,57
-21.401,1,2,1,56
-21.300,1,3,2,59
-21.200,1,2,4,58
-21.099,1,5,2,58
-20.999,1,2,6,61
-20.901,1,5,0,58
-20.700,1,2,6,63
-20.600,1,2,0,57
-20.500,1,2,5,60
-20.400,1,3,-1,55
-20.299,1,2,3,58
-20.201,1,1,2,57
-20.100,1,0,-3,51
-19.900,1,0,0,53
-19.798,1,0,-3,51
-19.701,1,1,0,55
-19.601,1,2,0,56
-19.500,1,2,1,58
-19.400,1,3,0,57
-19.300,1,3,5,61
-19.200,1,4,5,60
-19.098,1,4,-1,57
-18.999,1,4,4,59
-18.899,1,5,-1,57
-18.700,1,4,4,59
-18.600,1,5,-1,56
-18.500,1,3,5,61
-18.401,1,6,0,56
-18.299,1,3,4,58
-18.200,1,3,3,56
-18.100,1,6,0,56
-18.000,1,3,1,54
-17.899,1,7,0,56
-17.694,1,3,2,53
-17.600,1,6,0,57
-17.500,1,1,0,51
-17.400,1,1,-2,50
-17.300,1,4,-2,58
-17.101,1,1,-1,51
-17.000,1,1,1,54
-16.900,1,5,-1,56
-16.700,1,2,2,54
-16.601,1,2,0,55
-16.496,1,5,-3,55
-16.399,1,3,0,54
-16.295,1,5,-3,55
-16.099,1,3,1,56
-15.999,1,3,0,53
-15.900,1,4,-2,54
-15.700,1,1,0,52
-15.600,1,6,0,55
-15.500,1,2,1,53
-15.399,1,3,2,55
-15.301,1,5,-2,51
-15.100,1,3,2,55
-15.000,1,5,-1,52
-14.900,1,2,1,53
-14.800,1,5,-3,51
-14.699,1,1,2,55
-14.588,1,3,-4,50
-14.499,1,0,2,55
-14.394,1,3,-3,53
-14.300,1,2,3,57
-14.198,1,4,-3,55
-14.101,1,1,2,57
-13.995,1,3,-3,56
-13.899,1,1,2,57
-13.800,1,3,-3,53
-13.700,1,0,2,55
-13.599,1,4,-3,52
-13.493,1,1,4,59
-13.399,1,3,-2,52
-13.300,1,0,3,55
-13.199,1,3,-4,50
-13.100,1,0,2,56
-12.999,1,4,-2,51
-12.899,1,0,2,55
-12.801,1,4,-2,50
-12.699,1,1,4,59
-12.599,1,3,-4,50
-12.499,1,0,1,56
-12.399,1,3,-1,52
-12.299,1,0,1,56
-12.199,1,3,-2,54
-12.099,1,0,3,58
-12.000,1,3,-3,55
-11.900,1,2,7,64
-11.800,1,4,-2,53
-11.700,1,3,6,61
-11.599,1,5,-3,56
-11.500,1,2,5,62
-11.400,1,4,-5,50
-11.300,1,3,6,62
-11.200,1,4,-5,50
-11.100,1,1,5,62
-11.000,1,3,-4,50
-10.899,1,1,5,61
-10.799,1,3,-2,50
-10.700,1,2,6,62
-10.600,1,2,-3,51
-10.500,1,1,5,59
-10.399,1,3,-1,52
-10.301,1,1,4,59
-10.200,1,3,-2,52
-10.100,1,0,4,57
-9.999,1,2,-3,50
-9.900,1,0,3,57
-9.801,1,1,-3,47
-9.701,1,0,4,57
-9.600,1,0,-9,45
-9.500,1,2,4,58
-9.400,1,2,-7,48
-9.300,1,1,5,60
-9.201,1,2,-7,49
-9.100,1,1,5,60
-9.000,1,-1,-7,52
-8.895,1,2,7,60
-8.800,1,0,-7,50
-8.700,1,2,7,61
-8.599,1,0,-8,48
-8.499,1,2,7,61
-8.400,1,0,-7,47
-8.300,1,2,9,62
-8.200,1,0,-6,50
-8.100,1,0,7,61
-8.000,1,0,-5,52
-7.899,1,1,8,63
-7.799,1,0,-5,52
-7.700,1,0,7,60
-7.600,1,1,-6,51
-7.500,1,0,5,59
-7.400,1,0,-6,50
-7.301,1,0,6,59
-7.197,1,0,-7,48
-7.100,1,2,6,60
-7.000,1,0,-6,47
-6.900,1,2,6,62
-6.800,1,2,-7,48
-6.700,1,0,7,62
-6.601,1,3,-7,49
-6.499,1,1,5,59
-6.400,1,2,-7,48
-6.300,1,1,3,60
-6.200,1,1,-8,46
-6.099,1,2,5,59
-5.998,1,2,-6,49
-5.900,1,3,6,60
-5.796,1,2,-5,50
-5.700,1,3,6,60
-5.596,1,1,-4,51
-5.501,1,3,6,60
-5.399,1,2,-6,50
-5.300,1,2,7,61
-5.200,1,3,-4,52
-5.100,1,2,6,60
-4.999,1,3,-4,52
-4.900,1,2,2,57
-4.799,1,2,-1,56
-4.700,1,2,2,56
-4.596,1,4,0,55
