# T[s],IIP_lat[deg],IIP_lng[deg]
-37.899,42.506130,143.456436
-37.800,42.506153,143.456497
-37.699,42.506142,143.456451
-37.597,42.506165,143.456512
-37.498,42.506138,143.456436
-37.397,42.506138,143.456436
-37.300,42.506134,143.456512
-37.099,42.506119,143.456421
-36.998,42.506119,143.456436
-36.899,42.506142,143.456497
-36.696,42.506126,143.456436
-36.599,42.506138,143.456482
-36.500,42.506130,143.456436
-36.397,42.506142,143.456497
-36.299,42.506119,143.456436
-36.200,42.506134,143.456482
-36.100,42.506119,143.456436
-36.000,42.506157,143.456497
-35.899,42.506130,143.456451
-35.801,42.506176,143.456482
-35.699,42.506153,143.456451
-35.600,42.506165,143.456497
-35.500,42.506172,143.456451
-35.395,42.506161,143.456497
-35.299,42.506153,143.456451
-35.199,42.506153,143.456497
-35.100,42.506161,143.456451
-35.000,42.506172,143.456543
-34.900,42.506145,143.456467
-34.792,42.506157,143.456528
-34.700,42.506126,143.456451
-34.600,42.506153,143.456512
-34.494,42.506119,143.456451
-34.399,42.506142,143.456497
-34.300,42.506126,143.456436
-34.197,42.506153,143.456467
-34.098,42.506142,143.456467
-34.000,42.506161,143.456482
-33.893,42.506134,143.456482
-33.800,42.506168,143.456482
-33.699,42.506119,143.456482
-33.597,42.506168,143.456482
-33.499,42.506134,143.456467
-33.401,42.506119,143.456497
-33.299,42.506138,143.456497
-33.200,42.506126,143.456497
-33.098,42.506130,143.456528
-32.999,42.506134,143.456497
-32.898,42.506142,143.456512
-32.699,42.506184,143.456528
-32.598,42.506138,143.456512
-32.499,42.506168,143.456512
-32.397,42.506142,143.456512
-32.300,42.506165,143.456512
-32.197,42.506153,143.456512
-32.099,42.506176,143.456512
-31.999,42.506149,143.456512
-31.900,42.506176,143.456512
-31.800,42.506149,143.456512
-31.700,42.506161,143.456482
-31.599,42.506138,143.456497
-31.500,42.506145,143.456482
-31.400,42.506130,143.456497
-31.299,42.506130,143.456482
-31.197,42.506138,143.456497
-31.099,42.506165,143.456512
-30.996,42.506123,143.456467
-30.899,42.506145,143.456467
-30.799,42.506145,143.456467
-30.698,42.506153,143.456482
-30.599,42.506153,143.456482
-30.499,42.506165,143.456482
-30.396,42.506149,143.456467
-30.300,42.506138,143.456482
-30.198,42.506153,143.456512
-30.099,42.506126,143.456451
-29.896,42.506157,143.456497
-29.800,42.506130,143.456451
-29.699,42.506161,143.456497
-29.599,42.506168,143.456497
-29.498,42.506115,143.456467
-29.298,42.506207,143.456512
-29.197,42.506130,143.456451
-29.099,42.506180,143.456482
-28.997,42.506149,143.456451
-28.898,42.506180,143.456482
-28.800,42.506168,143.456467
-28.698,42.506184,143.456482
-28.600,42.506153,143.456467
-28.497,42.506172,143.456497
-28.396,42.506180,143.456482
-28.299,42.506138,143.456482
-28.100,42.506195,143.456497
-27.997,42.506092,143.456467
-27.900,42.506203,143.456482
-27.799,42.506084,143.456467
-27.698,42.506210,143.456482
-27.599,42.506195,143.456482
-27.499,42.506126,143.456482
-27.397,42.506184,143.456467
-27.300,42.506142,143.456482
-27.100,42.506180,143.456451
-26.997,42.506149,143.456482
-26.899,42.506195,143.456467
-26.800,42.506145,143.456482
-26.699,42.506203,143.456482
-26.598,42.506222,143.456467
-26.499,42.506138,143.456482
-26.400,42.506233,143.456482
-26.300,42.506145,143.456482
-26.197,42.506222,143.456482
-26.100,42.506138,143.456497
-25.898,42.506241,143.456467
-25.798,42.506115,143.456497
-25.698,42.506233,143.456467
-25.593,42.506134,143.456497
-25.498,42.506237,143.456482
-25.400,42.506222,143.456482
-25.299,42.506142,143.456497
-25.199,42.506226,143.456482
-25.100,42.506138,143.456512
-25.000,42.506214,143.456497
-24.899,42.506145,143.456512
-24.699,42.506233,143.456497
-24.596,42.506142,143.456497
-24.499,42.506229,143.456512
-24.398,42.506241,143.456512
-24.297,42.506134,143.456497
-24.199,42.506245,143.456512
-24.099,42.506130,143.456497
-23.997,42.506237,143.456497
-23.899,42.506149,143.456512
-23.699,42.506237,143.456512
-23.600,42.506138,143.456482
-23.500,42.506210,143.456497
-23.399,42.506226,143.456528
-23.299,42.506138,143.456482
-23.200,42.506210,143.456528
-23.100,42.506130,143.456482
-22.998,42.506210,143.456497
-22.900,42.506123,143.456482
-22.698,42.506237,143.456528
-22.597,42.506142,143.456497
-22.496,42.506252,143.456528
-22.399,42.506237,143.456528
-22.297,42.506149,143.456482
-22.199,42.506214,143.456512
-22.094,42.506126,143.456497
-21.998,42.506172,143.456482
-21.898,42.506142,143.456497
-21.699,42.506172,143.456482
-21.599,42.506157,143.456482
-21.499,42.506176,143.456497
-21.398,42.506161,143.456482
-21.299,42.506172,143.456497
-21.197,42.506191,143.456482
-21.099,42.506172,143.456528
-20.998,42.506207,143.456482
-20.899,42.506157,143.456512
-20.699,42.506207,143.456482
-20.599,42.506153,143.456482
-20.499,42.506199,143.456482
-20.399,42.506134,143.456497
-20.299,42.506180,143.456482
-20.198,42.506168,143.456467
-20.100,42.506119,143.456467
-19.898,42.506145,143.456467
-19.795,42.506119,143.456467
-19.699,42.506149,143.456467
-19.598,42.506145,143.456482
-19.499,42.506165,143.456482
-19.400,42.506142,143.456497
-19.298,42.506195,143.456497
-19.200,42.506199,143.456497
-19.094,42.506134,143.456512
-18.997,42.506187,143.456497
-18.899,42.506138,143.456528
-18.700,42.506187,143.456497
-18.600,42.506138,143.456512
-18.499,42.506195,143.456497
-18.397,42.506145,143.456528
-18.299,42.506191,143.456497
-18.199,42.506184,143.456482
-18.099,42.506142,143.456528
-17.999,42.506161,143.456497
-17.899,42.506145,143.456543
-17.694,42.506172,143.456497
-17.599,42.506142,143.456543
-17.499,42.506153,143.456482
-17.400,42.506130,143.456467
-17.299,42.506123,143.456512
-17.099,42.506130,143.456467
-17.000,42.506165,143.456467
-16.900,42.506138,143.456512
-16.699,42.506168,143.456482
-16.599,42.506153,143.456482
-16.496,42.506119,143.456528
-16.399,42.506149,143.456497
-16.295,42.506119,143.456528
-16.099,42.506165,143.456497
-15.999,42.506149,143.456497
-15.900,42.506126,143.456512
-15.697,42.506145,143.456467
-15.599,42.506149,143.456528
-15.499,42.506161,143.456482
-15.397,42.506172,143.456497
-15.299,42.506126,143.456528
-15.100,42.506172,143.456497
-15.000,42.506134,143.456528
-14.899,42.506161,143.456482
-14.799,42.506115,143.456512
-14.698,42.506172,143.456467
-14.588,42.506111,143.456497
-14.499,42.506168,143.456467
-14.394,42.506115,143.456497
-14.300,42.506180,143.456482
-14.198,42.506119,143.456512
-14.099,42.506168,143.456467
-13.993,42.506115,143.456497
-13.899,42.506168,143.456467
-13.799,42.506115,143.456497
-13.699,42.506168,143.456467
-13.596,42.506119,143.456497
-13.491,42.506187,143.456467
-13.399,42.506123,143.456497
-13.299,42.506180,143.456451
-13.199,42.506111,143.456497
-13.099,42.506172,143.456467
-12.999,42.506126,143.456512
-12.899,42.506168,143.456467
-12.799,42.506123,143.456512
-12.698,42.506187,143.456467
-12.598,42.506104,143.456497
-12.499,42.506157,143.456467
-12.397,42.506134,143.456497
-12.299,42.506157,143.456467
-12.197,42.506130,143.456497
-12.099,42.506180,143.456467
-12.000,42.506123,143.456497
-11.900,42.506218,143.456482
-11.799,42.506123,143.456512
-11.699,42.506203,143.456497
-11.596,42.506115,143.456512
-11.499,42.506199,143.456482
-11.397,42.506100,143.456497
