T[s],fix,unixtime[s],ecef_x[m],ecef_y[m],ecef_z[m],ecef_vx[m/s],ecef_vy[m/s],ecef_vz[m/s],sat[n],hdop
-38.000,1,1501399823,-3783422,2804039,4287254,0,0,0,11,1.1
-37.793,1,1501399823,-3783423,2804038,4287256,0,0,0,11,1.1
-37.599,1,1501399824,-3783422,2804039,4287255,0,0,0,11,1.1
-37.401,1,1501399824,-3783422,2804039,4287255,0,0,0,11,1.1
-37.202,1,1501399824,-3783421,2804040,4287252,0,0,0,11,1.1
-37.002,1,1501399824,-3783423,2804039,4287253,0,0,0,11,1.1
-36.791,1,1501399824,-3783423,2804039,4287254,0,0,0,11,1.1
-36.600,1,1501399825,-3783424,2804040,4287256,0,0,0,11,1.1
-36.402,1,1501399825,-3783423,2804039,4287253,0,0,0,11,1.1
-36.201,1,1501399825,-3783423,2804039,4287253,0,0,0,11,1.1
-36.000,1,1501399825,-3783423,2804038,4287254,0,0,0,11,1.1
-35.791,1,1501399825,-3783424,2804038,4287258,0,0,0,11,1.1
-35.600,1,1501399826,-3783424,2804038,4287261,0,0,0,11,1.1
-35.398,1,1501399826,-3783424,2804039,4287259,0,0,0,11,1.1
-35.202,1,1501399826,-3783423,2804037,4287258,0,0,0,11,1.1
-35.000,1,1501399826,-3783423,2804036,4287255,0,0,0,11,1.1
-34.788,1,1501399826,-3783422,2804037,4287252,0,0,0,11,1.1
-34.601,1,1501399827,-3783424,2804038,4287253,0,0,0,11,1.1
-34.401,1,1501399827,-3783423,2804039,4287254,0,0,0,11,1.1
-34.201,1,1501399827,-3783424,2804037,4287256,0,0,0,11,1.1
-34.002,1,1501399827,-3783426,2804037,4287256,0,0,0,11,1.1
-33.791,1,1501399827,-3783426,2804037,4287254,0,0,0,11,1.1
-33.597,1,1501399828,-3783426,2804038,4287257,0,0,0,11,1.1
-33.402,1,1501399828,-3783427,2804036,4287254,0,0,0,11,1.1
-33.201,1,1501399828,-3783428,2804036,4287256,0,0,0,11,1.1
-33.002,1,1501399828,-3783428,2804036,4287257,0,0,0,11,1.1
-32.793,1,1501399828,-3783429,2804035,4287265,0,0,0,11,1.1
-32.601,1,1501399829,-3783430,2804036,4287264,0,0,0,11,1.1
-32.401,1,1501399829,-3783430,2804036,4287263,0,0,0,11,1.1
-32.200,1,1501399829,-3783430,2804036,4287265,0,0,0,11,1.1
-32.001,1,1501399829,-3783431,2804037,4287266,0,0,0,11,1.1
-31.791,1,1501399829,-3783430,2804039,4287264,0,0,0,11,1.1
-31.600,1,1501399830,-3783429,2804039,4287261,0,0,0,11,1.1
-31.401,1,1501399830,-3783429,2804039,4287259,0,0,0,11,1.1
-31.202,1,1501399830,-3783430,2804037,4287264,0,0,0,11,1.1
-31.000,1,1501399830,-3783429,2804040,4287262,0,0,0,11,1.1
-30.792,1,1501399830,-3783428,2804038,4287261,0,0,0,11,1.1
-30.601,1,1501399831,-3783428,2804038,4287263,0,0,0,11,1.1
-30.402,1,1501399831,-3783428,2804038,4287259,0,0,0,11,1.1
-30.202,1,1501399831,-3783430,2804037,4287262,0,0,0,11,1.1
-30.001,1,1501399831,-3783430,2804038,4287263,0,0,0,11,1.1
-29.791,1,1501399831,-3783430,2804038,4287264,0,0,0,11,1.1
-29.602,1,1501399832,-3783432,2804039,4287267,0,0,0,11,1.1
-29.401,1,1501399832,-3783432,2804038,4287272,0,0,0,11,1.1
-29.201,1,1501399832,-3783430,2804039,4287267,0,0,0,11,1.1
-29.001,1,1501399832,-3783430,2804039,4287267,0,0,0,11,1.1
-28.790,1,1501399832,-3783429,2804039,4287267,0,0,0,11,1.1
-28.601,1,1501399833,-3783429,2804038,4287265,0,0,0,11,1.1
-28.401,1,1501399833,-3783430,2804039,4287267,0,0,0,11,1.1
-28.201,1,1501399833,-3783430,2804038,4287269,0,0,0,11,1.1
-28.001,1,1501399833,-3783429,2804039,4287270,0,0,0,11,1.1
-27.791,1,1501399833,-3783430,2804039,4287272,0,0,0,11,1.1
-27.602,1,1501399834,-3783430,2804040,4287270,0,0,0,11,1.1
-27.401,1,1501399834,-3783428,2804040,4287267,0,0,0,11,1.1
-27.201,1,1501399834,-3783428,2804041,4287267,0,0,0,11,1.1
-27.001,1,1501399834,-3783429,2804040,4287269,0,0,0,11,1.1
-26.793,1,1501399834,-3783429,2804039,4287270,0,0,0,11,1.1
-26.601,1,1501399835,-3783428,2804039,4287272,0,0,0,11,1.1
-26.401,1,1501399835,-3783430,2804039,4287275,0,0,0,11,1.1
-26.202,1,1501399835,-3783429,2804039,4287273,0,0,0,11,1.1
-26.002,1,1501399835,-3783428,2804039,4287275,0,0,0,11,1.1
-25.794,1,1501399835,-3783428,2804039,4287274,0,0,0,11,1.1
-25.593,1,1501399836,-3783427,2804038,4287273,0,0,0,11,1.1
-25.402,1,1501399836,-3783427,2804038,4287271,0,0,0,11,1.1
-25.202,1,1501399836,-3783428,2804038,4287272,0,0,0,11,1.1
-25.001,1,1501399836,-3783428,2804036,4287269,0,0,0,11,1.1
-24.791,1,1501399836,-3783428,2804036,4287272,0,0,0,11,1.1
-24.598,1,1501399837,-3783427,2804035,4287270,0,0,0,11,1.1
-24.401,1,1501399837,-3783429,2804036,4287274,0,0,0,11,1.1
-24.202,1,1501399837,-3783430,2804036,4287275,0,0,0,11,1.1
-24.002,1,1501399837,-3783430,2804038,4287275,0,0,0,11,1.1
-23.793,1,1501399837,-3783430,2804036,4287274,0,0,0,11,1.1
-23.600,1,1501399838,-3783427,2804036,4287268,0,0,0,11,1.1
-23.402,1,1501399838,-3783429,2804035,4287271,0,0,0,11,1.1
-23.201,1,1501399838,-3783429,2804035,4287269,0,0,0,11,1.1
-23.001,1,1501399838,-3783429,2804037,4287270,0,0,0,11,1.1
-22.792,1,1501399838,-3783429,2804035,4287273,0,0,0,11,1.1
-22.599,1,1501399839,-3783429,2804035,4287275,0,0,0,11,1.1
-22.402,1,1501399839,-3783429,2804035,4287273,0,0,0,11,1.1
-22.202,1,1501399839,-3783429,2804036,4287270,0,0,0,11,1.1
-22.001,1,1501399839,-3783428,2804038,4287264,0,0,0,11,1.1
-21.792,1,1501399839,-3783428,2804038,4287264,0,0,0,11,1.1
-21.602,1,1501399840,-3783427,2804036,4287263,0,0,0,11,1.1
-21.402,1,1501399840,-3783427,2804037,4287261,0,0,0,11,1.1
-21.202,1,1501399840,-3783426,2804037,4287265,0,0,0,11,1.1
-21.002,1,1501399840,-3783427,2804037,4287268,0,0,0,11,1.1
-20.792,1,1501399840,-3783428,2804038,4287269,0,0,0,11,1.1
-20.600,1,1501399841,-3783427,2804037,4287267,0,0,0,11,1.1
-20.400,1,1501399841,-3783427,2804037,4287264,0,0,0,11,1.1
-20.201,1,1501399841,-3783426,2804038,4287262,0,0,0,11,1.1
-20.000,1,1501399841,-3783425,2804038,4287258,0,0,0,11,1.1
-19.787,1,1501399841,-3783426,2804038,4287259,0,0,0,11,1.1
