T[s],fix,unixtime[s],ecef_x[m],ecef_y[m],ecef_z[m],ecef_vx[m/s],ecef_vy[m/s],ecef_vz[m/s],sat[n],hdop
-37.997,1,1501399823,-3783426,2804035,4287258,0,0,0,13,1.0
-37.782,1,1501399823,-3783425,2804033,4287258,0,0,0,13,1.0
-37.597,1,1501399824,-3783426,2804034,4287259,0,0,0,13,1.0
-37.397,1,1501399824,-3783424,2804032,4287252,0,0,0,13,1.0
-37.198,1,1501399824,-3783424,2804033,4287250,0,0,0,13,1.0
-36.998,1,1501399824,-3783423,2804033,4287253,0,0,0,13,1.0
-36.782,1,1501399824,-3783424,2804036,4287255,0,0,0,13,1.0
-36.596,1,1501399825,-3783426,2804036,4287257,0,0,0,13,1.0
-36.398,1,1501399825,-3783426,2804037,4287256,0,0,0,13,1.0
-36.197,1,1501399825,-3783426,2804036,4287259,0,0,0,13,1.0
-35.997,1,1501399825,-3783426,2804036,4287262,0,0,0,13,1.0
-35.783,1,1501399825,-3783426,2804035,4287260,0,0,0,13,1.0
-35.596,1,1501399826,-3783426,2804035,4287259,0,0,0,13,1.0
-35.395,1,1501399826,-3783426,2804035,4287258,0,0,0,13,1.0
-35.198,1,1501399826,-3783427,2804032,4287260,0,0,0,13,1.0
-34.997,1,1501399826,-3783427,2804033,4287258,0,0,0,13,1.0
-34.782,1,1501399826,-3783426,2804033,4287257,0,0,0,13,1.0
-34.598,1,1501399827,-3783423,2804033,4287253,0,0,0,13,1.0
-34.397,1,1501399827,-3783422,2804035,4287255,0,0,0,13,1.0
-34.197,1,1501399827,-3783425,2804036,4287259,0,0,0,13,1.0
-33.998,1,1501399827,-3783426,2804036,4287261,0,0,0,13,1.0
-33.781,1,1501399827,-3783427,2804037,4287262,0,0,0,13,1.0
-33.596,1,1501399828,-3783428,2804036,4287260,0,0,0,13,1.0
-33.396,1,1501399828,-3783426,2804035,4287256,0,0,0,13,1.0
-33.197,1,1501399828,-3783429,2804035,4287257,0,0,0,13,1.0
-32.997,1,1501399828,-3783429,2804036,4287259,0,0,0,13,1.0
-32.783,1,1501399828,-3783430,2804037,4287260,0,0,0,13,1.0
-32.594,1,1501399829,-3783430,2804036,4287260,0,0,0,13,1.0
-32.397,1,1501399829,-3783429,2804036,4287261,0,0,0,13,1.0
-32.198,1,1501399829,-3783430,2804036,4287261,0,0,0,13,1.0
-31.997,1,1501399829,-3783428,2804035,4287259,0,0,0,13,1.0
-31.783,1,1501399829,-3783427,2804036,4287257,0,0,0,13,1.0
-31.597,1,1501399830,-3783425,2804035,4287254,0,0,0,13,1.0
-31.397,1,1501399830,-3783426,2804035,4287256,0,0,0,13,1.0
-31.197,1,1501399830,-3783426,2804038,4287255,0,0,0,13,1.0
-30.996,1,1501399830,-3783425,2804037,4287257,0,0,0,13,1.0
-30.782,1,1501399830,-3783426,2804037,4287259,0,0,0,13,1.0
-30.597,1,1501399831,-3783425,2804037,4287258,0,0,0,13,1.0
-30.396,1,1501399831,-3783423,2804037,4287255,0,0,0,13,1.0
-30.198,1,1501399831,-3783424,2804038,4287254,0,0,0,13,1.0
-29.998,1,1501399831,-3783423,2804038,4287254,0,0,0,13,1.0
-29.783,1,1501399831,-3783423,2804037,4287254,0,0,0,13,1.0
-29.597,1,1501399832,-3783424,2804037,4287252,0,0,0,13,1.0
-29.398,1,1501399832,-3783425,2804039,4287256,0,0,0,13,1.0
-29.198,1,1501399832,-3783426,2804040,4287260,0,0,0,13,1.0
-28.997,1,1501399832,-3783425,2804038,4287261,0,0,0,13,1.0
-28.776,1,1501399832,-3783426,2804039,4287260,0,0,0,13,1.0
-28.597,1,1501399833,-3783426,2804038,4287259,0,0,0,13,1.0
-28.396,1,1501399833,-3783427,2804038,4287258,0,0,0,13,1.0
-28.198,1,1501399833,-3783429,2804040,4287254,0,0,0,13,1.0
-27.997,1,1501399833,-3783430,2804041,4287254,0,0,0,13,1.0
-27.782,1,1501399833,-3783430,2804041,4287259,0,0,0,13,1.0
-27.597,1,1501399834,-3783431,2804041,4287261,0,0,0,13,1.0
