pressure(hPa),altitude(m),wind_u(m/s),wind_v(m/s),latitude(deg),longitude(deg),daytime,year,month,day,hour,wind_speed(m/s),wind_direction(deg),wind_direction(-)
1000,115.37299999999999,-2.9291400000000003,0.480713,42.5,143.5,2017073000,2017,7,30,0,2.968323790958291,99.31996168486563,東
975,331.736,-1.14485,-1.91188,42.5,143.5,2017073000,2017,7,30,0,2.228444896536596,30.913533254201088,北北東
950,554.437,-1.7632299999999999,-2.5602099999999997,42.5,143.5,2017073000,2017,7,30,0,3.108642031016115,34.555387534112775,北東
925,783.16,-2.52972,-1.4362,42.5,143.5,2017073000,2017,7,30,0,2.9089781227090725,60.415087299359605,東北東
900,1017.36,-1.87496,-0.41124700000000003,42.5,143.5,2017073000,2017,7,30,0,1.9195309574500223,77.62885203015325,東北東
850,1502.45,0.587156,2.2894,42.5,143.5,2017073000,2017,7,30,0,2.3634941354562318,194.38445572365944,南南西
800,2012.42,4.08381,1.9039,42.5,143.5,2017073000,2017,7,30,0,4.5058117277689265,245.00474671676812,西南西
700,3121.17,4.21774,1.39783,42.5,143.5,2017073000,2017,7,30,0,4.443338769045187,251.66393498104307,西南西
600,4376.82,7.05403,0.023393599999999997,42.5,143.5,2017073000,2017,7,30,0,7.054068790522315,269.8099881012919,西
500,5819.53,9.63452,-0.439169,42.5,143.5,2017073000,2017,7,30,0,9.644524096136678,272.6098990236307,西
400,7511.63,13.9542,-1.7485099999999998,42.5,143.5,2017073000,2017,7,30,0,14.063320548863985,277.14213704767985,西
300,9574.34,21.1459,-2.39997,42.5,143.5,2017073000,2017,7,30,0,21.281657426311984,276.4751202982302,西
250,10820.6,34.9644,1.77393,42.5,143.5,2017073000,2017,7,30,0,35.00937153113291,267.0955706911619,西
200,12285.9,37.3359,-8.232460000000001,42.5,143.5,2017073000,2017,7,30,0,38.23274547376372,282.43458594917814,西北西
150,14122.8,31.4706,-3.03492,42.5,143.5,2017073000,2017,7,30,0,31.616600129779926,275.5083805286291,西
100,16644.5,16.8514,-0.8995489999999999,42.5,143.5,2017073000,2017,7,30,0,16.875392450648402,273.0556208343235,西
1000,112.91,-3.09507,2.35905,42.5,143.5,2017073003,2017,7,30,3,3.8916031667424673,127.31450498118467,南東
975,328.656,-2.48507,1.18987,42.5,143.5,2017073003,2017,7,30,3,2.755242915207296,115.58544620887125,東南東
950,551.207,-2.4082,0.0866318,42.5,143.5,2017073003,2017,7,30,3,2.4097577282314586,92.06025123192636,東
925,780.168,-2.4338900000000003,0.455929,42.5,143.5,2017073003,2017,7,30,3,2.4762253098498532,100.60998137859956,東
900,1014.63,-1.7975299999999999,0.552826,42.5,143.5,2017073003,2017,7,30,3,1.8806197614552493,107.0951535026329,東南東
850,1500.45,0.581758,1.16869,42.5,143.5,2017073003,2017,7,30,3,1.305480251349671,206.46349789225016,南南西
800,2011.07,3.45799,1.2992,42.5,143.5,2017073003,2017,7,30,3,3.6939972225355016,249.40831910739394,西南西
700,3120.51,4.49797,1.10277,42.5,143.5,2017073003,2017,7,30,3,4.631180820676299,256.2244785625696,西南西
600,4376.69,6.0791900000000005,1.61301,42.5,143.5,2017073003,2017,7,30,3,6.289543092800939,255.13994439492106,西南西
